INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	普通攻击技能	特殊技能1	施放间隔	初始CD	特殊技能2	施放间隔	初始CD	特殊技能3	施放间隔	初始CD	特殊技能4	施放间隔	初始CD	仇恨类型	排序类型	更换AI的ID	更换AI触发条件	类型	参数	进入阶段后喊话
0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
1	1007	1011	10	0	1008	15	15	-1	-1	-1	-1	-1	-1	1	1	2	0	2	6000	-1
2	1007	1011	10	0	1006	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
3	1000	1010	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1
4	1012	1029	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
5	1031	1027	6	0	1028	10	10	-1	-1	-1	-1	-1	-1	1	1	6	0	2	6000	-1
6	1031	1027	6	0	1029	20	10	1028	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6001
7	1032	1030	6	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
8	1089	1033	5	5	1034	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
9	1088	1035	5	5	1036	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
10	1031	5031	6	0	5032	10	10	-1	-1	-1	-1	-1	-1	1	1	11	0	2	6000	-1
11	1031	5031	6	0	5033	20	10	5037	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6001
12	1031	5036	6	0	5037	10	10	-1	-1	-1	-1	-1	-1	1	1	13	0	2	6000	-1
13	1031	5036	6	0	5038	20	10	5037	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6001
14	1073	1075	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	15	0	2	6000	-1
