INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	成就类型归属	成就名称	需要够等级才显示	扩展计数	需要该数据到达的计数值	位标示列表	奖励成就积分	资源奖励1	数量	资源奖励2	数量	物品奖励	数量	已领奖位标示	成就达成位标示
0	-1	初临大陆	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	-1	战力进阶	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	-1	探索圣光	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	-1	征战不止	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	实力为尊	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	-1	大陆居民	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	炼金术士	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	商业合作	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	-1	王者之路	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	隐藏成就	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	-1	玛雅纪元	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10000	0	学会强化	1	43	1	-1	20	17	20	22000	1	-1	-1	600	601
10001	0	开启社交	1	44	1	-1	20	17	20	21900	1	-1	-1	602	603
10002	0	勇士之路	9999	-1	-1	-1	20	17	20	2	10000	-1	-1	604	605
10003	0	竞技首胜	1	49	1	-1	20	17	40	11	200	-1	-1	606	607
10004	0	金币的用途	9999	-1	-1	-1	20	17	20	2	10000	-1	-1	608	609
10005	0	钻石的用途	9999	-1	-1	-1	20	17	20	2	100000	-1	-1	610	611
10006	0	学会精炼	9999	-1	-1	-1	20	17	20	22003	2	-1	-1	612	613
10007	0	失败了	1	85	1	-1	20	17	20	22000	2	-1	-1	614	615
10008	0	开启天赋	1	86	1	-1	20	17	20	5	200	-1	-1	616	617
10009	0	灵兽伙伴	1	87	1	-1	20	17	20	7	100	-1	-1	618	619
10010	0	激活魔物志	1	88	1	-1	20	17	20	2	10000	-1	-1	620	621
10011	0	战斗技巧	9999	-1	-1	-1	20	17	20	5	200	-1	-1	622	623
10012	0	学会抱团	9999	-1	-1	-1	20	17	20	21900	1	-1	-1	624	625
10014	0	副本历练	9999	-1	-1	-1	20	17	20	22000	1	-1	-1	628	629
10015	0	转生体验	9999	-1	-1	-1	20	17	40	2	2	-1	-1	630	631
10016	0	开启修炼	1	91	1	-1	20	17	40	5	200	-1	-1	632	633
10017	0	扩展背包	1	305	1	-1	20	17	20	22000	1	-1	-1	634	635
10018	0	购买格子	9999	-1	1	-1	20	17	60	22019	1	-1	-1	636	637
10019	0	学会洗练	1	303	1	-1	20	17	60	22000	1	-1	-1	638	639
10022	0	大陆日常	9999	-1	-1	-1	20	17	20	25006	1	-1	-1	644	645
10023	0	不要吝啬赞美	1	420	1	-1	20	17	40	2	3000	-1	-1	972	973
10025	0	开启洗炼	9999	-1	-1	-1	20	17	40	22000	2	-1	-1	1778	1777
15000	1	史诗坐骑	1	740	1	-1	10	2	10000	22066	5	-1	-1	2177	2176
15001	1	传说坐骑	1	740	2	-1	10	2	15000	22066	15	-1	-1	2179	2178
20000	1	新手级别	1	46	50	-1	10	17	20	2	1000	-1	-1	646	647
20001	1	勇者级别	1	46	100	-1	10	17	40	2	3000	-1	-1	648	649
20002	1	先锋级别	1	46	150	-1	10	17	60	2	5500	-1	-1	650	651
20003	1	精英级别	1	46	200	-1	10	17	100	2	8500	-1	-1	652	653
20004	1	统领级别	1	46	250	-1	10	17	120	2	10000	-1	-1	654	655
20005	1	领袖级别	1	46	300	-1	10	17	160	2	15000	-1	-1	656	657
20006	1	神绶级别	1	46	350	-1	10	17	220	2	20000	-1	-1	658	659
20007	1	守护级别	1	46	400	-1	10	17	320	2	30000	-1	-1	660	661
20008	1	一转	1	51	1	-1	10	17	40	2	5000	-1	-1	662	663
20009	1	二转	1	51	2	-1	10	17	100	2	10000	-1	-1	664	665
20010	1	三转	1	51	3	-1	10	17	160	2	20000	-1	-1	666	667
20011	1	四转	1	51	4	-1	10	17	320	2	50000	-1	-1	668	669
20012	1	新手战技	1	89	50	-1	10	17	20	5	100	-1	-1	670	671
20013	1	勇者战技	1	89	100	-1	10	17	60	5	150	-1	-1	672	673
20014	1	先锋战技	1	89	200	-1	10	17	100	5	200	-1	-1	674	675
20015	1	精英战技	1	89	300	-1	10	17	120	5	250	-1	-1	676	677
20016	1	统领战技	1	89	400	-1	10	17	160	5	300	-1	-1	678	679
20017	1	领袖战技	1	89	500	-1	10	17	220	5	350	-1	-1	680	681
20018	1	神绶战技	1	89	600	-1	10	17	220	5	400	-1	-1	682	683
20019	1	守护战技	1	89	700	-1	10	17	260	5	500	-1	-1	684	685
20020	1	神坻战技	1	89	800	-1	10	17	320	5	1000	-1	-1	686	687
20021	1	入门修炼	1	91	10	-1	10	17	40	2	10000	-1	-1	688	689
20022	1	初等修炼	1	91	20	-1	10	17	60	2	20000	-1	-1	690	691
20023	1	中等修炼	1	91	50	-1	10	17	60	2	50000	-1	-1	692	693
20024	1	高等修炼	1	91	100	-1	10	17	100	2	100000	-1	-1	694	695
20025	1	精英修炼	1	91	200	-1	10	17	160	2	200000	-1	-1	696	697
20026	1	完美修炼	9999	-1	-1	-1	10	17	320	2	500000	-1	-1	698	699
20027	1	初露天赋	1	86	3	-1	10	17	20	5	20	-1	-1	700	701
20028	1	低级天赋	1	86	5	-1	10	17	60	5	60	-1	-1	702	703
20029	1	中级天赋	1	86	10	-1	10	17	100	5	100	-1	-1	704	705
20030	1	高级天赋	1	86	20	-1	10	17	120	5	120	-1	-1	706	707
20031	1	异禀天赋	1	86	50	-1	10	17	160	5	160	-1	-1	708	709
20032	1	完美天赋	1	86	100	-1	10	17	320	5	320	-1	-1	710	711
20033	1	战技入门	1	332	2	-1	10	17	20	5	20	-1	-1	712	713
20034	1	战技进阶	1	332	5	-1	10	17	40	5	40	-1	-1	714	715
20035	1	战技完美	1	332	8	-1	10	17	60	5	60	-1	-1	716	717
20036	1	战技神话	1	332	10	-1	10	17	160	5	160	-1	-1	718	719
20037	1	初级道具包	1	333	60	-1	10	17	20	2	20000	-1	-1	720	721
20038	1	中级道具包	1	333	80	-1	10	17	20	2	20000	-1	-1	722	723
20039	1	高级道具包	1	333	100	-1	10	17	40	2	50000	-1	-1	724	725
20040	1	初级装备库	1	334	60	-1	10	17	20	2	20000	-1	-1	726	727
20041	1	中级装备库	1	334	80	-1	10	17	20	2	20000	-1	-1	728	729
20042	1	高级装备库	1	334	100	-1	10	17	40	2	50000	-1	-1	730	731
20043	1	飞翔之力II	40	308	2	-1	10	17	60	22018	1	-1	-1	886	887
20044	1	飞翔之力III	40	308	3	-1	10	17	60	22018	2	-1	-1	888	889
20045	1	飞翔之力IV	40	308	4	-1	10	17	80	22018	3	-1	-1	890	891
20046	1	飞翔之力V	40	308	5	-1	10	17	120	22018	4	-1	-1	892	893
20047	1	飞翔之力VI	40	308	6	-1	10	17	160	22018	5	-1	-1	894	895
20048	1	飞翔之力VII	40	308	7	-1	10	17	220	22018	6	-1	-1	896	897
20049	1	飞翔之力VIII	9999	-1	-1	-1	10	17	320	22018	7	-1	-1	898	899
20050	1	飞翔之力IX	9999	-1	-1	-1	10	17	320	22018	8	-1	-1	900	901
20051	1	飞翔之力X	9999	-1	-1	-1	10	17	320	22018	9	-1	-1	902	903
20062	1	石头神像	100	336	10	-1	10	17	80	22064	1	-1	-1	1275	1276
20063	1	粗铁神像	100	336	50	-1	10	17	80	22064	1	-1	-1	1277	1278
20064	1	青铜神像	100	336	100	-1	10	17	80	22064	2	-1	-1	1279	1280
20065	1	白银神像	100	336	200	-1	10	17	80	22064	2	-1	-1	1281	1282
20066	1	黄金神像	100	336	500	-1	10	17	100	22064	3	-1	-1	1283	1284
20067	1	水晶神像	9999	-1	-1	-1	10	17	120	22064	3	-1	-1	1285	1286
20068	1	钻石神像	9999	-1	-1	-1	10	17	160	22064	4	-1	-1	1287	1288
20069	1	陨晶神像	9999	-1	-1	-1	10	17	220	22064	4	-1	-1	1289	1290
20070	1	星辰神像	9999	-1	-1	-1	10	17	260	22064	5	-1	-1	1291	1292
20071	6	符文之力I	100	346	10	-1	20	17	120	2	50000	-1	-1	1539	1540
20072	6	符文之力II	100	346	20	-1	20	17	120	2	50000	-1	-1	1541	1542
20073	6	符文之力III	100	346	30	-1	20	17	160	2	100000	-1	-1	1543	1544
20074	6	符文之力IV	100	346	40	-1	20	17	200	2	100000	-1	-1	1545	1546
20075	6	符文之力V	100	346	50	-1	20	17	240	2	200000	-1	-1	1547	1548
20076	6	符文之力VI	100	346	60	-1	20	17	280	2	300000	-1	-1	2061	2160
20077	6	符文之力7	9999	-1	-1	-1	10	17	320	2	400000	-1	-1	2063	2162
20078	6	符文之力8	9999	-1	-1	-1	10	17	360	2	500000	-1	-1	2065	2164
20079	6	符文之力9	9999	-1	-1	-1	10	17	400	2	600000	-1	-1	2067	2166
20080	6	符文之力10	9999	-1	-1	-1	10	17	440	2	700000	-1	-1	2069	2168
20081	6	符文之力11	9999	-1	-1	-1	10	17	480	2	800000	-1	-1	2071	2170
20082	6	符文之力12	9999	-1	-1	-1	10	17	520	2	900000	-1	-1	2073	2172
20083	6	符文之力13	9999	-1	-1	-1	10	17	560	2	1000000	-1	-1	2075	2174
20100	1	出类拔萃	40	679	3	-1	10	17	60	22017	10	-1	-1	2456	2457
20101	1	登峰造极	40	679	6	-1	10	17	60	22017	20	-1	-1	2458	2459
20102	1	超群绝伦	40	679	9	-1	10	17	80	22017	30	-1	-1	2460	2461
20103	1	万古流芳	40	679	12	-1	10	17	120	22017	40	-1	-1	2462	2463
20104	1	盖世无双	40	679	15	-1	10	17	160	22017	50	-1	-1	2464	2465
30000	2	体验飞翔	1	-1	-1	41	10	17	20	22018	1	-1	-1	732	733
30001	2	丛林探险	1	-1	-1	51	10	17	20	22018	1	-1	-1	734	735
30002	2	任务新手	1	1	100	-1	10	17	20	22017	1	-1	-1	736	737
30003	2	任务达人	1	1	200	-1	10	17	60	22017	2	-1	-1	738	739
30004	2	任务精英	1	1	500	-1	10	17	80	22017	3	-1	-1	740	741
30005	2	任务专家	9999	-1	-1	-1	10	17	120	22017	4	-1	-1	742	743
30006	2	任务大师	9999	-1	-1	-1	10	17	220	22017	5	-1	-1	744	745
30007	2	任务宗师	9999	-1	-1	-1	10	17	320	22017	10	-1	-1	746	747
30008	2	废弃	99999	329	99999	-1	10	17	60	2	5000	-1	-1	748	749
30009	2	新人级日常	1	2	10	-1	10	17	20	2	20000	-1	-1	750	751
30010	2	初级日常	1	2	100	-1	10	17	40	2	40000	-1	-1	752	753
30011	2	中级日常	1	2	200	-1	10	17	60	2	60000	-1	-1	754	755
30012	2	高级日常	1	2	500	-1	10	17	60	2	60000	-1	-1	756	757
30013	2	达人级日常	1	2	1000	-1	10	17	100	2	100000	-1	-1	758	759
30014	2	精英级日常	9999	-1	-1	-1	10	17	120	2	120000	-1	-1	760	761
30015	2	专家级日常	9999	-1	-1	-1	10	17	160	2	160000	-1	-1	762	763
30016	2	大师级日常	9999	-1	-1	-1	10	17	220	2	220000	-1	-1	764	765
30017	2	宗师级日常	9999	-1	-1	-1	10	17	320	2	320000	-1	-1	766	767
30018	2	第一封信	1	3	1	-1	10	17	20	22018	1	-1	-1	768	769
30019	2	初级信箱	1	3	10	-1	10	17	40	22018	1	-1	-1	770	771
30020	2	中级信箱	1	3	20	-1	10	17	60	22018	2	-1	-1	772	773
30021	2	高级信箱	1	3	50	-1	10	17	60	22018	2	-1	-1	774	775
30022	2	特级信箱	1	3	100	-1	10	17	100	22018	3	-1	-1	776	777
30023	2	信箱发热	1	3	150	-1	10	17	120	22018	3	-1	-1	778	779
30024	2	挤爆信箱	1	3	200	-1	10	17	160	22018	4	-1	-1	780	781
30025	2	信箱罢工	1	3	300	-1	10	17	220	22018	4	-1	-1	782	783
30026	2	收了一辈子的信	1	3	500	-1	10	17	320	22018	5	-1	-1	784	785
30047	2	普通神庙	1	102	1	-1	10	17	20	2	20000	-1	-1	1645	1646
30048	2	精英神庙	1	105	1	-1	10	17	20	2	20000	-1	-1	1647	1648
30049	2	炼狱神庙	1	108	1	-1	20	17	20	2	20000	-1	-1	1649	1650
30050	2	普通石窟	1	114	1	-1	10	17	20	2	20000	-1	-1	1651	1652
30051	2	精英石窟	1	117	1	-1	10	17	20	2	20000	-1	-1	1653	1654
30052	2	炼狱石窟	1	120	1	-1	20	17	40	2	40000	-1	-1	1655	1656
30053	2	普通圣殿	1	126	1	-1	10	17	20	2	20000	-1	-1	1693	1694
30054	2	精英圣殿	1	129	1	-1	10	17	20	2	20000	-1	-1	1695	1696
30055	2	炼狱圣殿	1	132	1	-1	20	17	40	2	40000	-1	-1	1697	1698
30056	2	普通王座	1	193	1	-1	10	17	60	2	60000	-1	-1	1699	2100
30057	2	精英王座	1	194	1	-1	10	17	60	2	60000	-1	-1	2101	2102
30058	2	炼狱王座	1	195	1	-1	20	17	80	2	80000	-1	-1	2103	2104
30059	2	普通祭坛	1	196	1	-1	10	17	100	2	100000	-1	-1	2105	2106
30060	2	精英祭坛	1	197	1	-1	10	17	100	2	100000	-1	-1	2107	2108
30061	2	炼狱祭坛	1	198	1	-1	20	17	120	2	120000	-1	-1	2109	2110
30062	2	普通深海	1	199	1	-1	10	17	120	2	120000	-1	-1	2111	2112
30063	2	精英深海	1	200	1	-1	10	17	120	2	120000	-1	-1	2113	2114
30064	2	炼狱深海	1	201	1	-1	20	17	160	2	160000	-1	-1	2115	2116
30065	2	凛冬风波	1	-1	-1	151	10	17	40	22018	1	-1	-1	2117	2118
30066	2	地底危机	1	-1	-1	101	10	17	60	22018	1	-1	-1	2119	2120
30067	2	高塔和熔岩	1	-1	-1	164	10	17	100	22018	1	-1	-1	2121	2122
30068	2	海洋之心	1	-1	-1	220	10	17	120	22018	1	-1	-1	2123	2124
40000	3	除魔勇者	1	45	1000	-1	10	17	20	2	10000	-1	-1	786	787
40001	3	除魔先锋	1	45	5000	-1	10	17	40	2	20000	-1	-1	788	789
40002	3	除魔精英	1	45	10000	-1	10	17	80	2	30000	-1	-1	790	791
40003	3	除魔统领	1	45	20000	-1	10	17	120	2	40000	-1	-1	792	793
40004	3	除魔领袖	1	45	50000	-1	10	17	160	2	50000	-1	-1	794	795
40005	3	除魔使者	1	45	99999	-1	10	17	200	2	60000	-1	-1	796	797
40006	3	除魔守护	9999	-1	-1	-1	10	17	240	2	70000	-1	-1	798	799
40007	3	除魔神坻	9999	-1	-1	-1	10	17	280	2	80000	-1	-1	800	801
40008	6	新手炼金师	1	344	5	-1	10	17	120	2	60000	-1	-1	1499	1500
40009	6	入门炼金师	1	344	10	-1	10	17	120	2	60000	-1	-1	1501	1502
40010	6	初级炼金师	1	344	20	-1	20	17	120	2	60000	-1	-1	1503	1504
40011	6	中级炼金师	1	344	50	-1	20	17	160	2	80000	-1	-1	1505	1506
40012	6	高级炼金师	1	344	100	-1	20	17	160	2	80000	-1	-1	1507	1508
40013	6	进阶炼金师	1	344	200	-1	20	17	160	2	80000	-1	-1	1509	1510
40014	6	达人炼金师	1	344	300	-1	20	17	220	2	110000	-1	-1	1511	1512
40015	6	特级炼金师	1	344	500	-1	20	17	220	2	110000	-1	-1	1513	1514
40016	6	精英炼金师	1	344	1000	-1	20	17	260	2	130000	-1	-1	1515	1516
40017	6	超级炼金师	1	344	2000	-1	20	17	320	2	160000	-1	-1	1517	1518
50000	4	新人强化	1	47	5	-1	20	17	20	22000	1	-1	-1	802	803
50001	4	初级强化	1	47	20	-1	20	17	20	22000	1	-1	-1	804	805
50002	4	中级强化	1	47	50	-1	20	17	40	22000	2	-1	-1	806	807
50003	4	高级强化	1	47	80	-1	20	17	100	22000	2	-1	-1	808	809
