INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
竞技场玩家等级范围	胜利经验奖励	胜利游戏币奖励	胜利道具ID	数量	失败经验奖励	失败游戏币奖励	失败道具ID	数量	胜利奖励要塞经验	失败奖励要塞经验
1	500	9000	11	2000	250	4500	11	1000	0	0
10	700	9900	11	2000	350	4950	11	1000	0	0
20	1300	11250	11	2000	650	5625	11	1000	0	0
30	2000	12600	11	2000	1000	6300	11	1000	0	0
40	2800	13950	11	2000	1400	6975	11	1000	0	0
50	3600	15750	11	2000	1800	7875	11	1000	0	0
60	4200	17100	11	2000	2100	8550	11	1000	0	0
70	4800	18900	11	2000	2400	9450	11	1000	0	0
80	5200	20700	11	2000	2600	10350	11	1000	0	0
90	5300	22500	11	2000	2650	11250	11	1000	0	0
100	5000	24750	11	2000	2500	12375	11	1000	0	0
110	15800	26550	11	2000	7900	13275	11	1000	0	0
120	33600	28800	11	2000	16800	14400	11	1000	0	0
130	38100	31050	11	2000	19050	15525	11	1000	0	0
140	42900	33300	11	2000	21450	16650	11	1000	0	0
150	48000	35550	11	2000	24000	17775	11	1000	0	0
160	53400	38250	11	2000	26700	19125	11	1000	0	0
170	59100	40950	11	2000	29550	20475	11	1000	0	0
180	65100	43650	11	2000	32550	21825	11	1000	0	0
190	71400	46350	11	2000	35700	23175	11	1000	0	0
200	78000	49050	11	2000	39000	24525	11	1000	0	0
210	84900	52200	11	2000	42450	26100	11	1000	0	0
220	92100	55350	11	2000	46050	27675	11	1000	0	0
230	99600	58500	11	2000	49800	29250	11	1000	0	0
240	107400	61650	11	2000	53700	30825	11	1000	0	0
250	115500	64800	11	2000	57750	32400	11	1000	0	0
260	123900	68400	11	2000	61950	34200	11	1000	0	0
270	132600	72000	11	2000	66300	36000	11	1000	0	0
280	141600	75600	11	2000	70800	37800	11	1000	0	0
290	150900	79200	11	2000	75450	39600	11	1000	0	0
300	160500	82800	11	2000	80250	41400	11	1000	0	0
310	170400	86850	11	2000	85200	43425	11	1000	0	0
320	180600	90900	11	2000	90300	45450	11	1000	0	0
330	191100	94500	11	2000	95550	47250	11	1000	0	0
340	201900	99000	11	2000	100950	49500	11	1000	0	0
350	213000	103050	11	2000	106500	51525	11	1000	0	0
360	224400	107550	11	2000	112200	53775	11	1000	0	0
370	236100	111600	11	2000	118050	55800	11	1000	0	0
380	248100	116100	11	2000	124050	58050	11	1000	0	0
390	260400	121050	11	2000	130200	60525	11	1000	0	0
400	273000	125550	11	2000	136500	62775	11	1000	0	0
