INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
排名ID	最高排名奖励钻石	每日奖励游戏币	每日奖励钻石	每日奖励道具ID1	数量	每日奖励道具ID2	数量	每日奖励道具ID3	数量
1	200	0	0	22007	1	11	10000	17	600
2	120	0	0	22001	6	11	9500	17	500
3	100	0	0	22001	5	11	9000	17	400
4	80	0	0	22001	4	11	8500	17	360
5	70	0	0	22001	4	11	8500	17	360
6	60	0	0	22001	3	11	8000	17	300
7	50	0	0	22001	3	11	8000	17	300
8	40	0	0	22001	3	11	8000	17	300
9	30	0	0	22001	3	11	8000	17	300
10	20	0	0	22001	3	11	8000	17	300
20	15	0	0	22001	2	11	7500	17	260
30	10	0	0	22001	2	11	7000	17	240
40	5	0	0	22001	1	11	6500	17	220
50	4	0	0	22001	1	11	6000	17	200
70	3	0	0	22001	1	11	5500	17	180
100	2	0	0	22001	1	11	5000	17	160
200	2	0	0	22001	1	11	4500	17	140
300	1	0	0	22001	1	11	4000	17	120
500	1	0	0	22001	1	11	3500	17	100
700	0	0	0	22001	1	11	3000	17	80
1000	0	0	0	22001	1	11	2500	17	60
10000	0	0	0	22001	1	11	2000	17	40
99999	0	0	0	22001	1	11	1500	17	20
