INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
GUID	职业ID	属性ID	属性描述	力量	敏捷	智力	体力	物攻最小值	物攻最大值	魔攻最小值	魔攻最大值	物理防御	魔法防御	生命上限	魔法上限	命中	闪避	攻击	卓越一击率	伤害加成率	伤害减少率	伤害反弹率	无视防御率	攻击百分比	防御百分比	生命百分比	魔法百分比	命中百分比	闪避百分比
1	0	0	等级	0	0	0	0	200	200	0	0	200	200	500	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	力量	0	0	0	0	200	300	0	0	110	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	2	敏捷	0	0	0	0	0	0	0	0	75	75	0	0	150	150	0	0	0	0	0	0	0	0	0	0	0	0
4	0	3	智力	0	0	0	0	0	0	0	0	0	100	0	200	50	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	4	体力	0	0	0	0	0	0	0	0	0	0	4750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	0	等级	0	0	0	0	0	0	200	200	200	200	500	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	1	力量	0	0	0	0	0	0	0	0	100	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	2	敏捷	0	0	0	0	0	0	0	0	75	75	0	0	150	150	0	0	0	0	0	0	0	0	0	0	0	0
9	1	3	智力	0	0	0	0	0	0	200	400	0	120	0	200	50	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	4	体力	0	0	0	0	0	0	0	0	0	0	3750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2	0	等级	0	0	0	0	200	200	0	0	200	200	500	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2	1	力量	0	0	0	0	150	200	0	0	100	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2	2	敏捷	0	0	0	0	150	200	0	0	75	75	0	0	110	120	0	0	0	0	0	0	0	0	0	0	0	0
14	2	3	智力	0	0	0	0	0	0	0	0	0	100	0	200	50	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2	4	体力	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000	-1	0	1星哥布林	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10001	-1	0	2星哥布林	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10002	-1	0	3星哥布林	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10003	-1	0	4星哥布林	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10004	-1	0	5星哥布林	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10005	-1	0	1星巨人	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10006	-1	0	2星巨人	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10007	-1	0	3星巨人	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10008	-1	0	4星巨人	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10009	-1	0	5星巨人	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10010	-1	0	1星蓝魔怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10011	-1	0	2星蓝魔怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10012	-1	0	3星蓝魔怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
