INT	INT	INT	INT	INT	INT
包裹ID	包裹容量	最大容量	起变化格子数	钻换时间倍数	计算公式索引技能升级表
0	40	100	4	10	20000
1	50	100	4	10	20001
2	150	150	-1	-1	-1
3	100	200	4	10	20000
4	100	100	-1	-1	-1
5	100	100	-1	-1	-1
6	102	102	-1	-1	-1
7	1	1	-1	-1	-1
8	1	1	-1	-1	-1
9	1	1	-1	-1	-1
10	1	1	-1	-1	-1
11	1	1	-1	-1	-1
12	1	1	-1	-1	-1
13	2	2	-1	-1	-1
14	1	1	-1	-1	-1
15	1	1	-1	-1	-1
16	1	1	-1	-1	-1
17	1	1	-1	-1	-1
18	1	1	-1	-1	-1
19	3	10	-1	-1	-1
20	20	20	-1	-1	-1
21	10	100	-1	-1	-1
22	100	100	-1	-1	-1
23	100	100	-1	-1	-1
24	36	36	-1	-1	-1
25	100	100	2	-1	-1
26	100	100	-1	-1	-1
27	100	100	-1	-1	-1
28	100	100	-1	-1	-1
29	1	1	1	1	-1
30	1	1	1	1	-1
31	1	1	1	1	-1
