INT	INT	INT	INT
ID	炮台技能ID	废弃列	炮台提升等级图标ID
0	7500	0	2310000
1	7500	1	2310000
2	7501	1	2310000
3	7502	1	2310000
4	7503	1	2310000
5	7504	1	2310000
6	7505	1	2310000
7	7506	1	2310000
8	7507	1	2310000
9	7508	1	2310000
10	7509	1	2310000
11	7510	1	2310000
12	7511	1	2310000
13	7512	1	2310000
14	7513	1	2310000
15	7514	1	2310000
16	7515	1	2310000
17	7516	1	2310000
18	7517	1	2310000
19	7518	1	2310000
20	7519	1	2310000
21	7520	1	2310000
22	7521	1	2310000
23	7522	1	2310000
24	7523	1	2310000
25	7524	1	2310000
26	7525	1	2310000
27	7526	1	2310000
28	7527	1	2310000
29	7528	1	2310000
30	7529	1	2310001
31	7530	1	2310001
32	7531	1	2310001
33	7532	1	2310001
34	7533	1	2310001
35	7534	1	2310001
36	7535	1	2310001
37	7536	1	2310001
38	7537	1	2310001
39	7538	1	2310001
40	7539	1	2310001
41	7540	1	2310001
42	7541	1	2310001
43	7542	1	2310001
44	7543	1	2310001
45	7544	1	2310001
46	7545	1	2310001
47	7546	1	2310001
48	7547	1	2310001
49	7548	1	2310001
50	7549	1	2310001
51	7550	1	2310001
52	7551	1	2310001
53	7552	1	2310001
54	7553	1	2310001
55	7554	1	2310001
56	7555	1	2310001
57	7556	1	2310001
58	7557	1	2310001
59	7558	1	2310001
60	7559	1	2310001
61	7560	1	2310001
62	7561	1	2310001
63	7562	1	2310001
64	7563	1	2310001
65	7564	1	2310001
66	7565	1	2310001
67	7566	1	2310001
68	7567	1	2310001
69	7568	1	2310001
70	7569	1	2310001
71	7570	1	2310002
72	7571	1	2310002
73	7572	1	2310002
74	7573	1	2310002
75	7574	1	2310002
76	7575	1	2310002
77	7576	1	2310002
78	7577	1	2310002
79	7578	1	2310002
80	7579	1	2310002
81	7580	1	2310002
82	7581	1	2310002
83	7582	1	2310002
84	7583	1	2310002
85	7584	1	2310002
86	7585	1	2310002
87	7586	1	2310002
88	7587	1	2310002
89	7588	1	2310002
90	7589	1	2310002
91	7590	1	2310002
92	7591	1	2310002
93	7592	1	2310002
94	7593	1	2310002
95	7594	1	2310002
96	7595	1	2310002
97	7596	1	2310002
98	7597	1	2310002
99	7598	1	2310002
100	7599	1	2310002
