INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
GUID	力量	敏捷	智力	体力	物攻最小值	物攻最大值	魔攻最小值	魔攻最大值	附加伤害	物理防御	魔法防御	伤害抵挡	生命上限	魔法上限	幸运一击率	幸运一击伤害率	卓越一击率	卓越一击伤害率	命中	闪避	伤害加成率	伤害减少率	伤害反弹率	无视防御率	移动速度	击中回复	召唤属性万分比	追加属性万分比
3000001	0	0	0	0	10	13	10	13	0	6	6	0	89	0	0	0	0	0	1	1	0	0	0	0	0	0	10000	10000
3000002	0	0	0	0	16	19	16	19	0	8	8	0	133	0	0	0	0	0	1	1	0	0	0	0	0	0	10000	10000
3000003	0	0	0	0	21	26	21	26	0	11	11	0	178	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000004	0	0	0	0	26	32	26	32	0	14	14	0	223	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000005	0	0	0	0	37	46	37	46	0	21	21	0	312	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000101	0	0	0	0	12	14	12	14	0	6	6	0	101	0	0	0	0	0	1	1	0	0	0	0	0	0	10000	10000
3000102	0	0	0	0	18	22	18	22	0	9	9	0	152	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000103	0	0	0	0	24	29	24	29	0	13	13	0	203	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000104	0	0	0	0	31	37	31	37	0	17	17	0	254	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000105	0	0	0	0	43	52	43	52	0	23	23	0	355	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000201	0	0	0	0	13	16	13	16	0	7	7	0	114	0	0	0	0	0	1	1	0	0	0	0	0	0	10000	10000
3000202	0	0	0	0	21	25	21	25	0	11	11	0	171	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000203	0	0	0	0	27	33	27	33	0	15	15	0	228	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000204	0	0	0	0	34	42	34	42	0	19	19	0	285	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000205	0	0	0	0	48	58	48	58	0	26	26	0	399	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000301	0	0	0	0	14	18	14	18	0	8	8	0	126	0	0	0	0	0	1	1	0	0	0	0	0	0	10000	10000
3000302	0	0	0	0	22	27	22	27	0	12	12	0	189	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000303	0	0	0	0	30	37	30	37	0	16	16	0	253	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000304	0	0	0	0	38	47	38	47	0	21	21	0	316	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000305	0	0	0	0	53	65	53	65	0	29	29	0	443	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000401	0	0	0	0	16	20	16	20	0	9	9	0	138	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000402	0	0	0	0	25	31	25	31	0	13	13	0	208	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000403	0	0	0	0	33	40	33	40	0	18	18	0	278	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000404	0	0	0	0	42	51	42	51	0	23	23	0	348	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000405	0	0	0	0	58	71	58	71	0	32	32	0	487	0	0	0	0	0	3	3	0	0	0	0	0	0	10000	10000
