INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
组合ID	组合分组ID	要求星级	组合要求图鉴1	废弃	废弃	组合要求图鉴2	废弃	废弃	组合要求图鉴3	废弃	废弃	组合要求图鉴4	废弃	废弃	废弃	废弃	废弃	废弃	废弃	废弃	组合激活属性1ID	属性数值	组合激活属性2ID	属性数值	组合激活属性3ID	属性数值	组合激活属性4ID	属性数值
1	1	1	30003	-1	0	30006	-1	0	30007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	1000	-1	0	-1	0	-1	0
2	1	2	30003	-1	0	30006	-1	0	30007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	2000	-1	0	-1	0	-1	0
3	1	3	30003	-1	0	30006	-1	0	30007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	3000	10	100	11	100	-1	0
4	1	4	30003	-1	0	30006	-1	0	30007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	4000	10	200	11	200	-1	0
5	1	5	30003	-1	0	30006	-1	0	30007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	5000	10	300	11	300	-1	0
6	2	1	30013	-1	0	30014	-1	0	30015	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	100	-1	0	-1	0	-1	0
7	2	2	30013	-1	0	30014	-1	0	30015	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	150	-1	0	-1	0	-1	0
8	2	3	30013	-1	0	30014	-1	0	30015	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	200	10	150	11	150	-1	0
9	2	4	30013	-1	0	30014	-1	0	30015	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	250	10	220	11	220	-1	0
10	2	5	30013	-1	0	30014	-1	0	30015	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	300	10	400	11	400	-1	0
11	3	1	30019	-1	0	30020	-1	0	30021	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	2000	-1	0	-1	0	-1	0
12	3	2	30019	-1	0	30020	-1	0	30021	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	3000	-1	0	-1	0	-1	0
13	3	3	30019	-1	0	30020	-1	0	30021	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	4000	19	20	20	20	-1	0
14	3	4	30019	-1	0	30020	-1	0	30021	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	6000	19	40	20	40	-1	0
15	3	5	30019	-1	0	30020	-1	0	30021	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	7500	19	60	20	60	-1	0
16	4	1	30026	-1	0	30029	-1	0	30030	-1	0	30032	-1	0	-1	-1	0	-1	-1	0	9	50	12	50	-1	0	-1	0
17	4	2	30026	-1	0	30029	-1	0	30030	-1	0	30032	-1	0	-1	-1	0	-1	-1	0	9	80	12	80	-1	0	-1	0
18	4	3	30026	-1	0	30029	-1	0	30030	-1	0	30032	-1	0	-1	-1	0	-1	-1	0	9	120	12	120	13	3000	-1	0
19	4	4	30026	-1	0	30029	-1	0	30030	-1	0	30032	-1	0	-1	-1	0	-1	-1	0	9	150	12	150	13	5000	-1	0
20	4	5	30026	-1	0	30029	-1	0	30030	-1	0	30032	-1	0	-1	-1	0	-1	-1	0	9	200	12	200	13	8000	-1	0
21	5	1	30035	-1	0	30037	-1	0	30038	-1	0	30039	-1	0	-1	-1	0	-1	-1	0	13	3000	-1	0	-1	0	-1	0
22	5	2	30035	-1	0	30037	-1	0	30038	-1	0	30039	-1	0	-1	-1	0	-1	-1	0	13	5000	-1	0	-1	0	-1	0
23	5	3	30035	-1	0	30037	-1	0	30038	-1	0	30039	-1	0	-1	-1	0	-1	-1	0	13	8000	105	400	-1	0	-1	0
24	5	4	30035	-1	0	30037	-1	0	30038	-1	0	30039	-1	0	-1	-1	0	-1	-1	0	13	10000	105	600	-1	0	-1	0
25	5	5	30035	-1	0	30037	-1	0	30038	-1	0	30039	-1	0	-1	-1	0	-1	-1	0	13	12000	105	800	-1	0	-1	0
26	6	1	30041	-1	0	30043	-1	0	30044	-1	0	30045	-1	0	-1	-1	0	-1	-1	0	13	5000	-1	0	-1	0	-1	0
27	6	2	30041	-1	0	30043	-1	0	30044	-1	0	30045	-1	0	-1	-1	0	-1	-1	0	13	7000	-1	0	-1	0	-1	0
28	6	3	30041	-1	0	30043	-1	0	30044	-1	0	30045	-1	0	-1	-1	0	-1	-1	0	13	9000	19	50	20	50	-1	0
29	6	4	30041	-1	0	30043	-1	0	30044	-1	0	30045	-1	0	-1	-1	0	-1	-1	0	13	11000	19	75	20	75	-1	0
30	6	5	30041	-1	0	30043	-1	0	30044	-1	0	30045	-1	0	-1	-1	0	-1	-1	0	13	13000	19	100	20	100	-1	0
31	7	1	30049	-1	0	30051	-1	0	30052	-1	0	30050	-1	0	-1	-1	0	-1	-1	0	105	500	-1	0	-1	0	-1	0
32	7	2	30049	-1	0	30051	-1	0	30052	-1	0	30050	-1	0	-1	-1	0	-1	-1	0	105	600	-1	0	-1	0	-1	0
33	7	3	30049	-1	0	30051	-1	0	30052	-1	0	30050	-1	0	-1	-1	0	-1	-1	0	105	700	10	300	11	300	-1	0
34	7	4	30049	-1	0	30051	-1	0	30052	-1	0	30050	-1	0	-1	-1	0	-1	-1	0	105	800	10	500	11	500	-1	0
35	7	5	30049	-1	0	30051	-1	0	30052	-1	0	30050	-1	0	-1	-1	0	-1	-1	0	105	1000	10	800	11	800	-1	0
36	8	1	31000	-1	0	31002	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	300	-1	0	-1	0	-1	0
37	8	2	31000	-1	0	31002	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	400	-1	0	-1	0	-1	0
38	8	3	31000	-1	0	31002	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	500	19	60	20	60	-1	0
39	8	4	31000	-1	0	31002	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	600	19	80	20	80	-1	0
40	8	5	31000	-1	0	31002	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	750	19	100	20	100	-1	0
41	9	1	31001	-1	0	31003	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	7200	-1	0	-1	0	-1	0
42	9	2	31001	-1	0	31003	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	9600	-1	0	-1	0	-1	0
43	9	3	31001	-1	0	31003	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	12000	12	100	20	100	-1	0
44	9	4	31001	-1	0	31003	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	14400	12	200	20	130	-1	0
45	9	5	31001	-1	0	31003	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	13	18000	12	300	20	180	-1	0
46	10	1	31004	-1	0	31005	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	450	-1	0	-1	0	-1	0
47	10	2	31004	-1	0	31005	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	600	-1	0	-1	0	-1	0
48	10	3	31004	-1	0	31005	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	750	9	100	19	60	-1	0
49	10	4	31004	-1	0	31005	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	900	9	200	19	80	-1	0
50	10	5	31004	-1	0	31005	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	1125	9	300	19	100	-1	0
51	11	1	31006	-1	0	-1	-1	0	31007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	600	-1	0	-1	0	-1	0
52	11	2	31006	-1	0	-1	-1	0	31007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	700	-1	0	-1	0	-1	0
53	11	3	31006	-1	0	-1	-1	0	31007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	800	13	10000	26	50	-1	0
54	11	4	31006	-1	0	-1	-1	0	31007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	1000	13	12000	26	70	-1	0
55	11	5	31006	-1	0	-1	-1	0	31007	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	105	1200	13	15000	26	100	-1	0
