INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
BUFFID	是否显示	BUFF特效1	BUFF特效2	BUFF持续时间（毫秒）	BUFF刷新规则	BUFF类型	下线是否消失	死亡是否能上BUFF	切场景是否消失	死亡是否消失	互斥ID	BUFF交替组	BUFF优先级	承受者上限	叠加层数上限	效果1ID	效果1触发点	效果1触发点参数	效果1参数1	效果1参数2	效果1参数3	效果1参数4	效果1参数5	效果1参数6	效果2ID	效果2触发点	效果2触发点参数	效果2参数1	效果2参数2	效果2参数3	效果2参数4	效果2参数5	效果2参数6	效果3ID	效果3触发点	效果3触发点参数	效果3参数1	效果3参数2	效果3参数3	效果3参数4	效果3参数5	效果3参数6	效果4ID	效果4触发点	效果4触发点参数	效果4参数1	效果4参数2	效果4参数3	效果4参数4	效果4参数5	效果4参数6	升级方案	技能类型	buff战斗力	buff冷却时间(毫秒)
0	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	200	32	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
1	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	150	24	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
2	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	250	40	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
3	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	1000	80	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
4	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000002	10000003	10000003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
5	0	400	401	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000006	10000007	10000007	-1	2048	-1	0	0	6	1000	0	0	-1	128	-1	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
6	0	400	401	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000010	10000011	10000011	-1	3	-1	2	25	25	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
7	1	0	113	1800000	0	2	1	0	0	1	7	-1	-1	1	1	2	3	-1	13	13	0	10000014	-1	-1	-1	3	-1	20	20	-1	0	0	-1	-1	3	-1	26	26	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
8	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000017	10000018	10000018	3	1	-1	3	0	1	10	100	1	-1	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
9	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000021	10000022	10000022	-1	1	-1	1	1	3	15	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
10	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	4	1	-1	10000	3	14	-1	-1	-1	-1	1	-1	10000	2	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
11	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000002	10000003	10000003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
12	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000025	10000026	10000026	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
13	1	502	-1	1500	0	6	1	0	1	1	-1	-1	-1	-1	1	9	3	-1	3	15	-1	-1	-1	-1	-1	1	-1	3	0	0	-1	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
14	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000029	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
15	0	400	401	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	27	1	-1	17	-1	-1	-1	-1	-1	-1	1	-1	10000	3	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
16	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000030	10000031	10000031	3	3	-1	3	0	3	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
17	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	20	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
18	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	3	1	-1	0	3	3	20	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
19	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	0	0	6	10000006	10000007	10000007	3	1	-1	0	0	3	20	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
20	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	1	0	20	100	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
21	1	115	-1	5000	0	2	1	0	1	1	21	-1	-1	-1	-1	8	256	-1	63	10000034	-1	-1	-1	-1	-1	3	-1	23	23	0	-1	-1	-1	-1	3	-1	194	0	0	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
22	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	2250	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
23	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	2250	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
24	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	2250	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
25	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	3500	12	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
26	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	1000	4500	5500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
100	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	450	72	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
101	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	350	56	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
102	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	250	40	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
103	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	0	8	2000	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
104	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	10000102	10000103	10000103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
