INT	STRING	STRING
索引ID	BuffID	Buff权重
0	8010|8020	100|100
1	8010	10
2	8020	10
3	8040	10
4	8000	1
5		
1000	8000|8010|8020|8030|8040|8050|8060|8070|8100|8200	1|1|1|1|1|1|1|1|1|1
1001	8000	1
1002	8010	1
1003	8020	1
1004	8030	1
1005	8040	1
1006	8050	1
1007	8060	1
1008	8070	1
1009	8100	1
1010	8200	1
2000	9000|9010|9020|9030|9040|9050|9060|9070|9080|9090|9100|9110|9120|9130|9140|9150|9160|9170|9180|9190|9200|9210|9220|9230|9240|9250|9260	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
2001	9999|9002|9013|9043|9092|9112|9161|9181|9213|9262|9004|9016|9046|9094|9114|9162|9182|9216|9264	0|10|10|10|10|10|10|10|10|10|1|1|1|1|1|1|1|1|1
2002	9999|9023|9033|9102|9122|9132|9171|9193|9223|9253|9026|9036|9104|9124|9134|9172|9196|9226|9256	0|10|10|10|10|10|10|10|10|10|1|1|1|1|1|1|1|1|1
2003	9999|9052|9061|9071|9081|9142|9152|9203|9233|9242|9054|9062|9072|9082|9144|9154|9206|9236|9244	0|10|10|10|10|10|10|10|10|10|1|1|1|1|1|1|1|1|1
9000	9000	1
9002	9002	1
9004	9004	1
9010	9010	1
9013	9013	1
9016	9016	1
9020	9020	1
9023	9023	1
9026	9026	1
9030	9030	1
9033	9033	1
9036	9036	1
9040	9040	1
9043	9043	1
9046	9046	1
9050	9050	1
9052	9052	1
9054	9054	1
9060	9060	1
9061	9061	1
9062	9062	1
9070	9070	1
9071	9071	1
9072	9072	1
9080	9080	1
9081	9081	1
9082	9082	1
9090	9090	1
9092	9092	1
9094	9094	1
9100	9100	1
9102	9102	1
9104	9104	1
9110	9110	1
9112	9112	1
9114	9114	1
9120	9120	1
9122	9122	1
9124	9124	1
9130	9130	1
9132	9132	1
9134	9134	1
9140	9140	1
9142	9142	1
9144	9144	1
9150	9150	1
9152	9152	1
9154	9154	1
9160	9160	1
9161	9161	1
9162	9162	1
9170	9170	1
9171	9171	1
9172	9172	1
9180	9180	1
9181	9181	1
9182	9182	1
9190	9190	1
9193	9193	1
9196	9196	1
9200	9200	1
9203	9203	1
9206	9206	1
9210	9210	1
9213	9213	1
9216	9216	1
9220	9220	1
9223	9223	1
9226	9226	1
9230	9230	1
9233	9233	1
9236	9236	1
9240	9240	1
9242	9242	1
9244	9244	1
9250	9250	1
9253	9253	1
9256	9256	1
9260	9260	1
9262	9262	1
9264	9264	1
