INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	可派随从数量	建筑类型	建造类型	建筑等级	建筑最大等级	升级替换建筑ID	升级/建造获得要塞经验	建筑服务获得经验修正(万分比)	升级所需要塞等级	升级消耗资源1类型	升级消耗资源1数量	升级消耗资源2类型	升级消耗资源2数量	升级所需时间（分钟）	是否可以拆除	拆除所需要塞等级	拆除所需资源类型	拆除所需资源数量	拆除后建筑ID	建筑功能服务ID	位标示ID	订单刷新规则索引
0	-1	0	-1	1	10	1	90	1000	6	9	0	-1	-1	300	0	-1	-1	-1	-1	0	1800	-1
1	-1	0	-1	2	10	2	180	2000	12	9	1000	8	600	600	0	-1	-1	-1	-1	1	1801	-1
2	-1	0	-1	3	10	3	300	3000	17	9	2500	8	1500	1000	0	-1	-1	-1	-1	2	1802	-1
3	-1	0	-1	4	10	4	480	4000	25	9	8000	8	4830	1600	0	-1	-1	-1	-1	3	1803	-1
4	-1	0	-1	5	10	5	720	5000	36	9	32000	8	19200	2400	0	-1	-1	-1	-1	4	1804	-1
5	-1	0	-1	6	10	6	1020	6000	49	9	90000	8	54000	3400	0	-1	-1	-1	-1	5	1805	-1
6	-1	0	-1	7	10	7	1500	7000	59	9	222500	8	133500	5000	0	-1	-1	-1	-1	6	1806	-1
7	-1	0	-1	8	10	8	2340	8000	67	9	450000	8	272000	7800	0	-1	-1	-1	-1	7	1807	-1
8	-1	0	-1	9	10	9	3540	9000	77	9	900000	8	552000	11800	0	-1	-1	-1	-1	8	1808	-1
9	-1	0	-1	10	10	-1	5550	10000	87	9	2200000	8	1323000	18500	0	-1	-1	-1	-1	9	1809	-1
10	1	1	1	1	10	11	60	1000	6	9	0	-1	-1	200	0	-1	-1	-1	-1	10	1810	20
11	1	1	-1	2	10	12	90	2000	10	9	375	-1	-1	300	0	-1	-1	-1	-1	11	1811	21
12	1	1	-1	3	10	13	150	3000	14	9	750	-1	-1	500	0	-1	-1	-1	-1	12	1812	22
13	1	1	-1	4	10	14	240	4000	19	9	2800	8	4485	800	0	-1	-1	-1	-1	13	1813	23
14	2	1	-1	5	10	15	360	5000	31	9	11000	8	17200	1200	0	-1	-1	-1	-1	14	1814	24
15	2	1	-1	6	10	16	510	6000	44	9	36000	8	56000	1700	0	-1	-1	-1	-1	15	1815	25
16	2	1	-1	7	10	17	750	7000	54	9	92000	8	142500	2500	0	-1	-1	-1	-1	16	1816	26
17	3	1	-1	8	10	18	1170	8000	64	9	200000	8	316000	3900	0	-1	-1	-1	-1	17	1817	27
18	3	1	-1	9	10	19	1770	9000	74	9	415000	8	643000	5900	0	-1	-1	-1	-1	18	1818	28
19	3	1	-1	10	10	-1	2790	10000	84	9	1000000	8	1558000	9300	0	-1	-1	-1	-1	19	1819	29
20	0	2	2	1	10	21	60	1000	1	9	0	-1	-1	300	0	-1	-1	-1	-1	20	1820	0
21	1	2	-1	2	10	22	120	2000	4	9	400	-1	-1	500	0	-1	-1	-1	-1	21	1821	1
22	1	2	-1	3	10	23	240	3000	9	9	800	-1	-1	800	0	-1	-1	-1	-1	22	1822	2
23	2	2	-1	4	10	24	390	4000	16	9	3680	8	3312	1300	0	-1	-1	-1	-1	23	1823	3
24	2	2	-1	5	10	25	570	5000	27	9	12800	8	11520	1900	0	-1	-1	-1	-1	24	1824	4
25	2	2	-1	6	10	26	810	6000	40	9	50000	8	45500	2700	0	-1	-1	-1	-1	25	1825	5
26	3	2	-1	7	10	27	1200	7000	50	9	124000	8	111600	4000	0	-1	-1	-1	-1	26	1826	6
27	3	2	-1	8	10	28	1860	8000	60	9	280000	8	251100	6200	0	-1	-1	-1	-1	27	1827	7
28	3	2	-1	9	10	29	2820	9000	70	9	570000	8	514000	9400	0	-1	-1	-1	-1	28	1828	8
29	3	2	-1	10	10	-1	4440	10000	80	9	1400000	8	1257000	14800	0	-1	-1	-1	-1	29	1829	9
30	1	3	-1	1	10	31	60	1000	100	9	1800	8	430	200	0	-1	-1	-1	-1	-1	1830	-1
31	1	3	-1	2	10	32	120	2000	100	9	9500	8	2300	400	0	-1	-1	-1	-1	-1	1831	-1
32	1	3	-1	3	10	33	180	3000	100	9	21000	8	5000	600	0	-1	-1	-1	-1	-1	1832	-1
33	1	3	-1	4	10	34	300	4000	100	9	52900	8	12700	1000	0	-1	-1	-1	-1	-1	1833	-1
34	1	3	-1	5	10	35	420	5000	100	9	106000	8	25400	1400	0	-1	-1	-1	-1	-1	1834	-1
35	1	3	-1	6	10	36	600	6000	100	9	195000	8	46800	2000	0	-1	-1	-1	-1	-1	1835	-1
36	1	3	-1	7	10	37	900	7000	100	9	405000	8	97200	3000	0	-1	-1	-1	-1	-1	1836	-1
37	1	3	-1	8	10	38	1380	8000	100	9	645000	8	155000	4600	0	-1	-1	-1	-1	-1	1837	-1
38	1	3	-1	9	10	39	2100	9000	100	9	1010000	8	242000	7000	0	-1	-1	-1	-1	-1	1838	-1
39	1	3	-1	10	10	-1	3300	10000	100	9	2540000	8	609000	11000	0	-1	-1	-1	-1	-1	1839	-1
40	1	4	4	1	10	41	60	1000	100	9	640	-1	-1	200	0	-1	-1	-1	-1	40	1840	-1
41	1	4	-1	2	10	42	120	2000	100	9	4000	-1	-1	400	0	-1	-1	-1	-1	41	1841	-1
42	1	4	-1	3	10	43	180	3000	100	9	11200	8	4200	600	0	-1	-1	-1	-1	42	1842	-1
43	1	4	-1	4	10	44	300	4000	100	9	37700	8	14100	1000	0	-1	-1	-1	-1	43	1843	-1
44	1	4	-1	5	10	45	450	5000	100	9	72000	8	27000	1500	0	-1	-1	-1	-1	44	1844	-1
45	1	4	-1	6	10	46	660	6000	100	9	120000	8	45000	2200	0	-1	-1	-1	-1	45	1845	-1
46	1	4	-1	7	10	47	960	7000	100	9	224000	8	84000	3200	0	-1	-1	-1	-1	46	1846	-1
47	1	4	-1	8	10	48	1500	8000	100	9	372000	8	140000	5000	0	-1	-1	-1	-1	47	1847	-1
48	1	4	-1	9	10	49	2280	9000	100	9	538000	8	202000	7600	0	-1	-1	-1	-1	48	1848	-1
49	1	4	-1	10	10	-1	3570	10000	100	9	1050000	8	394000	11900	0	-1	-1	-1	-1	49	1849	-1
50	0	5	5	1	10	51	55	1000	6	9	0	-1	-1	200	0	-1	-1	-1	-1	50	1850	-1
51	1	5	-1	2	10	52	120	2000	11	9	600	8	360	400	0	-1	-1	-1	-1	51	1851	-1
52	1	5	-1	3	10	53	180	3000	16	9	1200	8	720	600	0	-1	-1	-1	-1	52	1852	-1
53	2	5	-1	4	10	54	300	4000	23	9	4140	8	2484	1000	0	-1	-1	-1	-1	53	1853	-1
54	2	5	-1	5	10	55	420	5000	34	9	16800	8	10080	1400	0	-1	-1	-1	-1	54	1854	-1
55	2	5	-1	6	10	56	600	6000	47	9	50000	8	29700	2000	0	-1	-1	-1	-1	55	1855	-1
56	3	5	-1	7	10	57	900	7000	57	9	123000	8	73800	3000	0	-1	-1	-1	-1	56	1856	-1
57	3	5	-1	8	10	58	1380	8000	66	9	260000	8	158000	4600	0	-1	-1	-1	-1	57	1857	-1
