INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	议事厅1级	议事厅2级	议事厅3级	议事厅4级	议事厅5级	议事厅6级	议事厅7级	议事厅8级	议事厅9级	议事厅10级
0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1	1	1	1
3	1	1	1	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	1	1	1	1
6	1	1	1	1	1	1	1	1	1	1
7	1	1	1	1	1	1	1	1	1	1
8	1	1	1	1	1	1	1	1	1	1
9	1	1	1	1	1	1	1	1	1	1
10	1	1	1	1	1	1	1	1	1	1
11	1	1	1	1	1	1	1	1	1	1
12	1	1	1	1	1	1	1	1	1	1
13	1	1	1	1	1	1	1	1	1	1
14	1	1	1	1	1	1	1	1	1	1
98	10	10	10	10	10	10	10	10	10	10
99	20	20	20	20	20	20	20	20	20	20
100	20	20	20	20	20	20	20	20	20	20
