INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	额外奖励参数	额外奖励规则	额外奖励1ID(索引子表)	额外奖励1数量1	额外奖励1数量2	额外奖励2ID(索引子表)	额外奖励2数量1	额外奖励2数量2	额外奖励3ID(索引子表)	额外奖励3数量1	额外奖励3数量2	建筑类型ID	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8
0	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	6	12	-1	-1	-1	-1	-1
1	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	8	14	-1	-1	-1	-1	-1
2	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	10	16	-1	-1	-1	-1	-1
3	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	12	18	-1	-1	-1	-1	-1
4	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	14	20	-1	-1	-1	-1	-1
5	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	16	22	-1	-1	-1	-1	-1
6	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	18	24	-1	-1	-1	-1	-1
7	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	20	26	-1	-1	-1	-1	-1
8	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	22	28	-1	-1	-1	-1	-1
9	-1	-1	-1	1	2	-1	1	1	-1	1	1	0	100	24	30	-1	-1	-1	-1	-1
10	1800	0	2100	1	1	2110	1	1	-1	1	1	1	9	300	100	5000	150	-1	-1	-1
11	2950	0	2101	1	1	2111	1	1	-1	1	1	1	9	500	120	7500	120	-1	-1	-1
12	4640	0	2102	1	1	2112	1	2	-1	1	1	1	9	800	150	12500	95	-1	-1	-1
13	6840	0	2103	1	1	2113	1	2	-1	1	1	1	9	1200	190	20000	65	-1	-1	-1
14	10080	0	2104	1	1	2114	1	3	-1	1	1	1	9	1800	240	30000	50	-1	-1	-1
15	13750	0	2105	1	1	2115	1	3	-1	1	1	1	9	2500	300	40000	40	-1	-1	-1
16	19440	0	2106	1	1	2116	1	4	-1	1	1	1	9	3600	380	60000	30	-1	-1	-1
17	25440	0	2107	1	1	2117	1	4	-1	1	1	1	9	4800	480	80000	25	-1	-1	-1
18	33280	0	2108	1	1	2118	1	5	-1	1	1	1	9	6400	600	100000	22	-1	-1	-1
