INT	FLOAT	INT	INT	INT	INT	INT	INT
子弹ID	飞行速度(1秒飞多少米)	携带BUFFID1	携带BUFFID2	攻击指定怪物ID1	攻击指定怪物ID2	攻击指定怪物ID3	子弹发射延迟(毫秒)
100	15	100	-1	-1	-1	-1	300
101	15	101	-1	-1	-1	-1	180
103	15	102	-1	-1	-1	-1	300
104	15	200	-1	-1	-1	-1	320
105	15	8102	-1	-1	-1	-1	0
106	15	100	-1	-1	-1	-1	300
107	15	101	-1	-1	-1	-1	180
108	15	102	-1	-1	-1	-1	300
109	15	100	-1	-1	-1	-1	300
110	15	101	-1	-1	-1	-1	180
111	15	102	-1	-1	-1	-1	300
112	15	100	-1	-1	-1	-1	300
113	15	101	-1	-1	-1	-1	180
114	15	102	-1	-1	-1	-1	300
998	15	1000	-1	-1	-1	-1	400
999	15	1000	-1	-1	-1	-1	400
1000	15	1008	-1	-1	-1	-1	800
1001	15	1012	-1	-1	-1	-1	350
1002	15	1014	-1	-1	-1	-1	550
1003	15	1015	-1	-1	-1	-1	450
1004	15	1016	-1	-1	-1	-1	0
1005	15	1017	-1	-1	-1	-1	350
1006	15	1018	-1	-1	-1	-1	350
1007	15	1019	-1	-1	-1	-1	0
1008	15	1020	-1	-1	-1	-1	0
1009	15	1021	-1	-1	-1	-1	500
1010	15	1022	-1	-1	-1	-1	500
1011	15	1023	-1	-1	-1	-1	700
1012	15	1024	-1	-1	-1	-1	0
1013	15	1025	-1	-1	-1	-1	0
1014	15	1026	-1	-1	-1	-1	0
1015	15	1027	-1	-1	-1	-1	0
1016	15	1028	-1	-1	-1	-1	0
1017	20	1030	-1	-1	-1	-1	420
1018	20	1038	-1	10004	-1	-1	300
1019	15	1043	-1	-1	-1	-1	700
1020	15	1065	-1	-1	-1	-1	350
1021	15	1066	-1	-1	-1	-1	0
1022	15	1075	-1	-1	-1	-1	0
1023	15	1076	-1	-1	-1	-1	0
1024	15	1077	-1	-1	-1	-1	0
1025	15	1078	-1	-1	-1	-1	0
1026	15	1079	-1	-1	-1	-1	0
1027	15	1080	-1	-1	-1	-1	0
1028	15	1081	-1	-1	-1	-1	0
1029	15	1082	-1	-1	-1	-1	0
1030	15	1083	-1	-1	-1	-1	0
1031	15	1084	-1	-1	-1	-1	0
1032	15	1085	-1	-1	-1	-1	0
1033	15	1086	-1	-1	-1	-1	0
1034	15	1087	-1	-1	-1	-1	0
1035	15	1088	-1	-1	-1	-1	0
1036	15	1089	-1	-1	-1	-1	0
1037	60	1091	-1	-1	-1	-1	0
1038	15	1109	-1	-1	-1	-1	750
1039	15	1300	-1	-1	-1	-1	550
1040	15	1012	-1	-1	-1	-1	350
1041	15	1015	-1	-1	-1	-1	450
1042	15	1015	-1	-1	-1	-1	450
1043	15	1066	-1	-1	-1	-1	350
1044	15	1111	-1	-1	-1	-1	350
2000	15	2010	-1	-1	-1	-1	450
2001	15	2011	-1	-1	-1	-1	450
2002	15	2012	-1	-1	-1	-1	450
2003	15	2013	-1	-1	-1	-1	450
2100	15	2103	-1	-1	-1	-1	450
