INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	角色名称	类型	扩展ID	性别	阵营	等级	力量	敏捷	智力	体力	物攻最小值	物攻最大值	魔攻最小值	魔攻最大值	附加伤害	物理防御	魔法防御	伤害抵挡	生命上限	魔法上限	幸运一击率	幸运一击伤害率	卓越一击率	卓越一击伤害率	命中	闪避	伤害加成率	伤害减少率	伤害反弹率	无视防御率	移动速度	击中回复	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID	普通攻击技能ID
0	剑士	0	0	0	1	1	5	1	1	10	1	1	1	1	0	5	2	0	55	1000	0	12500	0	15000	0	0	0	0	0	0	600	0	0	1	2	3	4	5	6	7	8	9	10	11	-1	-1	-1	-1	-1	-1	-1	-1
1	法师	0	1	1	1	1	1	1	5	8	1	1	1	1	0	2	2	0	55	1000	0	12500	0	15000	0	0	0	0	0	0	600	0	100	101	102	103	104	105	106	107	108	109	110	111	112	-1	-1	-1	-1	-1	-1	-1
2	弓箭手	0	2	0	1	1	2	5	1	7	1	1	1	1	0	3	2	0	40	1000	0	12500	0	15000	0	0	0	0	0	0	600	0	200	201	202	203	204	205	206	207	208	209	210	211	212	-1	-1	-1	-1	-1	-1	-1
3	新职业备用	0	3	1	1	1	1	5	2	9	1	1	1	1	0	2	2	0	40	1000	0	12500	0	15000	0	0	0	0	0	0	600	0	3000	3001	3002	3003	3004	3005	3006	3007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	训练假人	1	10	0	0	1	2	2	2	2	2	2	2	2	0	2	2	0	30000	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	兔子	1	11	0	0	2	2	2	2	2	2	2	2	2	0	2	2	0	5000	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	野狼	1	12	0	0	3	2	2	2	2	2	2	2	2	0	2	2	0	2000	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	黑豹	1	13	0	0	4	2	2	2	2	2	2	2	2	0	2	2	0	200	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	水蛇	1	14	0	0	5	2	2	2	2	2	2	2	2	0	2	2	0	500	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	卫兵	1	15	0	0	4	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	无赖	1	16	0	0	4	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	初级角斗士	1	17	0	0	4	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	巨斧男	1	18	0	0	4	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	幽魂	1	19	0	0	4	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	奥诺玛奥斯	1	20	0	2	20	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	医师	1	21	0	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	巴蒂塔斯	1	22	0	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	妮维雅	1	23	1	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	瓦罗	1	24	0	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
