INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
索引ID	角色名称	角色类型	扩展ID（索引NPC表或创建角色表）	性别	阵营	等级	力量	敏捷	智力	体力	物攻最小值	物攻最大值	魔攻最小值	魔攻最大值	附加伤害	物理防御	魔法防御	伤害抵挡	生命上限	魔法上限	幸运一击率	幸运一击伤害率	卓越一击率	卓越一击伤害率	命中	闪避	伤害加成率	伤害减少率	伤害反弹率	无视防御率	移动速度	击中回复	火属性攻击	冰属性攻击	毒属性攻击	火属性抗性	冰属性抗性	毒属性抗性	普通攻击技能ID	出生技能ID2	出生技能ID3	出生技能ID4	出生技能ID5	出生技能ID6	出生技能ID7	出生技能ID8	出生技能ID9	出生技能ID10	出生技能ID11	出生技能ID12	出生技能ID13	出生技能ID14	出生技能ID15	出生技能ID16	出生技能ID17	出生技能ID18	出生技能ID19	出生技能ID20	是否会受到攻击	被动技能组
0	剑士	0	0	0	0	1	17	5	3	10	40	40	0	0	0	18	14	0	500	300	0	12000	0	20000	11	11	0	0	0	0	700	0	0	0	0	0	0	0	0	1	2	3	4	5	6	10	7	9	8	12	11	13	14	15	16	30	-1	-1	1	12001|12011|12021|12030|12040|12051|12061|12071|999
1	法师	0	1	0	0	1	4	5	15	6	0	0	60	60	0	13	17	0	500	300	0	12000	0	20000	14	14	0	0	0	0	700	0	0	0	0	0	0	0	100	101	102	103	104	105	106	110	111	107	108	109	112	115	116	117	118	133	-1	-1	1	12001|12011|12021|12031|12040|12051|12061|12071|999
2	弓箭手	0	2	1	0	1	5	15	5	8	52	52	0	0	0	16	16	0	500	300	0	12000	0	20000	13	13	0	0	0	0	700	0	0	0	0	0	0	0	200	201	202	203	204	206	207	211	209	208	205	210	212	213	214	215	216	231	-1	-1	1	12001|12011|12021|12032|12040|12051|12061|12071|999
3	新职业备用	0	3	1	0	1	0	0	0	0	12	12	12	12	0	50	50	0	29	1000	5	12000	5	20000	0	173	0	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
10	老板娘丽娜	1	10	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
11	魔导师贝芙丽	1	11	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
12	战盟使者尤莱亚	1	12	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
13	圣导师塞西莉亚	1	13	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
14	武器商人多琳	1	14	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
