INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	排名	奖励道具ID1	数量	奖励道具ID2	数量	奖励道具ID3	数量	奖励道具ID4	数量	排名对应邮件
1	1|1	28000	5	22055	3	24515	5	-1	0	431
2	2|2	28000	3	22055	2	24515	3	-1	0	432
3	3|3	28000	2	22055	1	24515	2	-1	0	433
4	4|10	28000	1	22054	3	24515	1	-1	0	434
5	11|20	22000	10	22054	2	24514	1	-1	0	435
6	21|30	22000	6	22054	1	24513	1	-1	0	436
7	31|50	22000	4	22054	1	24513	1	-1	0	437
8	51|100	22000	2	22054	1	24513	1	-1	0	438
9	101|150	22000	1	22054	1	24513	1	-1	0	439
10	151|300	22000	1	22054	1	24513	1	-1	0	440
11	301|400	22000	1	22054	1	24513	1	-1	0	441
12	401|500	22000	1	22054	1	24513	1	-1	0	442
13	501|700	22000	1	22054	1	24513	1	-1	0	443
14	701|1000	22000	1	22054	1	24513	1	-1	0	444
