INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	排名	奖励道具ID1	数量	奖励道具ID2	数量	奖励道具ID3	数量	奖励道具ID4	数量
1	1	2	100000	22000	50	8	5000	-1	0
2	2	2	99000	22000	49	8	4900	-1	0
3	3	2	98000	22000	48	8	4800	-1	0
4	4	2	97000	22000	47	8	4700	-1	0
5	5	2	96000	22000	46	8	4600	-1	0
6	6	2	95000	22000	45	8	4500	-1	0
7	7	2	94000	22000	44	8	4400	-1	0
8	8	2	93000	22000	43	8	4300	-1	0
9	9	2	92000	22000	42	8	4200	-1	0
10	10	2	91000	22000	41	8	4100	-1	0
11	11	2	90000	22000	40	8	4000	-1	0
12	12	2	89000	22000	39	8	3900	-1	0
13	13	2	88000	22000	38	8	3800	-1	0
14	14	2	87000	22000	37	8	3700	-1	0
15	15	2	86000	22000	36	8	3600	-1	0
16	16	2	85000	22000	35	8	3500	-1	0
17	17	2	84000	22000	34	8	3400	-1	0
18	18	2	83000	22000	33	8	3300	-1	0
19	19	2	82000	22000	32	8	3200	-1	0
20	20	2	81000	22000	31	8	3100	-1	0
21	21	2	80000	22000	30	8	3000	-1	0
22	22	2	79000	22000	29	8	2900	-1	0
23	23	2	78000	22000	28	8	2800	-1	0
24	24	2	77000	22000	27	8	2700	-1	0
25	25	2	76000	22000	26	8	2600	-1	0
26	26	2	75000	22000	25	8	2500	-1	0
27	27	2	74000	22000	24	8	2400	-1	0
28	28	2	73000	22000	23	8	2300	-1	0
29	29	2	72000	22000	22	8	2200	-1	0
30	30	2	71000	22000	21	8	2100	-1	0
31	31	2	70000	22000	20	8	2000	-1	0
32	32	2	69000	22000	19	8	1900	-1	0
33	33	2	68000	22000	18	8	1800	-1	0
34	34	2	67000	22000	17	8	1700	-1	0
35	35	2	66000	22000	16	8	1600	-1	0
36	36	2	65000	22000	15	8	1500	-1	0
37	37	2	64000	22000	14	8	1400	-1	0
38	38	2	63000	22000	13	8	1300	-1	0
39	39	2	62000	22000	12	8	1200	-1	0
40	40	2	61000	22000	11	8	1100	-1	0
