INT	STRING	INT	INT
ID	名称	是否父节点	节点参数
0	其他	0	10
1	北京	0	5
2	上海	0	5
3	天津	0	5
4	重庆	0	5
5	香港	0	5
6	澳门	0	5
1000	黑龙江	1	68000
1001	吉林	1	68001
1002	辽宁	1	68002
1003	内蒙古	1	68003
1004	河北	1	68004
1005	新疆	1	68005
1006	甘肃	1	68006
1007	青海	1	68007
1008	陕西	1	68008
1009	宁夏	1	68009
1010	河南	1	68010
1011	山东	1	68011
1012	山西	1	68012
1013	安徽	1	68013
1014	湖北	1	68014
1015	湖南	1	68015
1016	江苏	1	68016
1017	四川	1	68017
1018	贵州	1	68018
1019	云南	1	68019
1020	广西	1	68020
1021	西藏	1	68021
1022	浙江	1	68022
1023	江西	1	68023
1024	广东	1	68024
1025	福建	1	68025
1026	海南	1	68026
10000	哈尔滨	0	5
10001	齐齐哈尔	0	5
10002	鸡西	0	5
10003	鹤岗	0	5
10004	双鸭山	0	5
10005	大庆	0	5
10006	伊春	0	5
10007	佳木斯	0	5
10008	七台河	0	5
10009	牡丹江	0	5
10010	黑河	0	5
10011	绥化	0	5
10012	大兴安岭	0	5
10100	长春	0	5
10101	吉林	0	5
10102	四平	0	5
10103	辽源	0	5
10104	通化	0	5
10105	白山	0	5
10106	松原	0	5
10107	白城	0	5
10108	延边	0	5
10200	沈阳	0	5
10201	大连	0	5
10202	鞍山	0	5
10203	抚顺	0	5
10204	本溪	0	5
10205	丹东	0	5
10206	锦州	0	5
10207	营口	0	5
10208	阜新	0	5
10209	辽阳	0	5
10210	盘锦	0	5
10211	铁岭	0	5
10212	朝阳	0	5
10213	葫芦岛	0	5
10300	呼和浩特	0	5
10301	乌海	0	5
10302	赤峰	0	5
10303	通辽	0	5
10304	鄂尔多斯	0	5
10305	巴彦淖尔	0	5
10306	乌兰察布	0	5
10307	兴安	0	5
10308	锡林郭勒	0	5
10309	呼伦贝尔	0	5
10310	包头	0	5
10311	阿拉善	0	5
10400	石家庄	0	5
10401	唐山	0	5
10402	秦皇岛	0	5
10403	邯郸	0	5
10404	邢台	0	5
10405	保定	0	5
10406	张家口	0	5
10407	承德	0	5
10408	沧州	0	5
10409	廊坊	0	5
10410	衡水	0	5
10500	乌鲁木齐	0	5
10501	克拉玛依	0	5
10502	吐鲁番	0	5
10503	哈密	0	5
10504	和田	0	5
10505	阿克苏	0	5
10506	喀什	0	5
10507	克孜勒苏	0	5
10508	巴音郭楞	0	5
10509	昌吉	0	5
10510	博尔塔拉	0	5
10511	伊犁	0	5
10512	塔城	0	5
10513	阿勒泰	0	5
10514	石河子	0	5
10515	阿拉尔	0	5
10516	图木舒克	0	5
10517	五家渠	0	5
10600	兰州	0	5
10601	金昌	0	5
10602	白银	0	5
10603	天水	0	5
10604	嘉峪关	0	5
10605	武威	0	5
10606	张掖	0	5
10607	平凉	0	5
10608	酒泉	0	5
10609	庆阳	0	5
10610	定西	0	5
10611	陇南	0	5
10612	干那	0	5
10613	临夏	0	5
10700	西宁	0	5
10701	海东	0	5
10702	海北	0	5
10703	黄南	0	5
10704	海南	0	5
10705	果洛	0	5
10706	玉树	0	5
10707	海西	0	5
10800	西安	0	5
10801	铜川	0	5
10802	宝鸡	0	5
10803	咸阳	0	5
10804	渭南	0	5
10805	延安	0	5
10806	汉中	0	5
10807	榆林	0	5
10808	安康	0	5
10809	商洛	0	5
10900	银川	0	5
10901	石嘴山	0	5
10902	吴忠	0	5
10903	固原	0	5
11000	郑州	0	5
11001	开封	0	5
11002	洛阳	0	5
11003	平顶山	0	5
11004	安阳	0	5
11005	何必	0	5
11006	新乡	0	5
11007	焦作	0	5
11008	濮阳	0	5
11009	许昌	0	5
11010	漯河	0	5
11011	三门峡	0	5
11012	南阳	0	5
11013	商丘	0	5
11014	信阳	0	5
11015	周口	0	5
11016	驻马店	0	5
11017	济源	0	5
11100	济南	0	5
11101	青岛	0	5
11102	淄博	0	5
11103	枣庄	0	5
11104	东营	0	5
11105	烟台	0	5
11106	潍坊	0	5
11107	济宁	0	5
11108	泰安	0	5
11109	威海	0	5
11110	日照	0	5
11111	莱芜	0	5
11112	临沂	0	5
11113	德州	0	5
11114	聊城	0	5
11115	滨州	0	5
11116	菏泽	0	5
11200	太原	0	5
11201	大同	0	5
11202	阳泉	0	5
11203	长治	0	5
11204	晋城	0	5
11205	朔州	0	5
11206	晋中	0	5
11207	运城	0	5
11208	忻州	0	5
11209	临汾	0	5
11210	吕梁	0	5
11300	合肥	0	5
11301	芜湖	0	5
11302	蚌埠	0	5
11303	淮南	0	5
11304	马鞍山	0	5
11305	淮北	0	5
11306	铜陵	0	5
11307	安庆	0	5
11308	黄山	0	5
11309	滁州	0	5
11310	阜阳	0	5
11311	宿州	0	5
11312	巢湖	0	5
11313	六安	0	5
11314	亳州	0	5
11315	池州	0	5
11316	宣城	0	5
11400	武汉	0	5
11401	黄石	0	5
11402	十堰	0	5
11403	宜昌	0	5
11404	襄樊	0	5
11405	鄂州	0	5
11406	荆门	0	5
11407	孝感	0	5
11408	荆州	0	5
11409	黄冈	0	5
11410	咸宁	0	5
11411	随州	0	5
11412	恩施	0	5
11413	仙桃	0	5
11414	潜江	0	5
11415	天门	0	5
11416	神农架	0	5
11500	长沙	0	5
11501	株洲	0	5
11502	湘潭	0	5
11503	衡阳	0	5
11504	邵阳	0	5
11505	岳阳	0	5
11506	张家界	0	5
11507	益阳	0	5
11508	郴州	0	5
11509	永州	0	5
11510	怀化	0	5
11511	娄底	0	5
11512	湘西	0	5
11600	南京	0	5
11601	无锡	0	5
11602	徐州	0	5
11603	常州	0	5
11604	苏州	0	5
11605	南通	0	5
11606	连云港	0	5
11607	淮安	0	5
11608	盐城	0	5
11609	扬州	0	5
11610	镇江	0	5
11611	泰州	0	5
11612	宿迁	0	5
11700	成都	0	5
11701	自贡	0	5
11702	攀枝花	0	5
11703	泸州	0	5
11704	德阳	0	5
11705	绵阳	0	5
11706	广元	0	5
11707	遂宁	0	5
11708	内江	0	5
11709	乐山	0	5
11710	南充	0	5
11711	宜宾	0	5
11712	广安	0	5
11713	达州	0	5
11714	巴中	0	5
11715	雅安	0	5
11716	眉山	0	5
11717	资阳	0	5
11718	阿坝躲	0	5
11719	甘孜	0	5
11720	凉山	0	5
11800	贵阳	0	5
11801	六盘水	0	5
11802	遵义	0	5
11803	安顺	0	5
11804	铜仁	0	5
11805	毕节	0	5
11806	黔西南	0	5
11807	黔东南	0	5
11808	黔南	0	5
11900	昆明	0	5
11901	曲靖	0	5
11902	玉溪	0	5
11903	保山	0	5
11904	邵通	0	5
11905	丽江	0	5
11906	思茅	0	5
11907	临沧	0	5
11908	文山	0	5
11909	红河	0	5
11910	西双版纳	0	5
11911	楚雄	0	5
11912	大理	0	5
11913	德宏	0	5
11914	怒江	0	5
11915	迪庆	0	5
12000	南宁	0	5
12001	柳州	0	5
12002	桂林	0	5
12003	梧州	0	5
12004	北海	0	5
12005	防城港	0	5
12006	钦州	0	5
12007	贵港	0	5
12008	玉林	0	5
12009	白色	0	5
12010	贺州	0	5
12011	河池	0	5
12012	来宾	0	5
12013	崇左	0	5
12100	拉萨	0	5
12101	昌都	0	5
12102	山南	0	5
12103	日喀则	0	5
12104	阿里	0	5
12105	林芝	0	5
12200	杭州	0	5
12201	宁波	0	5
12202	温州	0	5
12203	嘉兴	0	5
12204	湖州	0	5
12205	绍兴	0	5
12206	金华	0	5
12207	衢州	0	5
12208	船山	0	5
12209	台州	0	5
12210	丽水	0	5
12300	南昌	0	5
12301	景德镇	0	5
12302	萍乡	0	5
12303	九江	0	5
12304	新余	0	5
12305	鹰潭	0	5
12306	赣州	0	5
12307	吉安	0	5
12308	宜春	0	5
12309	抚州	0	5
12310	上饶	0	5
12400	广州	0	5
12401	韶关	0	5
12402	深圳	0	5
12403	珠海	0	5
12404	汕头	0	5
12405	佛山	0	5
12406	江门	0	5
12407	湛江	0	5
12408	茂名	0	5
12409	肇庆	0	5
12410	惠州	0	5
12411	梅州	0	5
12412	汕尾	0	5
12413	河源	0	5
12414	阳江	0	5
12415	情缘	0	5
12416	东莞	0	5
12417	中山	0	5
12418	潮州	0	5
12419	揭阳	0	5
12420	云浮	0	5
12500	福州	0	5
12501	厦门	0	5
12502	莆田	0	5
12503	三明	0	5
12504	泉州	0	5
12505	漳州	0	5
12506	南平	0	5
12507	龙岩	0	5
12508	宁德	0	5
12600	海口	0	5
12601	三亚	0	5
12602	五指山	0	5
12603	琼海	0	5
12604	儋州	0	5
12605	文昌	0	5
12606	万宁	0	5
12607	东方	0	5
12608	安定	0	5
12609	屯昌	0	5
12610	澄迈	0	5
12611	临高	0	5
12612	白沙	0	5
12613	昌江	0	5
12614	乐东	0	5
12615	陵水	0	5
12616	保亭	0	5
12617	琼中	0	5
12618	西沙	0	5
12619	中沙	0	5
12620	南沙	0	5
