INT	INT	STRING	STRING	STRING	STRING	INT
索引ID	副本ID	通关奖励IDs	通关奖励Nums	首次奖励IDs	首次奖励Nums	当前扫荡至层数
1	12000	12|18|2	200|100|2000	12|18|2	600|300|6000	0
2	12001	12|18|2	205|105|2000	12|18|2	615|315|6000	0
3	12002	12|18|2	210|110|2000	12|18|2	630|330|6000	0
4	12003	12|18|2	216|115|2000	12|18|2	648|345|6000	0
5	12004	12|18|2	222|120|2000	12|18|2	666|360|6000	0
6	12005	12|18|2	228|125|4000	12|18|2	684|375|12000	1
7	12006	12|18|2	234|130|4000	12|18|2	702|390|12000	2
8	12007	12|18|2	241|135|4000	12|18|2	723|405|12000	3
9	12008	12|18|2	248|140|4000	12|18|2	744|420|12000	4
10	12009	12|18|2	255|145|4000	12|18|2	765|435|12000	5
11	12010	12|18|2	262|150|6000	12|18|2	786|450|18000	6
12	12011	12|18|2	269|155|6000	12|18|2	807|465|18000	7
13	12012	12|18|2	276|160|6000	12|18|2	828|480|18000	8
14	12013	12|18|2	284|165|6000	12|18|2	852|495|18000	9
15	12014	12|18|2	292|170|6000	12|18|2	876|510|18000	10
16	12015	12|18|2	300|175|8000	12|18|2	900|525|24000	11
17	12016	12|18|2	308|180|8000	12|18|2	924|540|24000	12
18	12017	12|18|2	317|185|8000	12|18|2	951|555|24000	13
19	12018	12|18|2	326|190|8000	12|18|2	978|570|24000	14
20	12019	12|18|2	335|195|8000	12|18|2	1005|585|24000	15
21	12020	12|18|2	344|200|10000	12|18|2	1032|600|30000	16
22	12021	12|18|2	353|205|10000	12|18|2	1059|615|30000	17
23	12022	12|18|2	362|210|10000	12|18|2	1086|630|30000	18
24	12023	12|18|2	372|215|10000	12|18|2	1116|645|30000	19
25	12024	12|18|2	382|220|10000	12|18|2	1146|660|30000	20
26	12025	12|18|2	392|225|12000	12|18|2	1176|675|36000	21
27	12026	12|18|2	402|230|12000	12|18|2	1206|690|36000	22
28	12027	12|18|2	413|235|12000	12|18|2	1239|705|36000	23
29	12028	12|18|2	424|240|12000	12|18|2	1272|720|36000	24
30	12029	12|18|2	435|245|12000	12|18|2	1305|735|36000	25
