INT	INT	INT	INT	INT
颜色ID	红R	绿G	蓝B	透明A
0	255	255	255	255
1	173	255	0	255
2	76	138	255	255
3	216	59	252	255
4	255	143	42	255
5	255	58	58	255
10	255	58	58	255
11	255	215	0	255
12	255	255	0	255
13	0	255	255	255
14	173	255	0	255
15	12	255	0	255
16	249	235	156	255
17	255	185	0	255
18	213	66	255	255
21	255	255	255	255
22	219	0	0	255
23	0	255	60	255
24	100	255	255	255
25	180	180	180	255
26	255	255	255	255
95	217	166	94	255
96	192	192	192	255
97	8	46	84	255
98	139	69	19	255
99	0	0	0	255
100	255	179	105	255
101	76	255	169	255
102	104	175	255	255
103	254	218	61	255
104	255	107	180	255
105	84	15	160	255
106	158	122	36	255
107	235	235	112	255
108	38	24	17	255
109	230	230	0	255
110	170	200	30	255
111	48	48	0	255
112	250	0	143	255
113	216	0	164	255
114	60	30	40	255
115	250	240	160	255
116	253	126	0	255
117	140	60	40	255
200	40	102	225	255
201	255	0	0	255
300	0	255	255	255
301	255	246	109	255
302	255	246	109	255
303	102	44	0	255
304	255	171	109	255
305	255	171	109	255
306	102	44	0	255
307	101	253	255	255
308	101	253	255	255
309	0	20	120	255
310	40	255	222	255
311	40	255	222	255
312	0	64	59	255
313	233	109	255	255
314	233	109	255	255
315	92	0	118	255
316	23	165	255	255
317	255	255	255	255
318	14	0	99	255
319	0	255	12	255
320	255	255	255	255
321	0	87	12	255
322	255	144	0	255
323	255	255	255	255
324	82	25	0	255
325	240	0	124	255
326	255	191	233	255
327	66	0	85	255
328	83	0	186	255
329	255	140	254	255
330	43	0	43	255
331	0	255	12	255
332	255	240	0	255
333	4	57	0	255
334	255	102	0	255
335	255	234	0	255
336	79	39	0	255
337	249	77	255	255
338	255	255	255	255
339	76	0	134	255
340	43	33	255	255
341	88	237	255	255
342	60	0	95	255
343	33	127	255	255
344	0	228	255	255
345	40	1	140	255
346	150	0	255	255
347	255	124	250	255
348	98	0	97	255
349	255	0	0	255
350	239	150	255	255
351	132	3	3	255
352	171	50	255	255
353	84	245	255	255
354	57	0	128	255
355	23	165	255	255
356	255	255	255	255
357	14	0	99	255
358	0	255	12	255
359	255	255	255	255
360	0	87	12	255
361	255	144	0	255
362	255	255	255	255
363	82	25	0	255
364	0	240	255	255
365	255	255	255	255
366	0	16	87	255
367	255	74	74	255
368	255	255	255	255
369	71	0	0	255
370	255	174	64	255
371	255	255	255	255
372	161	98	0	255
373	255	64	172	255
374	255	255	255	255
375	108	0	53	255
376	145	64	255	255
377	255	255	255	255
378	33	13	118	255
379	150	253	66	255
380	255	255	255	255
381	52	100	25	255
382	253	237	133	255
383	255	240	0	255
384	96	50	0	255
385	255	255	0	255
386	255	109	0	255
387	118	44	0	255
388	246	255	0	255
389	0	181	38	255
390	0	71	0	255
391	255	124	250	255
392	150	0	255	255
393	98	0	97	255
394	129	245	255	255
395	129	245	255	255
396	0	55	129	255
397	152	154	255	255
398	152	154	255	255
399	0	15	129	255
400	255	129	212	255
401	255	129	212	255
402	133	0	103	255
403	255	129	129	255
404	255	129	129	255
405	129	0	0	255
406	255	240	0	255
407	0	255	12	255
408	4	57	0	255
409	0	252	255	255
410	0	37	173	255
411	4	0	91	255
412	255	234	0	255
413	255	0	0	255
414	98	5	5	255
415	122	114	236	255
416	249	241	252	255
417	47	29	67	255
418	171	234	89	255
419	247	255	243	255
420	0	151	96	255
421	246	176	27	255
422	253	251	177	255
423	159	71	0	255
424	16	44	255	255
425	99	255	253	255
426	150	0	255	255
427	255	0	21	255
428	254	255	133	255
429	159	0	150	255
501	0	88	255	255
502	0	255	0	255
503	255	150	0	255
600	101	253	255	255
601	255	255	255	255
602	0	20	120	255
603	210	255	0	255
604	255	255	255	255
605	129	87	6	255
606	18	255	0	255
607	255	255	255	255
608	16	67	1	255
700	255	255	255	255
701	87	66	250	255
702	0	20	120	255
703	255	255	255	255
704	40	255	222	255
705	0	64	59	255
