INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	活动名称	活动类型	相关标记位	相关扩展计数	补偿次数最大值	补偿经验类型	单位补偿经验	补偿金钱类型	单位补偿金钱	补偿物品1类型	单位补偿物品1	数值	补偿物品2类型	单位补偿物品2	数值	补偿物品3类型	单位补偿物品3	数值	补偿物品4类型	单位补偿物品4	数值	条件ID索引
1	剧情副本	1	-1	100	3	0	2000	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	40
2	剧情副本	1	-1	103	2	0	3000	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3000
3	剧情副本	1	-1	106	1	0	5000	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3001
4	剧情副本	1	-1	112	3	0	4000	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	46
5	剧情副本	1	-1	115	2	0	7000	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3002
6	剧情副本	1	-1	118	1	0	12000	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3003
7	剧情副本	1	-1	124	3	0	9000	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	2046
8	剧情副本	1	-1	127	2	0	17000	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3004
9	剧情副本	1	-1	130	1	0	28000	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3005
10	剧情副本	1	-1	145	3	0	22000	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	206
11	剧情副本	1	-1	146	2	0	40000	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3006
12	剧情副本	1	-1	147	1	0	65000	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3007
13	剧情副本	1	-1	148	3	0	52000	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	165
14	剧情副本	1	-1	149	2	0	91000	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3008
15	剧情副本	1	-1	150	1	0	147000	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3009
16	剧情副本	1	-1	151	3	0	68900	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	220
17	剧情副本	1	-1	152	2	0	119600	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3010
18	剧情副本	1	-1	153	1	0	192400	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3011
19	剧情副本	1	-1	154	3	0	90870	0	0	0	22003	1	0	-1	0	0	-1	0	0	-1	0	320
20	剧情副本	1	-1	155	2	0	156780	0	0	0	22000	1	0	-1	0	0	-1	0	0	-1	0	3012
21	剧情副本	1	-1	156	1	0	251420	0	0	0	22001	1	0	-1	0	0	-1	0	0	-1	0	3013
28	竞技场	2	-1	26	5	1	59000	0	0	0	11	2000	0	-1	0	0	-1	0	0	-1	0	119
29	神魔斗场	3	-1	311	1	1	59001	0	20000	1	11	59012	0	-1	0	0	-1	0	0	-1	0	119
30	冰域征战	4	-1	438	1	1	59002	0	20000	1	11	59013	0	-1	0	0	-1	0	0	-1	0	119
31	亡灵城堡	5	-1	299	2	3	59003	0	0	1	22018	59007	0	-1	0	0	-1	0	0	-1	0	114
32	地狱监牢	6	-1	300	2	3	59004	0	0	1	22017	59008	0	-1	0	0	-1	0	0	-1	0	50
33	试炼古域	7	-1	428	1800	2	12500	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	48000
34	世界boss	8	-1	27	2	0	100000	0	200000	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2007
35	冰封神迹	9	-1	449	1	2	1500000	1	59014	1	7	59015	0	-1	0	0	-1	0	0	-1	0	2014
36	贪财地精	10	-1	445	1	0	0	0	0	1	5	59009	0	-1	0	0	-1	0	0	-1	0	2017
37	守卫大陆	11	-1	446	1	3	59005	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	323
38	多人守卫大陆	12	-1	447	1	1	91018	1	91012	1	22066	59016	0	-1	0	0	-1	0	0	-1	0	2015
39	机关金库	13	-1	448	1	0	0	0	300000	0	-1	0	0	-1	0	0	-1	0	0	-1	0	85
50	幽冥魔殿	14	-1	142	1	0	70638	0	20265	0	5	1000	0	-1	0	0	-1	0	0	-1	0	2009
51	炽焰炼狱	15	-1	247	1	0	182272	0	49920	0	5	2000	0	-1	0	0	-1	0	0	-1	0	2014
52	死亡漩涡	16	-1	456	1	0	338905	0	88044	0	5	3000	0	-1	0	0	-1	0	0	-1	0	2017
53	沙城魔域	17	-1	760	1	0	423632	0	110055	0	5	4000	0	-1	0	0	-1	0	0	-1	0	2019
60	你问我答	18	-1	436	20	2	150000	0	15000	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2010
