INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	位标示为真	位标示为假	扩展计数1	最小值	最大值	扩展计数2	最小值	最大值	扩展计数3	最小值	最大值	扩展计数4	最小值	最大值	物品1ID	最小值	最大值	物品2ID	最小值	最大值	物品3ID	最小值	最大值	物品4ID	最小值	最大值
0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
