INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	材料1	材料1数量	材料2	材料2数量	材料3	材料3数量	材料4	材料4数量	材料5	材料5数量	材料6	材料6数量	材料7	材料7数量	材料8	材料8数量	材料9	材料9数量	材料10	材料10数量
1	7	200	40000	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
2	7	400	40000	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
3	7	800	40000	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
4	7	1600	40000	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
5	7	3200	40000	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
6	7	200	40001	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
7	7	400	40001	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
8	7	800	40001	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
9	7	1600	40001	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
10	7	3200	40001	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
11	7	200	40002	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
12	7	400	40002	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
13	7	800	40002	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
14	7	1600	40002	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
15	7	3200	40002	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
16	7	400	40100	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
17	7	800	40100	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
18	7	1600	40100	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
19	7	3200	40100	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
20	7	6400	40100	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
21	7	400	40101	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
22	7	800	40101	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
23	7	1600	40101	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
24	7	3200	40101	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
25	7	6400	40101	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
26	7	400	40102	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
27	7	800	40102	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
28	7	1600	40102	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
29	7	3200	40102	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
30	7	6400	40102	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
31	7	400	40103	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
32	7	800	40103	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
33	7	1600	40103	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
34	7	3200	40103	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
35	7	6400	40103	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
36	7	400	40104	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
37	7	800	40104	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
38	7	1600	40104	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
39	7	3200	40104	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
40	7	6400	40104	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
41	7	400	40105	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
42	7	800	40105	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
43	7	1600	40105	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
44	7	3200	40105	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
45	7	6400	40105	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
46	7	600	40200	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
47	7	1200	40200	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
48	7	2400	40200	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
49	7	4800	40200	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
50	7	9600	40200	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
51	7	600	40201	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
52	7	1200	40201	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
53	7	2400	40201	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
54	7	4800	40201	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
55	7	9600	40201	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
56	7	600	40202	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
57	7	1200	40202	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
58	7	2400	40202	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
59	7	4800	40202	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
60	7	9600	40202	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
61	7	600	40203	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
62	7	1200	40203	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
63	7	2400	40203	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
64	7	4800	40203	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
65	7	9600	40203	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
66	7	600	40204	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
67	7	1200	40204	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
68	7	2400	40204	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
69	7	4800	40204	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
70	7	9600	40204	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
71	7	600	40205	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
72	7	1200	40205	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
73	7	2400	40205	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
74	7	4800	40205	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
75	7	9600	40205	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
76	7	600	40206	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
77	7	1200	40206	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
78	7	2400	40206	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
79	7	4800	40206	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
80	7	9600	40206	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
81	7	600	40207	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
82	7	1200	40207	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
83	7	2400	40207	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
84	7	4800	40207	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
85	7	9600	40207	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
86	7	800	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
87	7	1600	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
88	7	3200	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
89	7	6400	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
90	7	12800	40300	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
91	7	200	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
92	7	400	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
93	7	800	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
94	7	1600	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
95	7	3200	40300	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
96	7	200	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
97	7	400	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
98	7	800	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
99	7	1600	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
100	7	3200	40300	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
101	7	200	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
102	7	400	40300	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
103	7	800	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
104	7	1600	40300	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
105	7	3200	40300	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	22000	1	7	100	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1001	22000	2	7	200	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1002	22000	3	7	300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1003	22000	4	7	400	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1004	22000	5	7	500	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1005	22000	6	7	600	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1006	22000	7	7	700	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1007	22000	8	7	800	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1008	22000	9	7	900	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1500	22067	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1501	22067	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1502	22067	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1503	22068	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1504	22068	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1505	22068	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1506	22069	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1507	22069	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1508	22069	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1509	22070	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1510	22070	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1511	22070	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1512	22071	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1513	22071	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1514	22071	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1515	22072	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1516	22072	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1517	22072	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1518	22073	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1519	22073	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1520	22073	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1521	22074	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1522	22074	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1523	22074	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1524	22075	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1525	22075	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1526	22075	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1527	22076	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1528	22076	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1529	22076	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1530	22077	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1531	22077	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
