INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	大类型	具体类型	活动开启条件	即将开启条件	活跃度每次的值	活跃度要求次数	完成后是否可参加	通用参数1	通用参数2	扩展计数ID
0	0	0	55000	-1	2	15	0	71000	-1	443
1	0	3	2050	-1	10	1	0	446	-1	446
2	0	5	2011	-1	10	1	0	428	1800	545
3	0	3	52	-1	10	1	0	448	-1	448
4	0	3	2017	-1	10	1	0	445	-1	445
5	0	3	2014	-1	10	1	0	449	-1	449
6	0	3	2015	-1	20	1	0	447	-1	447
7	0	2	118	-1	2	-1	0	-1	-1	26
8	0	4	485	-1	10	1	0	-1	-1	799
50	0	4	2009	-1	20	1	0	438	-1	438
51	0	4	119	-1	20	1	0	311	-1	311
100	0	1	99999	99999	3	-1	0	0	-1	531
101	0	1	99999	99999	3	-1	0	1	-1	532
102	0	1	99999	99999	3	-1	0	2	-1	533
103	0	1	99999	99999	3	-1	0	3	-1	534
104	0	1	99999	99999	3	-1	0	4	-1	535
105	0	1	99999	99999	3	-1	0	5	-1	536
106	0	1	99999	99999	3	-1	0	-1	-1	537
150	0	4	99999	99999	10	1	0	500	-1	542
151	0	4	99999	99999	10	1	0	501	-1	543
152	0	4	99999	99999	10	1	0	502	-1	544
1000	0	7	55001	-1	15	1	0	51000	-1	300
1001	0	7	55002	-1	15	1	0	51001	-1	299
1002	1	3	2007	-1	20	1	0	51002	-1	27
1003	1	8	2002	-1	0	-1	0	51003	-1	-1
1004	1	8	2002	-1	0	-1	0	51004	-1	-1
1005	0	6	2010	-1	1	20	0	51005	-1	436
1006	1	8	2009	-1	0	-1	0	51007	-1	-1
2000	0	9	99999	99999	-1	-1	0	2506	-1	-1
2001	0	10	99999	99999	-1	-1	0	2507	-1	-1
