INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
ID	排名	奖励道具ID1	数量	奖励道具ID2	数量	奖励道具ID3	数量	奖励道具ID4	数量	邮件Id01	邮件Id02(暂废)	邮件Id03(暂废)	邮件Id04(暂废)	邮件Id05(暂废)	邮件Id06(暂废)	贡献排名图标
1	1|1	28000	3	22055	1	24515	3	0	0	431	0	0	0	0	0	2310003
2	2|2	28000	2	22055	1	24515	2	0	0	432	0	0	0	0	0	2310004
3	3|5	28000	1	22055	1	24515	1	0	0	433	0	0	0	0	0	2310005
4	6|10	22000	5	22054	3	24514	1	0	0	434	0	0	0	0	0	0
5	11|20	22000	3	22054	2	24514	1	0	0	435	0	0	0	0	0	0
6	21|30	22000	1	22054	1	24513	1	0	0	436	0	0	0	0	0	0
7	31|50	22000	1	22054	1	24513	1	0	0	437	0	0	0	0	0	0
8	51|100	22000	1	22054	1	24513	1	0	0	438	0	0	0	0	0	0
9	101|150	22000	1	22054	1	24513	1	0	0	439	0	0	0	0	0	0
10	151|300	22000	1	22054	1	24513	1	0	0	440	0	0	0	0	0	0
11	301|400	22000	1	22054	1	24513	1	0	0	441	0	0	0	0	0	0
12	401|500	22000	1	22054	1	24513	1	0	0	442	0	0	0	0	0	0
13	501|700	22000	1	22054	1	24513	1	0	0	443	0	0	0	0	0	0
14	701|1000	22000	1	22054	1	24513	1	0	0	444	0	0	0	0	0	0
