INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
ID	灭世场次	排名	激活称号ID	奖励道具ID1	数量	奖励道具ID2	数量	奖励道具ID3	数量	奖励道具ID4	数量	邮件id01	邮件id02	邮件id03	邮件id04	邮件id05	邮件id06	积分排名图标	收益率
1	1	1|1	5050	22007	1	11	5000	8	10000	0	0	10101	10201	10301	10401	10501	10601	2310003	-70|-60|-50|-40|-30|100|200
2	1	2|2	-1	23181	5	11	3000	8	6000	0	0	10102	10202	10302	10402	10502	10602	2310004	-70|-60|-50|-40|-30|100|200
3	1	3|3	-1	23181	3	11	2000	8	4000	0	0	10103	10203	10303	10403	10503	10603	2310005	-70|-60|-50|-40|-30|100|200
4	1	4|10	-1	23181	2	11	1000	8	2000	0	0	10104	10204	10304	10404	10504	10604	0	-70|-60|-50|-40|-30|100|200
5	1	11|20	-1	23181	1	11	800	8	1600	0	0	10105	10205	10305	10405	10505	10605	0	-70|-60|-50|-40|-30|100|200
6	1	21|30	-1	23181	1	11	600	8	1200	0	0	10106	10206	10306	10406	10506	10606	0	-70|-60|-50|-40|-30|100|200
7	1	31|50	-1	23181	1	11	400	8	800	0	0	10107	10207	10307	10407	10507	10607	0	-70|-60|-50|-40|-30|100|200
8	1	51|100	-1	23181	1	11	200	8	400	0	0	10108	10208	10308	10408	10508	10608	0	-70|-60|-50|-40|-30|100|200
9	1	101|150	-1	23181	1	11	100	8	200	0	0	10109	10209	10309	10409	10509	10609	0	-70|-60|-50|-40|-30|100|200
10	1	151|300	-1	23181	1	11	100	8	200	0	0	10110	10210	10310	10410	10510	10610	0	-70|-60|-50|-40|-30|100|200
11	1	301|400	-1	23181	1	11	100	8	200	0	0	10111	10211	10311	10411	10511	10611	0	-70|-60|-50|-40|-30|100|200
12	1	401|500	-1	23181	1	11	100	8	200	0	0	10112	10212	10312	10412	10512	10612	0	-70|-60|-50|-40|-30|100|200
13	1	501|700	-1	23181	1	11	100	8	200	0	0	10113	10213	10313	10413	10513	10613	0	-70|-60|-50|-40|-30|100|200
14	1	701|1000	-1	23181	1	11	100	8	200	0	0	10114	10214	10314	10414	10514	10614	0	-70|-60|-50|-40|-30|100|200
15	2	1|1	5050	22007	1	11	10000	8	15000	0	0	20101	20201	20301	20401	20501	20601	2310003	-70|-60|-50|-40|-30|100|200
16	2	2|2	-1	23181	5	11	6000	8	9000	0	0	20102	20202	20302	20402	20502	20602	2310004	-70|-60|-50|-40|-30|100|200
17	2	3|3	-1	23181	3	11	4000	8	6000	0	0	20103	20203	20303	20403	20503	20603	2310005	-70|-60|-50|-40|-30|100|200
18	2	4|10	-1	23181	2	11	2000	8	3000	0	0	20104	20204	20304	20404	20504	20604	0	-70|-60|-50|-40|-30|100|200
19	2	11|20	-1	23181	1	11	1600	8	2400	0	0	20105	20205	20305	20405	20505	20605	0	-70|-60|-50|-40|-30|100|200
20	2	21|30	-1	23181	1	11	1200	8	1800	0	0	20106	20206	20306	20406	20506	20606	0	-70|-60|-50|-40|-30|100|200
21	2	31|50	-1	23181	1	11	800	8	1200	0	0	20107	20207	20307	20407	20507	20607	0	-70|-60|-50|-40|-30|100|200
22	2	51|100	-1	23181	1	11	400	8	600	0	0	20108	20208	20308	20408	20508	20608	0	-70|-60|-50|-40|-30|100|200
23	2	101|150	-1	23181	1	11	200	8	300	0	0	20109	20209	20309	20409	20509	20609	0	-70|-60|-50|-40|-30|100|200
24	2	151|300	-1	23181	1	11	200	8	300	0	0	20110	20210	20310	20410	20510	20610	0	-70|-60|-50|-40|-30|100|200
25	2	301|400	-1	23181	1	11	200	8	300	0	0	20111	20211	20311	20411	20511	20611	0	-70|-60|-50|-40|-30|100|200
26	2	401|500	-1	23181	1	11	200	8	300	0	0	20112	20212	20312	20412	20512	20612	0	-70|-60|-50|-40|-30|100|200
27	2	501|700	-1	23181	1	11	200	8	300	0	0	20113	20213	20313	20413	20513	20613	0	-70|-60|-50|-40|-30|100|200
28	2	701|1000	-1	23181	1	11	200	8	300	0	0	20114	20214	20314	20414	20514	20614	0	-70|-60|-50|-40|-30|100|200
29	3	1|1	5050	22007	1	11	15000	8	20000	0	0	30101	30201	30301	30401	30501	30601	2310003	-70|-60|-50|-40|-30|100|200
30	3	2|2	-1	23181	5	11	9000	8	12000	0	0	30102	30202	30302	30402	30502	30602	2310004	-70|-60|-50|-40|-30|100|200
31	3	3|3	-1	23181	3	11	6000	8	8000	0	0	30103	30203	30303	30403	30503	30603	2310005	-70|-60|-50|-40|-30|100|200
32	3	4|10	-1	23181	2	11	3000	8	4000	0	0	30104	30204	30304	30404	30504	30604	0	-70|-60|-50|-40|-30|100|200
33	3	11|20	-1	23181	1	11	2400	8	3200	0	0	30105	30205	30305	30405	30505	30605	0	-70|-60|-50|-40|-30|100|200
34	3	21|30	-1	23181	1	11	1800	8	2400	0	0	30106	30206	30306	30406	30506	30606	0	-70|-60|-50|-40|-30|100|200
35	3	31|50	-1	23181	1	11	1200	8	1600	0	0	30107	30207	30307	30407	30507	30607	0	-70|-60|-50|-40|-30|100|200
36	3	51|100	-1	23181	1	11	600	8	800	0	0	30108	30208	30308	30408	30508	30608	0	-70|-60|-50|-40|-30|100|200
37	3	101|150	-1	23181	1	11	300	8	400	0	0	30109	30209	30309	30409	30509	30609	0	-70|-60|-50|-40|-30|100|200
38	3	151|300	-1	23181	1	11	300	8	400	0	0	30110	30210	30310	30410	30510	30610	0	-70|-60|-50|-40|-30|100|200
39	3	301|400	-1	23181	1	11	300	8	400	0	0	30111	30211	30311	30411	30511	30611	0	-70|-60|-50|-40|-30|100|200
40	3	401|500	-1	23181	1	11	300	8	400	0	0	30112	30212	30312	30412	30512	30612	0	-70|-60|-50|-40|-30|100|200
41	3	501|700	-1	23181	1	11	300	8	400	0	0	30113	30213	30313	30413	30513	30613	0	-70|-60|-50|-40|-30|100|200
42	3	701|1000	-1	23181	1	11	300	8	400	0	0	30114	30214	30314	30414	30514	30614	0	-70|-60|-50|-40|-30|100|200
43	4	1|1	5050	22007	1	11	20000	8	25000	0	0	40101	40201	40301	40401	40501	40601	2310003	-70|-60|-50|-40|-30|100|200
44	4	2|2	-1	23181	5	11	12000	8	15000	0	0	40102	40202	40302	40402	40502	40602	2310004	-70|-60|-50|-40|-30|100|200
45	4	3|3	-1	23181	3	11	8000	8	10000	0	0	40103	40203	40303	40403	40503	40603	2310005	-70|-60|-50|-40|-30|100|200
46	4	4|10	-1	23181	2	11	4000	8	5000	0	0	40104	40204	40304	40404	40504	40604	0	-70|-60|-50|-40|-30|100|200
47	4	11|20	-1	23181	1	11	3200	8	4000	0	0	40105	40205	40305	40405	40505	40605	0	-70|-60|-50|-40|-30|100|200
48	4	21|30	-1	23181	1	11	2400	8	3000	0	0	40106	40206	40306	40406	40506	40606	0	-70|-60|-50|-40|-30|100|200
49	4	31|50	-1	23181	1	11	1600	8	2000	0	0	40107	40207	40307	40407	40507	40607	0	-70|-60|-50|-40|-30|100|200
50	4	51|100	-1	23181	1	11	800	8	1000	0	0	40108	40208	40308	40408	40508	40608	0	-70|-60|-50|-40|-30|100|200
