INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	掉落物品1	数量	概率	掉落物品2	数量	概率	掉落物品3	数量	概率	掉落物品4	数量	概率
0	22001	1	2000	22000	1	3000	22003	2	2500	10	888	2500
1	22001	1	2000	22000	1	3000	22003	2	2500	10	1288	2500
2	22001	1	2000	22000	1	3000	22003	2	2500	10	1688	2500
3	22001	1	2000	22000	1	3000	22003	2	2500	10	888	2500
4	22001	1	2000	22000	1	3000	22003	2	2500	10	1288	2500
5	22001	1	2000	22000	1	3000	22003	2	2500	10	1688	2500
6	22001	2	2000	22000	2	3000	22003	4	2500	10	1688	2500
7	22001	2	2000	22000	2	3000	22003	4	2500	10	2888	2500
8	22001	2	2000	22000	2	3000	22003	4	2500	10	5000	2500
9	22001	2	2000	22000	2	3000	22003	4	2500	10	1688	2500
10	22001	2	2000	22000	2	3000	22003	4	2500	10	2888	2500
11	22001	2	2000	22000	2	3000	22003	4	2500	10	5000	2500
12	22001	3	2000	22000	3	3000	22003	6	2500	10	2888	2500
13	22001	3	2000	22000	3	3000	22003	6	2500	10	4500	2500
14	22001	3	2000	22000	3	3000	22003	6	2500	10	6000	2500
15	22001	3	2000	22000	3	3000	22003	6	2500	10	3000	2500
16	22001	3	2000	22000	3	3000	22003	6	2500	10	4500	2500
17	22001	3	2000	22000	3	3000	22003	6	2500	10	6000	2500
18	22001	4	2000	22000	4	3000	22003	8	2500	10	4000	2500
19	22001	4	2000	22000	4	3000	22003	8	2500	10	6000	2500
20	22001	4	2000	22000	4	3000	22003	8	2500	10	8000	2500
100	2	48000	8400	5	200	1000	20304	1	500	20305	1	100
101	2	88888	8400	5	300	1000	20304	1	500	20305	1	100
102	2	128888	8400	5	500	1000	20304	1	500	20305	1	100
103	2	88888	8300	5	300	1000	20304	1	500	20305	1	200
104	2	128888	8300	5	500	1000	20304	1	500	20305	1	200
105	2	168888	8300	5	1000	1000	20304	1	500	20305	1	200
106	2	168888	8200	5	500	1000	20304	2	500	20305	1	300
107	2	200000	8200	5	1000	1000	20304	2	500	20305	1	300
108	2	250000	8200	5	1500	1000	20304	2	500	20305	1	300
