INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	惊喜掉落索引子表	惊喜掉落概率	扩展计数1ID	扩展计数1ID临界值	扩展计数掉落包（母表）	组1ID	概率	掉落子表1ID	掉落次数下限	掉落次数上限	组2ID	概率	掉落子表2ID	掉落次数下限	掉落次数上限	组3ID	概率	掉落子表3ID	掉落次数下限	掉落次数上限	组4ID	概率	掉落子表4ID	掉落次数下限	掉落次数上限	组5ID	概率	掉落子表5ID	掉落次数下限	掉落次数上限	组6ID	概率	掉落子表6ID	掉落次数下限	掉落次数上限	组7ID	概率	掉落子表7ID	掉落次数下限	掉落次数上限	组8ID	概率	掉落子表8ID	掉落次数下限	掉落次数上限	组9ID	概率	掉落子表9ID	掉落次数下限	掉落次数上限	组10ID	概率	掉落子表10ID	掉落次数下限	掉落次数上限
0	0	9000	2	4	1	20	1000	1	1	2	20	9000	2	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	-1	-1	2	15	0	1	5000	2	1	1	1	5000	0	1	1	2	10000	3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	-1	-1	-1	-1	-1	0	10000	4	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	-1	-1	-1	-1	-1	1	5000	4	1	1	1	5000	5	1	1	2	10000	6	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	-1	-1	-1	-1	1	10000	7	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	-1	-1	-1	-1	-1	0	3400	0	1	1	0	3300	11	1	1	0	3300	12	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	0	10000	13	1	1	1	10000	14	1	2	2	10000	15	1	1	19	10000	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	-1	-1	-1	-1	0	3000	16	1	1	0	3000	17	1	1	0	2000	20	1	1	0	2000	18	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	-1	-1	-1	-1	-1	0	5000	16	1	1	0	5000	17	1	1	1	10000	18	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	-1	-1	-1	-1	0	3000	16	1	1	0	3000	17	1	1	0	2000	21	1	1	0	2000	18	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
