INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
ID	索引副本1ID	索引副本2ID	索引副本3ID	索引副本4ID	索引副本5ID	索引副本6ID	索引副本7ID	周循环	是否开启组队功能
0	6200	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
1	6100	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	1
2	7000	7001	7002	7003	7004	7005	-1	0|1|2|3|4|5|6	0
3	-1	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
4	1010	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
5	1019	1020	1021	1022	1023	-1	-1	0|1|2|3|4|5|6	0
6	1050	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	1
8	20000	20001	20002	20003	20004	20005	-1	0|1|2|3|4|5|6	0
9	11000	11001	11002	-1	-1	-1	-1	0|1|3|5	0
10	-1	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
11	5001	5002	5003	5004	5005	5006	5007	0|1|2|3|4|5|6	1
12	4001	4002	4003	4004	4005	4006	4007	0|1|2|3|4|5|6	1
13	-1	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
14	6000	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
15	-1	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
16	-1	-1	-1	-1	-1	-1	-1	0|2|4|6	0
17	-1	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
18	-1	-1	-1	-1	-1	-1	-1	0|1|2|3|4|5|6	0
