INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
精灵ID	精灵名字	精灵模型	精灵类型	精灵初始属性1	属性1值	成长值	精灵初始属性2	属性2值	成长值	精灵初始属性3	属性3值	成长值	精灵初始属性4	属性4值	成长值	精灵初始属性5	属性5值	成长值	精灵初始属性6	属性6值	成长值	精灵随机属性条数(废弃)	精灵随机属性概率(废弃)	精灵随机属性值(废弃)	隶属组合1	隶属组合2	隶属组合3	最高等级	精灵分解系数1	精灵分解系数2	精灵升星方案	1星激活属性	数值	2星激活属性	数值	3星激活属性	数值	4星激活属性	数值	5星激活属性	数值	精灵buff组
40000	黄金幼龙	600	1	105	260	8	13	4200	126	-1	0	0	-1	0	0	-1	0	0	-1	0	0	102	100	102	1	2	-1	-1	20	1200	1|2|3|4|5	110	400	105	500	113	200	111	200	106	200	9020
40001	小天使	601	2	13	4000	120	10	280	9	11	280	9	-1	0	0	-1	0	0	-1	0	0	101	100	101	1	3	-1	-1	20	1200	6|7|8|9|10	110	400	105	500	113	200	111	200	106	200	9070
40002	小恶魔	603	3	105	290	9	10	200	6	11	200	6	-1	0	0	-1	0	0	-1	0	0	12	100	102	2	3	-1	-1	20	1200	11|12|13|14|15	110	400	105	500	113	200	111	200	106	200	9230
40003	(废弃,新加灵兽可用）	603	4	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	101	100	101	-1	-1	-1	-1	100	1200	16|17|18|19|20	110	0	105	0	113	0	111	0	106	0	9230
40004	(废弃,新加灵兽可用）	604	5	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	12	100	102	-1	-1	-1	-1	100	1200	21|22|23|24|25	110	0	105	0	113	0	111	0	106	0	9233
40005	(废弃,新加灵兽可用）	605	6	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	96	202	-1	-1	-1	-1	100	1200	26|27|28|29|30	110	0	105	0	113	0	111	0	106	0	9046
40006	(废弃,新加灵兽可用）	606	7	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	96	202	-1	-1	-1	-1	100	1200	31|32|33|34|35	110	0	105	0	113	0	111	0	106	0	9052
40007	(废弃,新加灵兽可用）	607	8	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	96	202	-1	-1	-1	-1	100	1200	36|37|38|39|40	110	0	105	0	113	0	111	0	106	0	9033
40008	(废弃,新加灵兽可用）	608	9	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	205	-1	-1	-1	-1	100	1200	41|42|43|44|45	110	0	105	0	113	0	111	0	106	0	9036
40009	(废弃,新加灵兽可用）	609	10	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	205	-1	-1	-1	-1	100	1200	46|47|48|49|50	110	0	105	0	113	0	111	0	106	0	9206
40010	(废弃,新加灵兽可用）	610	11	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	205	-1	-1	-1	-1	100	1200	51|52|53|54|55	110	0	105	0	113	0	111	0	106	0	9256
40011	(废弃,新加灵兽可用）	616	12	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	102	100	102	-1	-1	-1	-1	100	1200	56|57|58|59|60	110	0	105	0	113	0	111	0	106	0	9213
40092	(废弃,新加灵兽可用）	616	13	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	102	100	102	-1	-1	-1	-1	100	1200	61|62|63|64|65	110	0	105	0	113	0	111	0	106	0	9213
