INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
组合ID	组合名称	精灵ID1	精灵ID2	精灵ID3	组合属性1	属性1值	组合属性2	属性2值	组合属性3	属性3值	组合属性4	属性4值	组合属性5	属性5值	组合属性6	属性6值
1	恶魔驱使	40000	40001	-1	105	100	10	50	11	50	-1	0	-1	0	-1	0
2	黄金冰谷	40000	40002	-1	105	100	19	40	20	40	-1	0	-1	0	-1	0
3	新手出击	40001	40002	-1	105	150	13	1000	-1	0	-1	0	-1	0	-1	0
4	得天独厚	40100	40101	-1	105	200	10	100	11	100	-1	0	-1	0	-1	0
5	天堂地狱	40101	40102	-1	105	200	13	2500	-1	0	-1	0	-1	0	-1	0
6	龙蛇相争	40104	40105	-1	105	150	21	100	22	100	-1	0	-1	0	-1	0
7	震慑天威	40100	40103	-1	13	2500	10	200	11	200	-1	0	-1	0	-1	0
8	邪恶力量	40102	40104	-1	105	200	19	120	20	120	-1	0	-1	0	-1	0
9	黑龙天凤	40103	40105	-1	105	220	13	3000	-1	0	-1	0	-1	0	-1	0
10	飞天龙虎	40201	40202	-1	105	300	13	5000	-1	0	-1	0	-1	0	-1	0
11	水土相融	40204	40205	-1	13	6000	10	300	11	300	-1	0	-1	0	-1	0
12	上古神兽	40202	40203	-1	105	300	21	200	22	200	-1	0	-1	0	-1	0
13	天雷滚滚	40200	40206	-1	13	6000	19	200	20	200	-1	0	-1	0	-1	0
14	天神相助	40200	40201	40203	105	250	13	5000	21	200	-1	0	-1	0	-1	0
15	力量升华	40204	40205	40206	13	7000	20	300	22	200	-1	0	-1	0	-1	0
16	冰之歌	40300	-1	-1	105	300	13	6000	-1	0	-1	0	-1	0	-1	0
104	天雷滚滚	40006	40008	-1	105	120	13	1800	10	180	-1	0	-1	0	-1	0
105	翡翠雷神	40005	40008	-1	105	120	13	1800	11	180	-1	0	-1	0	-1	0
106	海神天威	40007	40010	-1	113	200	21	150	22	150	-1	0	-1	0	-1	0
107	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
108	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
109	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
110	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
111	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
112	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
113	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
