INT	INT	INT	INT	INT	INT	INT	INT
追加索引ID	追加生命上限区间	追加攻击区间	消耗材料ID	数量	消耗金钱	传承消耗金钱	传承消耗钻石
1	500	500	22003	1	5000	45000	3
2	1000	1000	22003	2	10000	75000	5
3	1500	1500	22003	3	20000	150000	10
4	2000	2000	22003	4	30000	225000	15
5	2500	2500	22003	5	40000	300000	20
6	3000	3000	22003	6	50000	375000	25
7	3500	3500	22003	7	60000	450000	30
8	4000	4000	22003	8	80000	600000	40
9	4500	4500	22003	9	100000	750000	50
10	5000	5000	22003	10	120000	900000	60
11	6000	6000	22003	11	140000	1050000	70
12	7000	7000	22003	12	160000	1200000	80
13	8000	8000	22003	13	180000	1350000	90
14	9000	9000	22003	14	200000	1500000	100
15	10000	10000	22003	15	220000	1650000	110
16	11000	11000	22003	16	240000	1800000	120
17	12000	12000	22003	17	260000	1950000	130
18	13000	13000	22003	18	280000	2100000	140
19	14000	14000	22003	19	300000	2250000	150
20	15000	15000	22003	20	325000	2400000	160
21	16000	16000	22003	21	350000	2550000	170
22	17000	17000	22003	22	375000	2700000	180
23	18000	18000	22003	23	400000	3000000	200
24	19000	19000	22003	24	425000	3300000	220
25	20000	20000	22003	25	450000	3600000	240
26	21000	21000	22003	26	475000	3900000	260
27	22000	22000	22003	27	500000	4200000	280
28	23000	23000	22003	28	550000	4500000	300
29	24000	24000	22003	29	600000	4875000	325
30	25000	25000	22003	30	650000	5250000	350
31	26000	26000	22003	31	700000	5625000	375
32	27000	27000	22003	32	750000	6000000	400
33	28000	28000	22003	33	800000	6375000	425
34	29000	29000	22003	34	850000	6750000	450
35	99999	99999	22003	35	900000	7500000	500
