INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
追加索引ID	追加属性区间	消耗材料ID	数量	消耗金钱	传承消耗金钱	传承消耗钻石	回收返还道具	数量	追加属性最小值区间	追加属性最大值区间
1	11100	22003	11000	11001	11002	11003	22003	11004	11200	11300
2	11101	22003	11000	11001	11002	11003	22003	11004	11201	11301
3	11102	22003	11000	11001	11002	11003	22003	11004	11202	11302
4	11103	22003	11000	11001	11002	11003	22003	11004	11203	11303
5	11104	22003	11000	11001	11002	11003	22003	11004	11204	11304
6	11105	22003	11000	11001	11002	11003	22003	11004	11205	11305
7	11106	22003	11000	11001	11002	11003	22003	11004	11206	11306
8	11107	22003	11000	11001	11002	11003	22003	11004	11207	11307
9	11108	22003	11000	11001	11002	11003	22003	11004	11208	11308
10	11109	22003	11000	11001	11002	11003	22003	11004	11209	11309
11	11110	22003	11000	11001	11002	11003	22003	11004	11210	11310
12	11111	22003	11000	11001	11002	11003	22003	11004	11211	11311
