INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备ID	装备阶数	职业限制	部位	装备耐久掉落类型	装备耐久上限	单位修理费	套装ID	套装序列	装备所需属性1	所需属性1数值	装备所需属性2	所需属性2数值	基础属性1	属性1数值	基础属性2	属性2数值	基础属性3	属性3数值	基础属性4	属性4数值	最大强化等级	附加属性1	附加属性1下限	附加属性1上限	附加属性2	附加属性2下限	附加属性2上限	卓越属性1	卓越属性2	卓越属性3	卓越属性4	卓越属性条数	卓越属性值	卓越属性区间	卓越浮动最小百分比	卓越浮动最大百分比	追加属性	追加成长最小值	追加成长最大值	追加成长上限	追加索引ID	紫色属性条数	紫色属性类型概率	紫色属性值	紫色属性区间	紫色浮动最小百分比	紫色浮动最大百分比	装备幸运概率	装备进阶索引ID	进阶后装备ID	被动buff	技能等级	装备所需转生等级
10001	1	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10002	2	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10003	3	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10004	4	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10005	5	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10006	6	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10007	7	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10008	8	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10009	9	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10010	10	0	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10101	1	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10102	2	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10103	3	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10104	4	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
