INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
强化等级	成功率	消耗材料1ID	数量	消耗材料2ID	数量	消耗材料3ID	数量	消耗金钱	保底材料ID	单位成功率	数量	失败退回等级	特殊ID	传承消耗金钱	传承消耗钻石	回收返还道具1	数量	回收返还道具2	数量	回收返还道具3	数量
0	10000	22000	1	-1	0	-1	0	1000	-1	0	0	0	-1	0	0	22000	0	-1	0	-1	0
1	10000	22000	1	-1	0	-1	0	2000	-1	0	0	1	-1	15000	1	22000	1	-1	0	-1	0
2	9000	22000	2	-1	0	-1	0	5000	-1	0	0	2	-1	30000	2	22000	2	-1	0	-1	0
3	8000	22000	2	-1	0	-1	0	10000	-1	0	0	3	-1	60000	4	22000	3	-1	0	-1	0
4	7500	22000	3	22001	1	-1	0	50000	-1	0	0	4	-1	90000	6	22000	4	-1	0	-1	0
5	7000	22000	4	22001	2	-1	0	100000	-1	0	0	5	-1	120000	8	22000	6	-1	0	-1	0
6	6000	22000	5	22001	3	22002	1	200000	-1	0	0	6	-1	150000	10	22000	9	-1	0	-1	0
7	5000	22000	6	22001	4	22002	2	300000	22007	5001	1	7	-1	225000	15	22000	15	22001	2	-1	0
8	4000	22000	7	22001	5	22002	3	400000	22007	6001	1	8	-1	300000	20	22000	24	22001	4	-1	0
9	3000	22000	8	22001	6	22002	4	500000	22007	3501	2	9	-1	450000	30	22000	35	22001	9	-1	0
10	2000	22000	9	22001	7	22002	5	800000	22007	4001	2	10	-1	600000	40	22000	50	22001	14	22002	2
11	1500	22000	10	22001	8	22002	6	1000000	22007	2834	3	11	-1	900000	60	22000	75	22001	21	22002	5
12	1000	22000	10	22001	9	22002	7	2000000	22007	1801	5	12	-1	1500000	100	22000	105	22001	30	22002	11
13	500	22000	10	22001	10	22002	8	3000000	22007	951	10	13	-1	2250000	150	22000	145	22001	41	22002	16
14	200	22000	10	22001	10	22002	10	5000000	22007	491	20	14	-1	3000000	200	22000	190	22001	55	22002	26
15	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	-1	7500000	500	22000	255	22001	71	22002	36
100	10000	22000	1	-1	0	-1	0	1000	-1	0	0	0	-1	-1	-1	-1	0	-1	0	-1	0
101	10000	22000	1	-1	0	-1	0	2000	-1	0	0	1	-1	-1	-1	-1	0	-1	0	-1	0
102	9000	22000	1	-1	0	-1	0	5000	-1	0	0	2	-1	-1	-1	-1	0	-1	0	-1	0
103	8000	22000	1	-1	0	-1	0	10000	-1	0	0	3	-1	-1	-1	-1	0	-1	0	-1	0
104	8000	22000	2	-1	0	-1	0	50000	-1	0	0	4	-1	-1	-1	-1	0	-1	0	-1	0
105	8000	22000	4	-1	0	-1	0	120000	-1	0	0	5	-1	-1	-1	-1	0	-1	0	-1	0
106	8000	22000	9	22001	2	-1	0	450000	-1	0	1	6	-1	-1	-1	-1	0	-1	0	-1	0
107	8000	22000	16	22001	6	-1	0	1200000	-1	0	1	7	-1	-1	-1	-1	0	-1	0	-1	0
108	7500	22000	25	22001	9	-1	0	2500000	22007	0	2	7	-1	-1	-1	-1	0	-1	0	-1	0
109	7000	22000	30	22001	12	22002	3	5000000	22007	0	3	8	-1	-1	-1	-1	0	-1	0	-1	0
110	7000	22000	75	22001	25	22002	8	8000000	22007	0	4	9	-1	-1	-1	-1	0	-1	0	-1	0
111	6000	22000	105	22001	55	22002	15	15000000	22007	0	5	10	-1	-1	-1	-1	0	-1	0	-1	0
112	6000	22000	150	22001	90	22002	30	30000000	22007	0	6	11	-1	-1	-1	-1	0	-1	0	-1	0
113	5500	22000	375	22001	120	22002	50	80000000	22007	0	7	12	-1	-1	-1	-1	0	-1	0	-1	0
114	5000	22000	600	22001	200	22002	80	155000000	22007	0	8	13	-1	-1	-1	-1	0	-1	0	-1	0
