INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
等级	数量_白	数量_绿	数量_蓝	数量_紫	数量_橙	颜色_白	颜色_绿	颜色_蓝	颜色_紫	颜色_橙	等级差异-3	等级差异-2	等级差异-1	等级差异+0	价值_白	价值_绿	价值_蓝	价值_紫	价值_橙	需求_白	需求_绿	需求_蓝	需求_紫	需求_橙
0	4	1	0	0	0	60	30	10	0	0	0	0	0	100	20	20	20	20	20	74	78	82	98	106
1	4	1	0	0	0	60	30	10	0	0	0	0	0	100	25	30	38	48	61	78	82	87	106	115
2	4	1	0	0	0	60	30	10	0	0	0	0	0	100	30	41	56	77	103	83	89	94	116	127
3	4	1	0	0	0	60	30	10	0	0	0	0	0	100	36	52	76	107	147	90	96	103	130	143
4	4	1	0	0	0	60	30	10	0	0	0	0	0	100	42	63	96	139	193	98	106	114	146	162
5	4	1	0	0	0	60	30	10	0	0	0	0	60	40	48	75	116	171	240	108	117	127	166	185
6	4	1	0	0	0	60	30	10	0	0	0	0	60	40	54	87	138	205	289	119	131	142	188	211
7	3	1	0	0	0	60	30	10	0	0	0	0	60	40	60	100	160	239	339	132	145	159	214	241
8	3	1	0	0	0	60	30	10	0	0	0	0	60	40	66	113	182	275	391	146	162	178	242	274
9	3	1	0	0	0	60	30	10	0	0	0	0	60	40	73	126	206	312	445	162	180	199	274	311
10	3	1	0	0	0	60	30	10	0	0	0	40	45	15	80	140	230	350	500	179	201	222	308	351
11	2	2	0	0	0	60	30	10	0	0	0	40	45	15	87	154	255	389	557	198	222	247	346	395
12	2	2	0	0	0	60	30	10	0	0	0	40	45	15	94	169	280	429	615	218	246	274	386	442
13	2	2	0	0	0	30	40	20	10	0	0	40	45	15	102	184	307	470	675	240	271	303	430	493
14	2	2	0	0	0	30	40	20	10	0	0	40	45	15	110	199	334	513	737	263	299	334	476	547
15	2	2	1	0	0	30	40	20	10	0	0	40	45	15	118	215	361	556	800	288	327	367	526	605
16	2	2	1	0	0	30	40	20	10	0	0	40	45	15	126	231	390	601	865	314	358	402	578	666
17	1	2	1	0	0	30	40	20	10	0	0	40	45	15	134	248	419	646	931	342	390	439	634	731
18	1	2	1	0	0	30	40	20	10	0	0	40	45	15	142	265	448	693	999	371	425	478	692	799
19	1	2	1	0	0	30	40	20	10	0	0	40	45	15	151	282	479	741	1069	402	460	519	754	871
20	1	2	1	0	0	30	40	20	10	0	0	40	45	15	160	300	510	790	1140	434	498	562	818	946
21	1	2	1	0	0	30	40	20	10	0	0	40	45	15	169	318	542	840	1213	468	537	607	886	1025
22	1	2	1	0	0	30	40	20	10	0	0	40	45	15	178	337	574	891	1287	503	579	654	956	1107
23	1	2	2	0	0	30	40	20	10	0	0	40	45	15	188	356	608	943	1363	540	621	703	1030	1193
24	1	2	2	0	0	30	40	20	10	0	0	40	45	15	198	375	642	997	1441	578	666	754	1106	1282
25	1	2	2	0	0	0	30	45	15	10	0	40	45	15	208	395	676	1051	1520	618	712	807	1186	1375
26	1	2	2	0	0	0	30	45	15	10	0	40	45	15	218	415	712	1107	1601	659	761	862	1268	1471
27	1	2	2	0	0	0	30	45	15	10	0	40	45	15	228	436	748	1163	1683	702	810	919	1354	1571
28	1	1	2	0	0	0	30	45	15	10	0	40	45	15	238	457	784	1221	1767	746	862	978	1442	1674
29	1	1	2	0	0	0	30	45	15	10	0	40	45	15	249	478	822	1280	1853	792	915	1039	1534	1781
30	1	1	2	0	0	0	30	45	15	10	0	40	45	15	260	500	860	1340	1940	839	971	1102	1628	1891
31	1	1	2	0	0	0	30	45	15	10	0	40	45	15	271	522	899	1401	2029	888	1027	1167	1726	2005
32	1	1	2	0	0	0	30	45	15	10	0	40	45	15	282	545	938	1463	2119	938	1086	1234	1826	2122
33	1	1	2	0	0	0	30	45	15	10	0	40	45	15	294	568	979	1526	2211	990	1146	1303	1930	2243
34	1	1	2	0	0	0	30	45	15	10	0	40	45	15	306	591	1020	1591	2305	1043	1209	1374	2036	2367
35	1	1	2	1	0	0	30	45	15	10	0	40	45	15	318	615	1061	1656	2400	1098	1272	1447	2146	2495
