INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
随机属性ID	生命上限	魔法上限	附加伤害	伤害抵挡	命中	闪避	卓越一击率	伤害加成率	伤害减少率	伤害反弹率	无视防御率	击中回复	移动速度	攻击	防御	生命百分比	魔法百分比	命中百分比	闪避百分比	攻击百分比	防御百分比	攻击增加等级/20	防御增加等级/20
1	164	100	33	36	46	82	3	3	3	3	0	0	0	40	38	2	2	2	2	0	2	20	20
2	256	100	51	56	71	128	3	3	3	3	0	0	0	62	59	3	3	3	3	0	3	19	19
3	400	100	79	87	110	200	4	4	4	4	0	0	0	96	92	4	4	4	4	0	4	18	18
4	625	100	123	135	171	312	4	4	4	4	0	0	0	150	143	4	4	4	4	0	4	17	17
5	976	100	192	210	267	487	5	5	5	5	0	0	0	234	223	5	5	5	5	0	5	16	16
6	1525	100	300	328	417	760	5	5	5	5	0	0	0	365	348	5	5	5	5	0	5	15	15
7	2382	100	468	512	651	1187	5	5	5	5	0	0	0	570	543	6	6	6	6	0	6	14	14
8	3721	100	731	800	1017	1854	5	5	5	5	0	0	0	890	848	6	6	6	6	0	6	13	13
9	5814	100	1142	1250	1589	2896	5	5	5	5	0	0	0	1390	1325	6	6	6	6	0	6	12	12
10	9084	100	1784	1953	2482	4525	5	5	5	5	0	0	0	2171	2070	6	6	6	6	0	6	11	11
11	164	100	33	36	46	82	3	3	0	0	3	0	0	40	38	2	2	2	2	2	0	20	20
12	256	100	51	56	71	128	3	3	0	0	3	0	0	92	87	3	3	3	3	3	0	19	19
13	400	100	79	87	110	200	4	4	0	0	4	0	0	175	164	4	4	4	4	4	0	18	18
14	625	100	123	135	171	312	4	4	0	0	4	0	0	318	298	4	4	4	4	4	0	17	17
15	976	100	192	210	267	487	5	5	0	0	5	0	0	526	492	5	5	5	5	5	0	16	16
16	1525	100	300	328	417	760	5	5	0	0	5	0	0	813	761	5	5	5	5	5	0	15	15
17	2382	100	468	512	651	1187	5	5	0	0	5	0	0	1198	1122	6	6	6	6	6	0	14	14
18	3721	100	731	800	1017	1854	5	5	0	0	5	0	0	1610	1508	6	6	6	6	6	0	13	13
19	5814	100	1142	1250	1589	2896	5	5	0	0	5	0	0	2395	2243	6	6	6	6	6	0	12	12
20	9084	100	1784	1953	2482	4525	5	5	0	0	5	0	0	2963	2774	6	6	6	6	6	0	11	11
