INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
随机属性概率ID	生命上限	魔法上限	附加伤害	伤害抵挡	命中	闪避	卓越一击率	伤害加成率	伤害减少率	伤害反弹率	无视防御率	击中回复	移动速度	攻击	防御	生命百分比	魔法百分比	命中百分比	闪避百分比	攻击百分比	防御百分比	攻击增加等级/20	防御增加等级/20
0	0	100	0	0	0	0	0	50	100	0	0	100	100	100	100	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	83	83	0	0	167	0	0	0	0	83	167	167	167	83	0	0	0
2	0	0	0	0	0	0	0	83	83	83	0	0	0	0	0	167	167	167	167	0	83	0	0
3	0	0	0	0	100	100	0	100	100	0	100	100	100	100	100	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	1000	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	0
5	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	100	0	0
6	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	100	0	0
7	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	100	0	0	0	0	100	0	0
8	0	0	0	0	0	0	1000	0	0	0	100	0	0	0	0	100	0	0	0	100	0	0	0
9	0	0	0	0	0	0	100	100	100	0	100	0	0	0	0	1000	0	100	100	100	0	0	0
10	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	1000	100	100	100	0	100	0	0
11	1400	781	781	782	782	782	0	782	782	0	0	782	782	782	782	0	0	0	0	0	0	0	0
12	850	832	831	832	831	832	0	832	832	0	0	832	832	832	832	0	0	0	0	0	0	0	0
13	762	763	762	763	762	763	0	762	763	0	850	762	763	762	763	0	0	0	0	0	0	0	0
21	781	781	1400	782	782	782	0	782	782	0	0	782	782	782	782	0	0	0	0	0	0	0	0
22	832	831	850	832	831	832	0	832	832	0	0	832	832	832	832	0	0	0	0	0	0	0	0
23	762	763	762	763	762	763	0	762	763	0	850	762	763	762	763	0	0	0	0	0	0	0	0
31	2250	2250	550	550	550	550	0	550	550	0	0	550	550	550	550	0	0	0	0	0	0	0	0
32	1750	1750	650	650	650	650	0	650	650	0	0	650	650	650	650	0	0	0	0	0	0	0	0
33	762	763	762	763	762	763	0	762	763	0	850	762	763	762	763	0	0	0	0	0	0	0	0
41	781	1400	781	782	782	782	0	782	782	0	0	782	782	782	782	0	0	0	0	0	0	0	0
42	832	850	831	832	831	832	0	832	832	0	0	832	832	832	832	0	0	0	0	0	0	0	0
43	762	763	762	763	762	763	0	762	763	0	850	762	763	762	763	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	100	0	0	0	100	100	0	0
95	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	100	0	0	0	100	100	0	0
96	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	100	0	0	0	100	100	0	0
97	0	0	0	0	0	0	0	100	100	100	100	0	0	0	0	0	0	0	0	100	100	0	0
98	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	0	0	100	100	0	0
99	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	100	0	0	0	100	100	0	0
100	0	0	0	0	0	0	100	100	100	100	100	0	0	0	0	100	0	100	100	100	100	0	0
101	0	0	0	0	100	0	100	100	0	0	100	0	0	0	0	100	0	0	0	100	0	0	0
