INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备品阶ID	卓越洗炼消耗材料ID	数量	消耗金钱	超级卓越洗炼消耗材料ID	数量	锁属性材料ID	锁属性1数量	锁属性2数量	锁属性3数量	锁属性4数量	锁属性5数量	消耗金钱	锁属性1金钱	锁属性2金钱	锁属性3金钱	锁属性4金钱	锁属性5金钱	卓越传承消耗金钱	卓越传承消耗钻石
1	22000	1	5000	22001	1	22004	1	2	4	7	10	5000	5000	5000	5000	5000	5000	50000	5
2	22000	1	10000	22001	1	22004	1	2	4	7	10	10000	10000	10000	10000	10000	10000	100000	10
3	22000	2	15000	22001	2	22004	1	2	4	7	10	15000	15000	15000	15000	15000	15000	150000	15
4	22000	2	20000	22001	2	22004	1	2	4	7	10	20000	20000	20000	20000	20000	20000	200000	20
5	22000	3	25000	22001	3	22004	1	2	4	7	10	25000	25000	25000	25000	25000	25000	250000	25
6	22000	3	30000	22001	3	22004	1	2	4	7	10	30000	30000	30000	30000	30000	30000	300000	30
7	22000	4	35000	22001	4	22004	1	2	4	7	10	35000	35000	35000	35000	35000	35000	350000	35
8	22000	4	40000	22001	4	22004	1	2	4	7	10	40000	40000	40000	40000	40000	40000	400000	40
9	22000	5	45000	22001	5	22004	1	2	4	7	10	45000	45000	45000	45000	45000	45000	450000	45
10	22000	5	50000	22001	5	22004	1	2	4	7	10	50000	50000	50000	50000	50000	50000	500000	50
