INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
属性条数和区间ID	属性条数0	属性条数1	属性条数2	属性条数3	属性条数4	属性条数5	属性条数6	0-50%数值概率	75%数值概率	90%数值概率	100%数值概率	预留	预留	预留	预留	预留
1	0	2500	2500	2500	2500	0	0	2500	2500	2500	2500	10000	0	0	0	0
2	10000	0	0	0	0	0	0	2500	2500	2500	2500	0	10000	0	0	0
3	0	6000	2500	1500	0	0	0	2500	2500	2500	2500	0	0	10000	0	0
4	0	6000	4000	0	0	0	0	2500	2500	2500	2500	0	0	0	5000	5000
5	0	0	4000	5000	1000	0	0	2500	2500	2500	2500	2000	2000	2000	1500	500
6	0	0	2000	6000	2000	0	0	2500	2500	2500	2500	10000	0	0	0	0
7	0	0	0	8000	2000	0	0	2500	2500	2500	2500	10000	0	0	0	0
8	0	0	0	0	10000	0	0	2500	2500	2500	2500	10000	0	0	0	0
9	10000	0	0	0	0	0	0	10000	0	0	0	10000	0	0	0	0
10	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	10000	0	0	0	0	0	0	0	0	10000	0	0	0	0	0
12	0	0	10000	0	0	0	0	0	0	0	10000	0	0	0	0	0
13	0	0	0	10000	0	0	0	0	0	0	10000	0	0	0	0	0
14	0	0	0	0	10000	0	0	0	0	0	10000	0	0	0	0	0
15	0	0	0	0	0	10000	0	0	0	0	10000	0	0	0	0	0
16	0	0	0	0	0	0	10000	0	0	0	10000	0	0	0	0	0
22	10000	0	0	0	0	0	0	2500	2500	2500	2500	0	10000	0	0	0
23	0	8000	2000	0	0	0	0	2500	2500	2500	2500	0	0	10000	0	0
24	0	5000	4000	1000	0	0	0	2500	2500	2500	2500	0	0	0	5000	5000
25	0	0	4000	5000	1000	0	0	2500	2500	2500	2500	2000	2000	2000	1500	500
26	0	0	2000	6000	2000	0	0	2500	2500	2500	2500	10000	0	0	0	0
100	0	1000	2000	3000	3000	500	500	0	0	0	0	10000	0	0	0	0
101	3000	3500	3500	0	0	0	0	0	0	0	0	10000	0	0	0	0
102	0	3500	3000	2500	1000	0	0	0	0	0	0	10000	0	0	0	0
103	0	0	3500	3000	2500	1000	0	0	0	0	0	10000	0	0	0	0
104	0	0	0	4075	3850	1350	725	0	0	0	0	10000	0	0	0	0
105	0	0	0	0	8000	1500	500	0	0	0	0	10000	0	0	0	0
310	0	0	2000	8000	0	0	0	2500	2500	2500	2500	10000	0	0	0	0
311	0	0	0	10000	0	0	0	2500	2500	2500	2500	10000	0	0	0	0
410	0	0	0	10000	0	0	0	2500	2500	2500	2500	10000	0	0	0	0
510	0	0	0	0	10000	0	0	2500	2500	2500	2500	10000	0	0	0	0
