INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
套装ID	套装名	套装总件数	效果1件数	效果1属性I	效果1属性I数值	效果1属性II	效果1属性II数值	效果1BUFFID	效果1战力	效果2件数	效果2属性I	效果2属性I数值	效果2属性II	效果2属性II数值	效果2BUFFID	效果2战力	效果3件数	效果3属性I	效果3属性I数值	效果3属性II	效果3属性II数值	效果3BUFFID	效果3战力	效果4件数	效果4属性I	效果4属性I数值	效果4属性II	效果4属性II数值	效果4BUFFID	效果4战力
1	剑士平民套装	5	3	1	10	-1	0	-1	20000	5	4	20	2	20	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
2	法师平民套装	5	3	3	10	-1	0	-1	20000	5	4	20	2	20	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
3	弓手平民套装	5	3	1	10	-1	0	-1	20000	5	4	20	2	20	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
4	剑士穿上就牛逼	2	2	1	999	-1	0	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
5	法师穿上就牛逼	2	2	3	999	-1	0	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
6	弓手穿上就牛逼	2	2	1	999	-1	0	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
1001	野猪套装	5	2	13	225	-1	0	-1	0	3	105	45	-1	0	-1	0	5	10	15	11	15	1211	0	-1	-1	0	-1	0	-1	0
1002	绿麟套装	5	2	13	450	-1	0	-1	0	3	105	90	-1	0	-1	0	5	10	30	11	30	1211	0	-1	-1	0	-1	0	-1	0
1003	黄金套装	5	2	13	1125	-1	0	-1	0	3	105	225	-1	0	-1	0	5	10	75	11	75	1211	0	-1	-1	0	-1	0	-1	0
1004	白金套装	5	2	13	1800	-1	0	-1	0	3	105	360	-1	0	-1	0	5	10	120	11	120	1211	0	-1	-1	0	-1	0	-1	0
1005	浴血套装	5	2	13	2700	-1	0	-1	0	3	105	540	-1	0	-1	0	5	10	180	11	180	1211	0	-1	-1	0	-1	0	-1	0
1006	深渊套装	5	2	13	3600	-1	0	-1	0	3	105	720	-1	0	-1	0	5	10	240	11	240	1211	0	-1	-1	0	-1	0	-1	0
1007	暗黑套装	5	2	13	4500	-1	0	-1	0	3	105	900	-1	0	-1	0	5	10	300	11	300	1211	0	-1	-1	0	-1	0	-1	0
1008	龙炎套装	5	2	13	5625	-1	0	-1	0	3	105	1125	-1	0	-1	0	5	10	375	11	375	1211	0	-1	-1	0	-1	0	-1	0
1009	斗神套装	5	2	13	6750	-1	0	-1	0	3	105	1350	-1	0	-1	0	5	10	450	11	450	1211	0	-1	-1	0	-1	0	-1	0
1010	勇气套装	5	2	13	7875	-1	0	-1	0	3	105	1575	-1	0	-1	0	5	10	525	11	525	1211	0	-1	-1	0	-1	0	-1	0
1051	魔王野猪套装	5	2	13	900	-1	0	-1	0	3	105	180	-1	0	-1	0	5	10	60	11	60	13000	0	-1	-1	0	-1	0	-1	0
1052	魔王绿麟套装	5	2	13	1800	-1	0	-1	0	3	105	360	-1	0	-1	0	5	10	120	11	120	13002	0	-1	-1	0	-1	0	-1	0
1053	魔王黄金套装	5	2	13	4500	-1	0	-1	0	3	105	900	-1	0	-1	0	5	10	300	11	300	13004	0	-1	-1	0	-1	0	-1	0
1054	魔王白金套装	5	2	13	7200	-1	0	-1	0	3	105	1440	-1	0	-1	0	5	10	480	11	480	13006	0	-1	-1	0	-1	0	-1	0
1055	魔王浴血套装	5	2	13	10800	-1	0	-1	0	3	105	2160	-1	0	-1	0	5	10	720	11	720	13008	0	-1	-1	0	-1	0	-1	0
1056	魔王深渊套装	5	2	13	14400	-1	0	-1	0	3	105	2880	-1	0	-1	0	5	10	960	11	960	13010	0	-1	-1	0	-1	0	-1	0
1057	魔王暗黑套装	5	2	13	18000	-1	0	-1	0	3	105	3600	-1	0	-1	0	5	10	1200	11	1200	13012	0	-1	-1	0	-1	0	-1	0
1058	魔王龙炎套装	5	2	13	22500	-1	0	-1	0	3	105	4500	-1	0	-1	0	5	10	1500	11	1500	13012	0	-1	-1	0	-1	0	-1	0
1059	魔王斗神套装	5	2	13	27000	-1	0	-1	0	3	105	5400	-1	0	-1	0	5	10	1800	11	1800	13012	0	-1	-1	0	-1	0	-1	0
1060	魔王勇气套装	5	2	13	31500	-1	0	-1	0	3	105	6300	-1	0	-1	0	5	10	2100	11	2100	13012	0	-1	-1	0	-1	0	-1	0
1101	魔法套装	5	2	13	225	-1	0	-1	0	3	105	45	-1	0	-1	0	5	10	15	11	15	1209	0	-1	-1	0	-1	0	-1	0
1102	白冥套装	5	2	13	450	-1	0	-1	0	3	105	90	-1	0	-1	0	5	10	30	11	30	1209	0	-1	-1	0	-1	0	-1	0
1103	巫师套装	5	2	13	1125	-1	0	-1	0	3	105	225	-1	0	-1	0	5	10	75	11	75	1209	0	-1	-1	0	-1	0	-1	0
1104	唤魔套装	5	2	13	1800	-1	0	-1	0	3	105	360	-1	0	-1	0	5	10	120	11	120	1209	0	-1	-1	0	-1	0	-1	0
1105	时空套装	5	2	13	2700	-1	0	-1	0	3	105	540	-1	0	-1	0	5	10	180	11	180	1209	0	-1	-1	0	-1	0	-1	0
1106	火鹰套装	5	2	13	3600	-1	0	-1	0	3	105	720	-1	0	-1	0	5	10	240	11	240	1209	0	-1	-1	0	-1	0	-1	0
1107	幻灵套装	5	2	13	4500	-1	0	-1	0	3	105	900	-1	0	-1	0	5	10	300	11	300	1209	0	-1	-1	0	-1	0	-1	0
1108	黑炎套装	5	2	13	5625	-1	0	-1	0	3	105	1125	-1	0	-1	0	5	10	375	11	375	1209	0	-1	-1	0	-1	0	-1	0
1109	玄灵套装	5	2	13	6750	-1	0	-1	0	3	105	1350	-1	0	-1	0	5	10	450	11	450	1209	0	-1	-1	0	-1	0	-1	0
1110	冥王套装	5	2	13	7875	-1	0	-1	0	3	105	1575	-1	0	-1	0	5	10	525	11	525	1209	0	-1	-1	0	-1	0	-1	0
1151	魔王魔法套装	5	2	13	900	-1	0	-1	0	3	105	180	-1	0	-1	0	5	10	60	11	60	13000	0	-1	-1	0	-1	0	-1	0
1152	魔王白冥套装	5	2	13	1800	-1	0	-1	0	3	105	360	-1	0	-1	0	5	10	120	11	120	13002	0	-1	-1	0	-1	0	-1	0
1153	魔王巫师套装	5	2	13	4500	-1	0	-1	0	3	105	900	-1	0	-1	0	5	10	300	11	300	13004	0	-1	-1	0	-1	0	-1	0
1154	魔王唤魔套装	5	2	13	7200	-1	0	-1	0	3	105	1440	-1	0	-1	0	5	10	480	11	480	13006	0	-1	-1	0	-1	0	-1	0
1155	魔王时空套装	5	2	13	10800	-1	0	-1	0	3	105	2160	-1	0	-1	0	5	10	720	11	720	13008	0	-1	-1	0	-1	0	-1	0
1156	魔王火鹰套装	5	2	13	14400	-1	0	-1	0	3	105	2880	-1	0	-1	0	5	10	960	11	960	13010	0	-1	-1	0	-1	0	-1	0
1157	魔王幻灵套装	5	2	13	18000	-1	0	-1	0	3	105	3600	-1	0	-1	0	5	10	1200	11	1200	13012	0	-1	-1	0	-1	0	-1	0
1158	魔王黑炎套装	5	2	13	22500	-1	0	-1	0	3	105	4500	-1	0	-1	0	5	10	1500	11	1500	13012	0	-1	-1	0	-1	0	-1	0
1159	魔王玄灵套装	5	2	13	27000	-1	0	-1	0	3	105	5400	-1	0	-1	0	5	10	1800	11	1800	13012	0	-1	-1	0	-1	0	-1	0
1160	魔王冥王套装	5	2	13	31500	-1	0	-1	0	3	105	6300	-1	0	-1	0	5	10	2100	11	2100	13012	0	-1	-1	0	-1	0	-1	0
1201	荆棘套装	5	2	13	225	-1	0	-1	0	3	105	45	-1	0	-1	0	5	10	15	11	15	1210	0	-1	-1	0	-1	0	-1	0
1202	紫莹套装	5	2	13	450	-1	0	-1	0	3	105	90	-1	0	-1	0	5	10	30	11	30	1210	0	-1	-1	0	-1	0	-1	0
1203	碧海套装	5	2	13	1125	-1	0	-1	0	3	105	225	-1	0	-1	0	5	10	75	11	75	1210	0	-1	-1	0	-1	0	-1	0
1204	咏歌套装	5	2	13	1800	-1	0	-1	0	3	105	360	-1	0	-1	0	5	10	120	11	120	1210	0	-1	-1	0	-1	0	-1	0
1205	圣洁套装	5	2	13	2700	-1	0	-1	0	3	105	540	-1	0	-1	0	5	10	180	11	180	1210	0	-1	-1	0	-1	0	-1	0
1206	仙影套装	5	2	13	3600	-1	0	-1	0	3	105	720	-1	0	-1	0	5	10	240	11	240	1210	0	-1	-1	0	-1	0	-1	0
1207	辉煌套装	5	2	13	4500	-1	0	-1	0	3	105	900	-1	0	-1	0	5	10	300	11	300	1210	0	-1	-1	0	-1	0	-1	0
1208	红羽套装	5	2	13	5625	-1	0	-1	0	3	105	1125	-1	0	-1	0	5	10	375	11	375	1210	0	-1	-1	0	-1	0	-1	0
1209	紫灵套装	5	2	13	6750	-1	0	-1	0	3	105	1350	-1	0	-1	0	5	10	450	11	450	1210	0	-1	-1	0	-1	0	-1	0
1210	恐惧套装	5	2	13	7875	-1	0	-1	0	3	105	1575	-1	0	-1	0	5	10	525	11	525	1210	0	-1	-1	0	-1	0	-1	0
1251	魔王荆棘套装	5	2	13	900	-1	0	-1	0	3	105	180	-1	0	-1	0	5	10	60	11	60	13000	0	-1	-1	0	-1	0	-1	0
1252	魔王紫莹套装	5	2	13	1800	-1	0	-1	0	3	105	360	-1	0	-1	0	5	10	120	11	120	13002	0	-1	-1	0	-1	0	-1	0
