INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	进阶所需材料1ID	所需材料1数量	进阶所需材料2ID	所需材料2数量	进阶所需材料3ID	所需材料3数量	进阶所需材料4ID	所需材料4数量	所需资源1ID	所需资源1数量	所需资源2ID	所需资源2数量	所需资源3ID	所需资源3数量	进阶所需同装备数量	进阶获得要塞经验
10303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
10304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
10305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
10306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
10307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
10308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
10309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
10310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
10403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
10404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
10405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
10406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
10407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
10408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
10409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
10503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
10504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
10505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
10506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
10507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
10508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
10509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
11303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
11304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
11305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
11306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
11307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
11308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
11309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
11310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
11403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
11404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
11405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
11406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
11407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
11408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
11409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
11503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
11504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
11505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
11506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
11507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
11508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
11509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
12303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
12304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
12305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
12306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
12307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
12308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
12309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
12310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
12403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
12404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
12405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
12406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
12407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
12408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
12409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
12503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
12504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
12505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
12506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
12507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
12508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
12509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
160303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
160304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
160305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
160306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
160307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
160308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
