INT	STRING	INT	STRING	INT	INT	INT	STRING
索引ID	名称	是否开启	触发时间点(时:分)	触发间隔类型	间隔参数	最大缓存次数	动作
0	每天0点	1	2015/7/1 0:00	1	1	1	Hour0Day
1	每天3点	1	2015/7/1 3:00	1	1	1	Hour3Day
2	每周0点	1	2015/6/22 0:00	1	7	1	Hour0Week
3	每1月0点	1	2014/1/1 0:00	2	1	1	Hour0Month
4	每2月0点	0	2014/2/1 0:00	0	8760	1	Hour0Month
5	每3月0点	0	2014/3/1 0:00	0	8760	1	Hour0Month
6	每4月0点	0	2014/4/1 0:00	0	8760	1	Hour0Month
7	每5月0点	0	2014/5/1 0:00	0	8760	1	Hour0Month
8	每6月0点	0	2014/6/1 0:00	0	8760	1	Hour0Month
9	每7月0点	0	2014/7/1 0:00	0	8760	1	Hour0Month
10	每8月0点	0	2014/8/1 0:00	0	8760	1	Hour0Month
11	每9月0点	0	2014/9/1 0:00	0	8760	1	Hour0Month
12	每10月0点	0	2014/10/1 0:00	0	8760	1	Hour0Month
13	每11月0点	0	2014/11/1 0:00	0	8760	1	Hour0Month
14	每12月0点	0	2014/12/1 0:00	0	8760	1	Hour0Month
15	每天1点	1	2015/7/1 1:00	0	24	1	Hour1Day
16	每天2点	1	2015/7/1 2:00	0	24	1	Hour2Day
17	每天4点	1	2015/7/1 4:00	0	24	1	Hour4Day
18	每天5点	1	2015/7/1 5:00	0	24	1	Hour5Day
19	每天6点	1	2015/7/1 6:00	0	24	1	Hour6Day
20	每天7点	1	2015/7/1 7:00	0	24	1	Hour7Day
21	每天8点	1	2015/7/1 8:00	0	24	1	Hour8Day
22	每天9点	1	2015/7/1 9:00	0	24	1	Hour9Day
23	每天10点	1	2015/7/1 10:00	0	24	1	Hour10Day
24	每天11点	1	2015/7/1 11:00	0	24	1	Hour11Day
25	每天12点	1	2015/7/1 12:00	0	24	1	Hour12Day
26	每天13点	1	2015/7/1 13:00	0	24	1	Hour13Day
27	每天14点	1	2015/7/1 14:00	0	24	1	Hour14Day
28	每天15点	1	2015/7/1 15:00	0	24	1	Hour15Day
29	每天16点	1	2015/7/1 16:00	0	24	1	Hour16Day
30	每天17点	1	2015/7/1 17:00	0	24	1	Hour17Day
31	每天18点	1	2015/7/1 18:00	0	24	1	Hour18Day
32	每天19点	1	2015/7/1 19:00	0	24	1	Hour19Day
33	每天20点	1	2015/7/1 20:00	0	24	1	Hour20Day
34	每天21点	1	2015/7/1 21:00	0	24	1	Hour21Day
35	每天22点	1	2015/7/1 22:00	0	24	1	Hour22Day
36	每天23点	1	2015/7/1 23:00	0	24	1	Hour23Day
100	随从任务刷新	1	2015/8/11 23:00	0	2	3	RefreshPetMission
101	孵化室免费抽蛋	1	2015/8/11 23:00	0	36	2	FreePetEgg
102	家园建筑给宠物经验	1	2015/8/11 23:00	0	1	1	CityBuildGivePetExp
103	随从Boss任务刷新	1	2015/8/11 3:00	1	3	1	RefreshPetBossMission
104	每周二攻城战报名结束	1	2016/7/12 0:00	1	7	1	AllianceWarBidOver
105	每周二攻城战结束	1	2016/7/12 21:01	1	7	1	AllianceWarOver
106	每周六攻城战报名结束	1	2016/7/9 0:00	1	7	1	AllianceWarBidOver
107	每周六攻城战结束	1	2016/7/9 21:01	1	7	1	AllianceWarOver
