INT	INT	INT	INT	INT	INT	INT	INT
索引ID	初始值	每次变化值	刷新类型	刷新时间点（24时制）	刷新最小值	刷新最大值	超过最大值是否刷新
0	0	0	0	-1	-1	-1	1
1	0	0	0	-1	-1	-1	1
2	0	0	0	-1	-1	-1	1
3	0	1	0	-1	-1	-1	1
4	0	0	1	0	0	-1	1
5	0	0	0	-1	-1	-1	1
6	0	0	0	-1	-1	-1	1
7	0	0	0	-1	-1	-1	1
8	0	0	0	-1	-1	-1	1
9	0	0	0	-1	-1	-1	1
10	0	0	0	-1	-1	-1	1
11	0	0	0	-1	-1	-1	1
12	0	0	0	-1	-1	-1	1
13	0	0	0	-1	-1	-1	1
14	0	0	0	-1	-1	-1	1
15	0	0	1	0	0	0	1
16	0	1	3	0	0	0	1
17	0	0	0	-1	-1	-1	1
18	0	0	1	0	0	0	1
19	0	0	1	0	0	0	1
20	0	0	1	0	0	0	1
21	0	0	1	0	0	0	1
22	0	0	1	0	0	0	1
23	0	0	1	0	0	0	1
24	0	0	1	0	0	0	1
25	0	0	1	0	0	0	1
26	0	0	1	0	0	0	1
27	0	0	1	0	0	0	1
28	0	0	1	0	0	0	1
29	0	0	1	0	0	0	1
30	0	0	1	0	0	0	1
31	0	0	1	0	0	0	1
32	0	0	1	0	0	0	1
33	0	0	1	0	0	0	1
34	0	0	1	0	0	0	1
35	0	0	1	0	0	0	1
36	0	0	1	0	0	0	1
37	0	0	1	0	0	0	1
38	0	0	1	0	0	0	1
39	0	0	1	0	0	0	1
40	0	0	1	0	0	0	1
41	0	0	1	0	0	0	1
42	0	0	1	0	0	0	1
43	0	0	0	-1	-1	-1	1
44	0	0	0	-1	-1	-1	1
45	0	0	0	-1	-1	-1	1
46	1	0	0	-1	-1	-1	1
47	0	0	0	-1	-1	-1	1
48	0	0	0	-1	-1	-1	1
49	0	0	0	-1	-1	-1	1
50	0	0	0	-1	-1	-1	1
51	0	0	0	-1	-1	-1	1
52	0	0	0	-1	-1	-1	1
