INT	INT	INT	INT	INT
索引ID	等级差	经验缩放（万分比）	组队人数经验比（万分比）	组队经验人数加成
0	-999	12000	10000	0
1	-200	12000	10000	10000
2	-101	11500	7000	12000
3	-50	11000	6000	13000
4	-20	10800	5000	14000
5	-10	10700	4500	15000
6	-5	10500	10000	16000
7	-3	10300	10000	17000
8	-2	10200	10000	18000
9	-1	10100	10000	19000
10	0	10000	10000	20000
11	1	9900	10000	0
12	50	9500	10000	0
13	60	8000	10000	0
14	70	7500	10000	0
15	80	7000	10000	0
16	90	6000	10000	0
17	100	5000	10000	0
18	110	4500	10000	0
19	120	4000	10000	0
20	150	3000	10000	0
21	200	2000	10000	0
22	300	1000	10000	0
23	400	500	10000	0
24	999	500	10000	0
