INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING
ID(100-117弃用)	副本名称	副本大类型	副本具体类型	难度	副本前触发剧情	副本后触发剧情	每日可完成次数	每日可重置次数	进入消耗类型1	参数	进入消耗类型2	参数	重置消耗类型	参数	显示条件	进入条件	开启时间	可进入时间(分)	准备时间	限制时间	可扫荡要求时间	推荐战斗力	副本说明	奖励1	奖励1数量	奖励2	奖励2数量	奖励3	奖励3数量	奖励4	奖励4数量	备用	位标示	记录今日次数的扩展计数	重置次数扩展计数	总次数扩展计数	副本场景	通关时间扩展计数	排队参数	翻牌奖励	扫荡奖励经验	扫荡奖励金币	扫荡奖励1	扫荡奖励2	副本次数结算节点	副本信息参数	副本逻辑ID	要塞经验	经验是否动态奖励	动态正常经验奖励系数	动态扫荡经验奖励系数	鼓舞方案	是否可组队进入	是否动态难度	是否动态奖励	是否星级奖励	黑市商人ID	刷新几率	BossId	灭世积分说明	灭世奖励说明	int参数	list参数
0	暗夜神庙-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	40	40	-1	-1	-1	5	3	2800	魔域之主苏醒之时，圣光消失，这片大陆将被无尽的暗夜笼罩，黎明不会再次到来。\n                        ——黑袍巫魔	1	1500	2	1500	-1	-1	-1	-1	531	-1	100	101	102	100	109	-1	0	1500	1500	40057	-1	1	3	100	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	暗夜神庙-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3000	3000	-1	-1	-1	5	3	15800	魔域之主苏醒之时，圣光消失，这片大陆将被无尽的暗夜笼罩，黎明不会再次到来。\n                        ——黑袍巫魔	1	2500	2	2250	-1	-1	-1	-1	531	-1	103	104	105	101	110	-1	1	2500	2250	40064	-1	1	3	110	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	暗夜神庙-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3001	3001	-1	-1	-1	5	3	23800	魔域之主苏醒之时，圣光消失，这片大陆将被无尽的暗夜笼罩，黎明不会再次到来。\n                        ——黑袍巫魔	1	3500	2	4500	-1	-1	-1	-1	531	-1	106	107	108	102	111	-1	2	3500	4500	40071	-1	1	3	120	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	丛林石窟-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	422	422	-1	-1	-1	5	3	5000	魔主赐予我探寻无数禁地的可能，跟某些道貌岸然的正义使者相比，我更愿意追随他。\n                        ——盗贼魔头	1	3500	2	2800	-1	-1	-1	-1	532	-1	112	113	114	103	121	-1	3	3500	2800	40078	-1	1	4	130	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	丛林石窟-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3002	3002	-1	-1	-1	5	3	25800	魔主赐予我探寻无数禁地的可能，跟某些道貌岸然的正义使者相比，我更愿意追随他。\n                        ——盗贼魔头	1	6000	2	4200	-1	-1	-1	-1	532	-1	115	116	117	104	122	-1	4	6000	4200	40082	-1	1	4	140	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	丛林石窟-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3003	3003	-1	-1	-1	5	3	56800	魔主赐予我探寻无数禁地的可能，跟某些道貌岸然的正义使者相比，我更愿意追随他。\n                        ——盗贼魔头	1	10000	2	8400	-1	-1	-1	-1	532	-1	118	119	120	105	123	-1	5	10000	8400	40086	-1	1	4	150	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	幻雪圣殿-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	426	426	-1	-1	-1	5	3	18000	当身体变为绝对零度我就将成为魔神，可不管如何修炼，内心跳动的时候总有一丝温热？\n                        ——幻雪冰后	1	7500	2	5300	-1	-1	-1	-1	533	-1	124	125	126	106	133	-1	6	7500	5300	40090	-1	1	5	160	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	幻雪圣殿-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3004	3004	-1	-1	-1	5	3	68000	当身体变为绝对零度我就将成为魔神，可不管如何修炼，内心跳动的时候总有一丝温热？\n                        ——幻雪冰后	1	13500	2	8000	-1	-1	-1	-1	533	-1	127	128	129	107	134	-1	7	13500	8000	40094	-1	1	5	170	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	幻雪圣殿-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3005	3005	-1	-1	-1	5	3	158350	当身体变为绝对零度我就将成为魔神，可不管如何修炼，内心跳动的时候总有一丝温热？\n                        ——幻雪冰后	1	22500	2	16000	-1	-1	-1	-1	533	-1	130	131	132	108	135	-1	8	22500	16000	40098	-1	1	5	180	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
