INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	类型	副本信息参数	参数1	参数2	参数3	参数4	参数5	参数6	应用阶段
0	0	0	150	-1	-1	-1	-1	-1	0
1	0	0	1	-1	-1	-1	-1	-1	1
2	0	0	10	-1	-1	-1	-1	-1	2
3	0	0	1	-1	-1	-1	-1	-1	3
4	0	1	50	-1	-1	-1	-1	-1	0
5	0	1	50	-1	-1	-1	-1	-1	1
6	0	1	50	-1	-1	-1	-1	-1	2
7	0	1	50	-1	-1	-1	-1	-1	3
8	0	1	2	-1	-1	-1	-1	-1	4
100	2	2	-1	-1	-1	-1	-1	-1	0
101	2	2	-1	-1	-1	-1	-1	-1	0
1000	0	3	7	-1	-1	-1	-1	-1	0
1001	0	3	3	-1	-1	-1	-1	-1	1
1002	0	3	1	-1	-1	-1	-1	-1	2
1003	0	3	1	-1	-1	-1	-1	-1	3
1004	0	4	3	-1	-1	-1	-1	-1	0
1005	0	4	4	-1	-1	-1	-1	-1	1
1006	0	4	1	-1	-1	-1	-1	-1	2
1007	0	5	4	-1	-1	-1	-1	-1	0
1008	0	5	4	-1	-1	-1	-1	-1	1
1009	0	5	1	-1	-1	-1	-1	-1	2
