INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
阶段ID	进入阶段操作类型1	操作1参数1	操作1参数2	进入阶段操作类型2	操作2参数1	操作2参数2	进入阶段操作类型3	操作3参数1	操作3参数2	进入阶段操作类型4	操作4参数1	操作4参数2	切换阶段条件1	条件1参数1	条件1参数2	信息参数1	切换阶段条件2	条件2参数1	条件2参数2	信息参数2	切换阶段条件3	条件3参数1	条件3参数2	信息参数3	切换阶段条件4	条件4参数1	条件4参数2	信息参数4	进入的阶段ID	进入阶段是否清除旧的击杀计数	副本信息1类型	副本信息1参数1	副本信息1参数2	副本信息2类型	副本信息2参数1	副本信息2参数2	副本信息3类型	副本信息3参数1	副本信息3参数2	副本信息4类型	副本信息4参数1	副本信息4参数2	延迟（毫秒）执行下一阶段
0	3	4	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	40021	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	3	4	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	40022	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	3	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	40021	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	3	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	40021	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	3	4	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	40021	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	3	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	40021	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10000	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	1	0	40011	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	0	60000	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10007	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	0	0	40011	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	0	60001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10001	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	1	0	40012	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	10002	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	40013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	0	60002	1	1	999	1500	2	10002	1	-1	-1	-1	0	10003	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40014	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10024	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	1	0	40011	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	0	60003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10028	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	0	0	40011	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	0	60004	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10025	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	114	1	0	40012	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	10007	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	40013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	0	60005	1	1	999	1500	2	10007	1	-1	-1	-1	0	10027	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40014	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10031	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	1	0	40011	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	0	60006	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10035	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	0	0	40011	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	0	60007	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10032	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	124	1	0	40012	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	10012	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	40013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	0	60008	1	1	999	1500	2	10012	1	-1	-1	-1	0	10034	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40014	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10011	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	131	1	0	40015	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	0	60009	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10012	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	132	1	0	40016	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	0	60010	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10013	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40017	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10039	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	141	1	0	40015	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	0	60011	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10040	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	142	1	0	40016	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	0	60012	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10041	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40017	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10043	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	151	1	0	40015	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	0	60013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10044	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	152	1	0	40016	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	0	60014	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10045	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40017	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10049	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	161	1	0	40018	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	1	999	-1	2	10030	-1	-1	-1	-1	-1	-1	-1	0	10050	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	162	1	0	40019	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	0	60015	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10051	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40020	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10053	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	171	1	0	40018	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
171	1	999	-1	2	10031	-1	-1	-1	-1	-1	-1	-1	0	10054	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	1	0	40019	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172	0	60016	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10055	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40020	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10057	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	181	1	0	40018	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
181	1	999	-1	2	10032	-1	-1	-1	-1	-1	-1	-1	0	10058	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	182	1	0	40019	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
182	0	60017	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10059	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40020	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
190	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10060	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	191	1	0	40024	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
191	0	60030	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10061	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	192	1	0	40025	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
192	0	60031	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10062	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	193	1	0	40026	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
193	0	60032	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10063	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40027	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10064	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	201	1	0	40024	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
201	0	60040	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10065	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	202	1	0	40025	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
202	0	60041	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10066	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	203	1	0	40026	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
203	0	60042	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10067	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40027	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
210	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10068	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	211	1	0	40024	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
211	0	60050	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10069	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	212	1	0	40025	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
212	0	60051	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10070	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	213	1	0	40026	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
213	0	60052	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10071	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40027	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
220	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10072	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	221	1	0	40045	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
221	0	60060	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10073	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	222	1	0	40046	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
222	0	60061	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10074	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	223	1	0	40047	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
223	0	60062	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10075	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40048	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
230	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10076	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	231	1	0	40045	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
231	0	60070	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10077	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	232	1	0	40046	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
232	0	60071	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10078	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	233	1	0	40047	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
233	0	60072	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10079	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40048	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10080	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	241	1	0	40045	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
241	0	60080	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10081	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	242	1	0	40046	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
242	0	60081	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10082	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	243	1	0	40047	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
243	0	60082	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10083	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40048	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10084	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	251	1	0	40049	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
251	0	60090	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10085	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	252	1	0	40050	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
252	0	60091	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10086	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	253	1	0	40051	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
253	0	60092	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10087	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40052	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
260	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10088	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	261	1	0	40049	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
261	0	60100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10089	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	262	1	0	40050	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
262	0	60101	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10090	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	263	1	0	40051	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
263	0	60102	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10091	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40052	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
270	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10092	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	271	1	0	40049	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
271	0	60110	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10093	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	272	1	0	40050	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
272	0	60111	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10094	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	273	1	0	40051	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
273	0	60112	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10095	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	40052	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
280	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10200	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	281	1	0	43000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
281	0	60120	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10201	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	282	1	0	43001	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
282	0	60121	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10202	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	283	1	0	43002	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
283	0	60122	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10204	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	43003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
290	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10205	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	291	1	0	43004	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
291	0	60130	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10206	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	292	1	0	43005	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
292	0	60131	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10207	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	293	1	0	43006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
293	0	60132	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10209	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	43007	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10210	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	301	1	0	43008	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
301	0	60140	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10211	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	302	1	0	43009	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
302	0	60141	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10212	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	303	1	0	43010	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
303	0	60142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10214	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	43011	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
998	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	1	10	224001	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
999	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1000	1	10	241000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1000	5	220432	1	0	61000	10	0	61001	20	-1	-1	-1	0	-1	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1001	1	0	40004	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1001	5	220433	1	0	61002	20	0	61003	10	-1	-1	-1	0	-1	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1002	1	0	40005	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1002	5	220434	1	0	61004	10	-1	-1	-1	-1	-1	-1	0	-1	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1003	1	0	40006	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1003	5	220435	1	0	61005	10	-1	-1	-1	-1	-1	-1	0	-1	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1004	1	0	40007	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1004	5	220436	1	0	61006	5	0	61007	1	-1	-1	-1	0	85005	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	40008	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1010	1	10	224001	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1010	1	10	241000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1010	5	220432	1	0	61008	20	0	61009	40	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1011	1	0	40004	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
