INT	STRING	INT
ID	指令	指令类型
1	AddItem	1
2	DelItem	1
3	SetItem	1
4	AddFalg	1
5	DelFalg	1
6	SetFalg	1
7	AddExdata	1
8	DelExdata	1
9	SetExdata	1
10	SetEquipGem	1
11	SetLevel	1
12	Goto	2
13	EnterScene	2
14	SystemChat	3
15	ReloadTable	6
16	AddSkill	1
17	SetSkillLevel	1
18	MissionComplete	1
19	MissionParam	1
20	AddBuff	2
21	DelBuff	2
22	AddTalent	1
23	ResetTalent	1
24	PushMail	1
25	LookMatch	5
26	CleanMatch	5
27	LookScene	2
28	LookRank	4
29	CreateNpc	2
30	HpSet	2
31	MpSet	2
32	SpeedSet	2
33	UnionMoneyAdd	5
34	UnionContributionAdd	5
35	AllianceWarBid	5
36	AllianceWarBegin	5
37	FubenEnter	1
38	TestDrop	1
39	ShowObjInfo	2
40	ResetObj	2
41	DumpScene	2
42	PetMissionDone	1
43	PetMissionRefresh	1
44	UpdateServer	1
45	EnableNewFunctionTip	0
46	Recharge	1
47	ReloadOperationActivity	1
48	BackupRank	4
49	UpdateAnchor	3
50	Save	1
51	Load	1
52	MissionCommit	1
53	AllianceWarStartBid	5
