INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
宝石ID	宝石类型	组合	品质	初始经验	最大等级	属性1激活条件	条件参数	1条属性1	数值逻辑	1条属性2	数值逻辑	属性2激活条件	条件参数	2条属性1	数值逻辑	2条属性2	数值逻辑	属性3激活条件	条件参数	3条属性1	数值逻辑	3条属性2	数值逻辑	属性4激活条件	条件参数	4条属性1	数值逻辑	4条属性2	数值逻辑	属性5激活条件	条件参数	5条属性1	数值逻辑	5条属性2	数值逻辑	属性6激活条件	条件参数	6条属性1	数值逻辑	6条属性2	数值逻辑
50001	50000	1	1	5	40	0	0	105	50000	-1	0	1	1	105	50000	-1	0	2	1	105	50000	-1	0	6	0	105	50000	-1	0	7	11	21	50000	-1	0	0	0	-1	0	-1	0
50002	50000	-1	1	10	40	0	0	105	50001	-1	0	1	2	105	50001	-1	0	3	1	105	50001	-1	0	6	1	105	50001	-1	0	7	10	21	50000	-1	0	0	0	-1	0	-1	0
50003	50000	-1	1	15	40	0	0	105	50002	-1	0	1	3	105	50002	-1	0	4	5	105	50002	-1	0	6	2	105	50002	-1	0	7	9	21	50000	-1	0	0	0	-1	0	-1	0
50004	50000	-1	2	20	40	0	0	105	50003	-1	0	1	4	105	50003	-1	0	5	500	105	50003	-1	0	6	3	105	50003	-1	0	7	8	21	50000	-1	0	0	0	-1	0	-1	0
50005	50000	-1	2	30	40	0	0	105	50004	-1	0	1	5	105	50004	-1	0	2	5	105	50004	-1	0	6	4	105	50004	-1	0	7	7	21	50000	-1	0	0	0	-1	0	-1	0
50006	50000	-1	2	40	40	0	0	105	50005	-1	0	1	6	105	50005	-1	0	3	100	105	50005	-1	0	6	5	105	50005	-1	0	7	6	21	50000	-1	0	0	0	-1	0	-1	0
50007	50000	-1	2	50	40	0	0	105	50006	-1	0	1	7	105	50006	-1	0	4	25	105	50006	-1	0	6	6	105	50006	-1	0	7	5	21	50000	-1	0	0	0	-1	0	-1	0
50008	50000	-1	3	60	40	0	0	105	50007	-1	0	1	8	105	50007	-1	0	5	2500	105	50007	-1	0	6	7	105	50007	-1	0	7	4	21	50000	-1	0	0	0	-1	0	-1	0
50009	50000	-1	3	80	40	0	0	105	50008	-1	0	1	9	105	50008	-1	0	2	10	105	50008	-1	0	6	8	105	50008	-1	0	7	3	21	50000	-1	0	0	0	-1	0	-1	0
