INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
任务等级	1人战斗力要求	2人战斗力要求	3人战斗力要求	1人星级要求	2人星级要求	3人星级要求	普通任务所需时间(分钟)	稀有任务所需时间(分钟)	精英任务所需时间(分钟)	1人任务指挥所经验奖励	2人任务指挥所经验奖励	3人任务指挥所经验奖励	随从经验奖励	随机条件显示个数
1	90	200	320	1	3	4	120	15	720	9	18	27	90	1
2	90	200	320	1	3	5	120	15	720	12	24	36	120	1
3	90	200	320	2	4	6	120	15	720	15	30	45	150	2
4	90	200	320	2	4	7	120	15	720	18	36	54	180	2
5	90	200	320	3	5	8	120	15	720	21	42	63	210	2
6	90	200	320	3	5	9	120	15	720	24	48	72	240	2
7	90	200	320	4	6	10	120	15	720	27	54	81	270	2
8	90	200	320	4	7	11	120	15	720	30	60	90	300	2
9	90	200	320	5	8	12	120	15	720	33	66	99	330	2
10	90	200	320	5	9	13	120	15	720	36	72	108	360	2
