INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
指挥部等级	1级任务概率	2级任务概率	3级任务概率	4级任务概率	5级任务概率	6级任务概率	7级任务概率	8级任务概率	9级任务概率	10级任务概率	升级所需经验	任务刷新个数
1	6000	4000	0	0	0	0	0	0	0	0	248	2
2	4000	5000	1000	0	0	0	0	0	0	0	1466	2
3	2000	3000	4000	1000	0	0	0	0	0	0	3466	2
4	0	2000	3000	4000	1000	0	0	0	0	0	10108	2
5	0	0	2000	3000	4000	1000	0	0	0	0	19342	3
6	0	0	0	2000	3000	4000	1000	0	0	0	30358	3
7	0	0	0	0	2000	3000	4000	1000	0	0	41374	3
8	0	0	0	0	0	2000	3000	4000	1000	0	52390	3
9	0	0	0	0	0	0	2000	3000	4000	1000	63406	4
10	0	0	0	0	0	0	1000	2000	3000	4000	-1	4
