INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
类型*10000+等级*100+品质	随机名字数量	随机名称1	随机名称2	随机名称3	随机名称4	随机名称5	随机名称6	随机名称7	随机名称8	随机名称9	随机名称10
100	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
101	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
102	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
200	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
201	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
202	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
300	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
301	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
302	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
400	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
401	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
402	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
500	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
501	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
502	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
600	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
601	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
602	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
700	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
701	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
702	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
800	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
801	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
802	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
900	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
901	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
902	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
1000	5	入侵者营地	背叛者巢穴	失陷的堡垒	恶魔的据点	恶势力余党					
1001	5	元素滋生地	恶龙的巢穴	亡灵召唤阵	凶兽避难所	恶魔能量源					
1002	5	哥布林金库	哥布林宝藏	哥布林私藏	哥布林地窖	哥布林宝箱					
10100	3	传说	起源	秘密							
10101	3	传闻	历史	遗迹							
10102	3	隐患	危机	安定							
10200	3	传说	起源	秘密							
10201	3	传闻	历史	遗迹							
10202	3	隐患	危机	安定							
10300	3	传说	起源	秘密							
10301	3	传闻	历史	遗迹							
10302	3	隐患	危机	安定							
10400	3	传说	起源	秘密							
10401	3	传闻	历史	遗迹							
10402	3	隐患	危机	安定							
10500	3	传说	起源	秘密							
10501	3	传闻	历史	遗迹							
10502	3	隐患	危机	安定							
10600	3	传说	起源	秘密							
10601	3	传闻	历史	遗迹							
10602	3	隐患	危机	安定							
10700	3	传说	起源	秘密							
10701	3	传闻	历史	遗迹							
10702	3	隐患	危机	安定							
10800	3	传说	起源	秘密							
10801	3	传闻	历史	遗迹							
10802	3	隐患	危机	安定							
10900	3	传说	起源	秘密							
10901	3	传闻	历史	遗迹							
10902	3	隐患	危机	安定							
11000	3	传说	起源	秘密							
11001	3	传闻	历史	遗迹							
11002	3	隐患	危机	安定							
20100	3	正义的帮手	善良的朋友	可靠的兄弟							
20101	3	精英队长	领导者	急先锋							
20102	3	领袖	灵魂人物	指挥官							
20200	3	正义的帮手	善良的朋友	可靠的兄弟							
20201	3	精英队长	领导者	急先锋							
20202	3	领袖	灵魂人物	指挥官							
20300	3	正义的帮手	善良的朋友	可靠的兄弟							
20301	3	精英队长	领导者	急先锋							
20302	3	领袖	灵魂人物	指挥官							
20400	3	正义的帮手	善良的朋友	可靠的兄弟							
20401	3	精英队长	领导者	急先锋							
