INT	INT	INT	INT	INT	INT	INT	INT	INT
任务等级	勇者大陆任务概率	仙踪林任务概率	冰风谷任务概率	地下城任务概率	失落之塔任务概率	亚特兰蒂斯任务概率	死亡沙漠任务概率	天空之城任务概率
1	3500	3500	3000	-1	-1	-1	-1	-1
2	2500	2500	2500	2500	-1	-1	-1	-1
3	2000	2000	2000	2000	2000	-1	-1	-1
4	1600	1600	1600	1600	1600	2000	-1	-1
5	1400	1400	1400	1400	1400	1400	1600	-1
6	1250	1250	1250	1250	1250	1250	1250	1250
7	1250	1250	1250	1250	1250	1250	1250	1250
8	1250	1250	1250	1250	1250	1250	1250	1250
9	1250	1250	1250	1250	1250	1250	1250	1250
10	1250	1250	1250	1250	1250	1250	1250	1250
