INT	INT	INT
索引ID	奖励类型	奖励数量
1000001	9	100
1000002	9	220
1000003	9	350
1000101	9	200
1000102	9	440
1000103	9	700
1000201	2	20000
1000202	2	44000
1000203	2	70000
1000301	9	200
1010001	26500	2
1010002	26500	3
1010003	26500	4
1010101	26501	4
1010102	26501	5
1010103	26501	6
1010201	23543	1
1010202	23543	2
1010203	23543	3
1010301	26500	10
1020001	23523	1
1020002	23523	2
1020003	23523	3
1020101	23523	1
1020102	23523	2
1020103	23523	3
1020201	26141	1
1020202	26141	1
1020203	26141	1
1020301	26121	1
1030001	22000	1
1030002	22000	2
1030003	22000	3
1030101	22000	1
1030102	22000	2
1030103	22000	3
1030201	20401	1
1030202	20401	2
1030203	20401	3
1040001	23500	1
1040002	23500	2
1040003	23500	3
1040101	23500	1
1040102	23500	2
1040103	23500	3
1040201	23600	1
1040202	23600	1
1040203	23600	1
1050001	23533	1
1050002	23533	2
1050003	23533	3
1050101	23533	1
1050102	23533	2
1050103	23533	3
1050201	23538	2
1050202	23538	3
1050203	23538	4
1060001	7	100
1060002	7	220
1060003	7	350
1060101	7	100
1060102	7	220
1060103	7	350
1060201	23548	1
1060202	23548	2
1060203	23548	3
2000001	9	200
2000002	9	440
2000003	9	700
2000101	9	400
2000102	9	880
2000103	9	1400
2000201	2	40000
2000202	2	88000
2000203	2	140000
2010001	26500	2
2010002	26500	3
2010003	26500	4
2010101	26501	4
2010102	26501	5
2010103	26501	6
2010201	23543	1
2010202	23543	2
2010203	23543	3
2020001	23523	1
2020002	23523	2
2020003	23523	3
2020101	23523	1
2020102	23523	2
2020103	23523	3
2020201	26144	1
2020202	26144	1
2020203	26144	1
2020301	70000	20
2030001	22000	2
2030002	22000	3
2030003	22000	4
2030101	22000	2
2030102	22000	3
2030103	22000	4
2030201	20401	1
2030202	20401	2
2030203	20401	3
2040001	23500	1
2040002	23500	2
2040003	23500	3
2040101	23500	1
2040102	23500	2
2040103	23500	3
2040201	23600	1
2040202	23600	1
2040203	23600	1
2050001	23533	1
2050002	23533	2
2050003	23533	3
2050101	23533	1
2050102	23533	2
2050103	23533	3
2050201	23538	2
2050202	23538	3
2050203	23538	4
2060001	7	200
2060002	7	440
2060003	7	700
2060101	7	200
2060102	7	440
2060103	7	700
2060201	23549	1
2060202	23549	2
2060203	23549	3
3000001	9	300
3000002	9	660
3000003	9	1050
