INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT
ID	应用类型	位标示	扩展计数	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12
0	1	300	-1	300	2	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1	301	-1	600	22095	10	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1	302	-1	1800	22053	10	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	1	303	-1	3600	22092	5	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	1	304	-1	7200	23181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	2	305	-1	40	2	5	22017	22002	22000	100000	200	5	5	5	-1
6	2	306	-1	80	2	5	22017	23212	22018	200000	400	10	2	10	-1
7	2	307	-1	100	2	5	22017	23212	7	400000	600	15	3	1000	-1
8	2	308	-1	120	2	5	22017	23212	22066	600000	800	20	4	5	-1
9	2	309	-1	140	2	5	22017	23212	22054	800000	1000	25	5	1	-1
10	2	310	-1	160	2	5	22017	23212	18	1000000	1200	30	6	5000	-1
11	2	311	-1	180	2	5	22017	23212	22055	1200000	1400	35	7	1	-1
12	2	312	-1	200	2	5	22017	23212	22007	1400000	1600	40	8	1	-1
13	3	313	17	1	24513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	3	314	17	2	22093	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	315	17	3	3	98	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	3	316	17	4	22065	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	3	317	17	5	20304	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	4	318	16	999	1	17	60	20	15000	-1	-1	-1	-1	-1	-1
19	4	319	16	999	2	22000	2	20	15000	-1	-1	-1	-1	-1	-1
20	4	320	16	999	3	24512	1	20	15000	-1	-1	-1	-1	-1	-1
21	4	321	16	999	4	22001	1	20	15000	-1	-1	-1	-1	-1	-1
22	4	322	16	999	6	7	200	20	15000	-1	-1	-1	-1	-1	-1
23	4	323	16	999	7	22003	4	20	15000	-1	-1	-1	-1	-1	-1
24	4	324	16	999	8	17	80	20	15000	-1	-1	-1	-1	-1	-1
25	4	325	16	999	9	22000	3	20	15000	-1	-1	-1	-1	-1	-1
26	4	326	16	999	11	24513	1	20	15000	-1	-1	-1	-1	-1	-1
27	4	327	16	999	12	22001	2	20	15000	-1	-1	-1	-1	-1	-1
28	4	328	16	999	13	7	400	20	15000	-1	-1	-1	-1	-1	-1
29	4	329	16	999	14	22003	6	20	15000	-1	-1	-1	-1	-1	-1
30	4	330	16	999	16	17	100	20	15000	-1	-1	-1	-1	-1	-1
31	4	331	16	999	17	22000	4	20	15000	-1	-1	-1	-1	-1	-1
32	4	332	16	999	18	24514	1	20	15000	-1	-1	-1	-1	-1	-1
33	4	333	16	999	19	22001	3	20	15000	-1	-1	-1	-1	-1	-1
34	4	334	16	999	21	7	600	20	15000	-1	-1	-1	-1	-1	-1
35	4	335	16	999	22	22003	8	20	15000	-1	-1	-1	-1	-1	-1
36	4	336	16	999	23	28000	1	20	15000	-1	-1	-1	-1	-1	-1
37	4	337	16	999	24	22055	1	20	15000	-1	-1	-1	-1	-1	-1
38	4	338	16	1	5	36000	1	20	15000	-1	-1	-1	-1	-1	-1
39	4	339	16	1	10	36000	2	20	15000	-1	-1	-1	-1	-1	-1
40	4	340	16	1	15	36000	3	20	15000	-1	-1	-1	-1	-1	-1
41	4	341	16	1	20	36000	4	20	15000	-1	-1	-1	-1	-1	-1
42	4	342	16	1	25	36000	5	20	15000	-1	-1	-1	-1	-1	-1
43	4	343	16	2	5	36000	1	20	15000	-1	-1	-1	-1	-1	-1
44	4	344	16	2	10	36000	2	20	15000	-1	-1	-1	-1	-1	-1
45	4	345	16	2	15	36000	3	20	15000	-1	-1	-1	-1	-1	-1
46	4	346	16	2	20	36000	4	20	15000	-1	-1	-1	-1	-1	-1
47	4	347	16	2	25	36000	5	20	15000	-1	-1	-1	-1	-1	-1
48	4	348	16	3	5	36000	1	20	15000	-1	-1	-1	-1	-1	-1
49	4	349	16	3	10	36000	2	20	15000	-1	-1	-1	-1	-1	-1
50	4	350	16	3	15	36000	3	20	15000	-1	-1	-1	-1	-1	-1
51	4	351	16	3	20	36000	4	20	15000	-1	-1	-1	-1	-1	-1
52	4	352	16	3	25	36000	5	20	15000	-1	-1	-1	-1	-1	-1
53	4	353	16	4	5	36001	1	20	15000	-1	-1	-1	-1	-1	-1
54	4	354	16	4	10	36001	2	20	15000	-1	-1	-1	-1	-1	-1
55	4	355	16	4	15	36001	3	20	15000	-1	-1	-1	-1	-1	-1
56	4	356	16	4	20	36001	4	20	15000	-1	-1	-1	-1	-1	-1
57	4	357	16	4	25	36001	5	20	15000	-1	-1	-1	-1	-1	-1
58	4	358	16	5	5	36002	1	20	15000	-1	-1	-1	-1	-1	-1
59	4	359	16	5	10	36002	2	20	15000	-1	-1	-1	-1	-1	-1
60	4	360	16	5	15	36002	3	20	15000	-1	-1	-1	-1	-1	-1
61	4	361	16	5	20	36002	4	20	15000	-1	-1	-1	-1	-1	-1
62	4	362	16	5	25	36002	5	20	15000	-1	-1	-1	-1	-1	-1
63	4	363	16	6	5	36003	1	20	15000	-1	-1	-1	-1	-1	-1
64	4	364	16	6	10	36003	2	20	15000	-1	-1	-1	-1	-1	-1
65	4	365	16	6	15	36003	3	20	15000	-1	-1	-1	-1	-1	-1
66	4	366	16	6	20	36003	4	20	15000	-1	-1	-1	-1	-1	-1
67	4	367	16	6	25	36003	5	20	15000	-1	-1	-1	-1	-1	-1
68	4	368	16	7	5	36004	1	20	15000	-1	-1	-1	-1	-1	-1
69	4	369	16	7	10	36004	2	20	15000	-1	-1	-1	-1	-1	-1
70	4	370	16	7	15	36004	3	20	15000	-1	-1	-1	-1	-1	-1
71	4	371	16	7	20	36004	4	20	15000	-1	-1	-1	-1	-1	-1
72	4	372	16	7	25	36004	5	20	15000	-1	-1	-1	-1	-1	-1
73	4	373	16	8	5	36005	1	20	15000	-1	-1	-1	-1	-1	-1
74	4	374	16	8	10	36005	2	20	15000	-1	-1	-1	-1	-1	-1
75	4	375	16	8	15	36005	3	20	15000	-1	-1	-1	-1	-1	-1
76	4	376	16	8	20	36005	4	20	15000	-1	-1	-1	-1	-1	-1
77	4	377	16	8	25	36005	5	20	15000	-1	-1	-1	-1	-1	-1
78	4	378	16	9	5	36006	1	20	15000	-1	-1	-1	-1	-1	-1
79	4	379	16	9	10	36006	2	20	15000	-1	-1	-1	-1	-1	-1
80	4	380	16	9	15	36006	3	20	15000	-1	-1	-1	-1	-1	-1
81	4	381	16	9	20	36006	4	20	15000	-1	-1	-1	-1	-1	-1
82	4	382	16	9	25	36006	5	20	15000	-1	-1	-1	-1	-1	-1
83	4	383	16	10	5	36007	1	20	15000	-1	-1	-1	-1	-1	-1
84	4	384	16	10	10	36007	2	20	15000	-1	-1	-1	-1	-1	-1
85	4	385	16	10	15	36007	3	20	15000	-1	-1	-1	-1	-1	-1
86	4	386	16	10	20	36007	4	20	15000	-1	-1	-1	-1	-1	-1
87	4	387	16	10	25	36007	5	20	15000	-1	-1	-1	-1	-1	-1
88	4	388	16	11	5	36007	1	20	15000	-1	-1	-1	-1	-1	-1
89	4	389	16	11	10	36007	2	20	15000	-1	-1	-1	-1	-1	-1
90	4	390	16	11	15	36007	3	20	15000	-1	-1	-1	-1	-1	-1
91	4	391	16	11	20	36007	4	20	15000	-1	-1	-1	-1	-1	-1
92	4	392	16	11	25	36007	5	20	15000	-1	-1	-1	-1	-1	-1
93	4	393	16	12	5	36000	1	20	15000	-1	-1	-1	-1	-1	-1
94	4	394	16	12	10	36000	2	20	15000	-1	-1	-1	-1	-1	-1
95	4	395	16	12	15	36000	3	20	15000	-1	-1	-1	-1	-1	-1
96	4	396	16	12	20	36000	4	20	15000	-1	-1	-1	-1	-1	-1
