INT	INT	INT	STRING	STRING	STRING	STRING	STRING
类型ID	掉落ID（母表）	位标识ID	开始时间(年/月/日 时:分)	结束时间	职业1掉落	职业2掉落	职业3掉落
0	1531	2030	2016/11/7 12:00	2018/5/19 12:00			
1	1532	2031	2016/11/7 12:00	2018/5/19 12:00			
2	1533	2032	2016/11/7 12:00	2018/5/19 12:00			
3	23400	4000	2017/3/27 12:00	2018/12/30 12:00			
4	23401	4001	2017/3/27 12:00	2018/12/30 12:00			
5	23402	4002	2017/3/27 12:00	2018/12/30 12:00			
6	23403	4003	2017/3/27 12:00	2018/12/30 12:00			
7	23404	4004	2017/3/27 12:00	2018/12/30 12:00			
8	23405	4005	2017/3/27 12:00	2018/12/30 12:00			
9	23409	4006	2017/3/27 12:00	2018/12/30 12:00			
10	23410	4007	2017/4/13 12:00	2018/12/30 12:00			
11	23411	4008	2017/4/13 12:00	2018/12/30 12:00			
12	23412	4009	2017/4/13 12:00	2018/12/30 12:00			
13	23413	4010	2017/4/13 12:00	2018/12/30 12:00			
14	23414	4011	2017/4/13 12:00	2018/12/30 12:00			
15	23415	4012	2017/4/13 12:00	2018/12/30 12:00			
16	23416	4013	2017/4/13 12:00	2018/12/30 12:00			
17	23417	4014	2017/4/13 12:00	2018/12/30 12:00			
18	23418	4015	2017/4/13 12:00	2018/12/30 12:00			
19	23419	4016	2017/4/13 12:00	2018/12/30 12:00			
20	23420	4017	2017/4/13 12:00	2018/12/30 12:00			
21	23421	4018	2017/4/13 12:00	2018/12/30 12:00			
22	23422	4019	2017/4/13 12:00	2018/12/30 12:00			
23	23423	4020	2017/4/13 12:00	2018/12/30 12:00			
24	23424	4021	2017/4/13 12:00	2018/12/30 12:00			
25	23425	4022	2017/4/13 12:00	2018/12/30 12:00			
26	23426	4023	2017/4/13 12:00	2018/12/30 12:00			
27	23427	4024	2017/4/13 12:00	2018/12/30 12:00			
28	23456	4025	2017/4/13 12:00	2018/12/30 12:00			
29	23457	4026	2017/4/13 12:00	2018/12/30 12:00			
30	23458	4027	2017/4/13 12:00	2018/12/30 12:00			
31	-1	4028	2017/4/13 12:00	2018/12/30 12:00	3500000	3500000	3500000
