INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	指定物品ID	母表随机物品索引	开奖所需幸运签数	幸运签出售货比类型	幸运签出售货比数量	最大购买总数限制	商品存在时间（小时）	服务器刷新数量	获奖者获得要塞经验	购买最低签数
0	-1	500	100	3	1	5	48	5	-1	80
1	-1	501	150	3	1	7	48	5	-1	120
2	-1	502	200	3	1	10	48	5	-1	160
3	-1	503	300	3	1	15	48	5	-1	240
4	-1	504	600	3	1	30	48	5	-1	480
5	-1	505	800	3	1	40	48	5	-1	640
6	-1	506	1200	3	1	60	48	5	-1	960
7	-1	507	1500	3	1	75	48	5	-1	1200
8	-1	508	2000	3	1	100	48	5	-1	1600
9	-1	509	3000	3	1	150	48	5	-1	2400
10	-1	510	500	3	1	25	48	5	-1	400
11	-1	511	800	3	1	40	48	5	-1	640
12	-1	512	1200	3	1	60	48	5	-1	960
14	-1	513	300	3	1	15	48	5	-1	240
15	-1	514	400	3	1	20	48	5	-1	320
16	-1	515	500	3	1	25	48	5	-1	400
17	-1	516	600	3	1	30	48	5	-1	480
18	-1	517	300	3	1	15	48	5	-1	240
19	-1	518	600	3	1	30	48	5	-1	480
20	-1	519	900	3	1	45	48	5	-1	720
21	-1	521	150	3	1	7	48	5	-1	120
22	-1	522	225	3	1	11	48	5	-1	180
23	-1	523	300	3	1	15	48	5	-1	240
24	-1	524	450	3	1	22	48	5	-1	360
25	-1	525	900	3	1	45	48	5	-1	720
26	-1	526	1500	3	1	75	48	5	-1	1200
27	-1	527	1800	3	1	90	48	5	-1	1440
28	-1	528	2250	3	1	112	48	5	-1	1800
29	-1	529	3000	3	1	150	48	5	-1	2400
30	-1	530	4500	3	1	225	48	5	-1	3600
31	-1	531	300	3	1	15	48	5	-1	240
32	-1	532	450	3	1	22	48	5	-1	360
33	-1	533	600	3	1	30	48	5	-1	480
34	-1	534	900	3	1	45	48	5	-1	720
35	-1	535	1800	3	1	90	48	5	-1	1440
36	-1	536	2400	3	1	120	48	5	-1	1920
37	-1	537	3600	3	1	180	48	5	-1	2880
38	-1	538	4500	3	1	225	48	5	-1	3600
39	-1	539	6000	3	1	300	48	5	-1	4800
40	-1	540	9000	3	1	450	48	5	-1	7200
41	-1	541	200	3	1	10	48	5	-1	160
42	-1	542	300	3	1	15	48	5	-1	240
43	-1	543	600	3	1	30	48	5	-1	480
44	-1	544	300	3	1	15	48	5	-1	240
45	-1	545	450	3	1	22	48	5	-1	360
46	-1	546	900	3	1	45	48	5	-1	720
47	-1	547	600	3	1	30	48	5	-1	480
48	-1	548	900	3	1	45	48	5	-1	720
49	-1	549	1800	3	1	90	48	5	-1	1440
50	-1	550	200	3	1	10	48	5	-1	160
51	-1	551	300	3	1	15	48	5	-1	240
52	-1	552	600	3	1	30	48	5	-1	480
53	-1	553	300	3	1	15	48	5	-1	240
54	-1	554	450	3	1	22	48	5	-1	360
55	-1	555	900	3	1	45	48	5	-1	720
56	-1	556	600	3	1	30	48	5	-1	480
57	-1	557	900	3	1	45	48	5	-1	720
58	-1	558	1800	3	1	90	48	5	-1	1440
59	-1	559	200	3	1	10	48	5	-1	160
60	-1	560	300	3	1	15	48	5	-1	240
61	-1	561	600	3	1	30	48	5	-1	480
62	-1	562	300	3	1	15	48	5	-1	240
63	-1	563	450	3	1	22	48	5	-1	360
64	-1	564	900	3	1	45	48	5	-1	720
65	-1	565	600	3	1	30	48	5	-1	480
66	-1	566	900	3	1	45	48	5	-1	720
67	-1	567	1800	3	1	90	48	5	-1	1440
68	-1	568	500	3	1	25	48	5	-1	400
69	-1	569	800	3	1	40	48	5	-1	640
70	-1	570	1200	3	1	60	48	5	-1	960
71	-1	571	500	3	1	25	48	5	-1	400
72	-1	572	800	3	1	40	48	5	-1	640
73	-1	573	1200	3	1	60	48	5	-1	960
74	-1	574	500	3	1	25	48	5	-1	400
75	-1	575	800	3	1	40	48	5	-1	640
76	-1	576	1200	3	1	60	48	5	-1	960
77	-1	577	900	3	1	45	48	5	-1	720
78	-1	578	900	3	1	45	48	5	-1	720
79	-1	579	900	3	1	45	48	5	-1	720
