INT	STRING	STRING	INT	INT	INT	INT
ID	策划备注	系统名称	任务ID	任务状态	位标示为真|前置	位标示为假|前置
1	剑士法师装武器		5	0	-1	-1
2			100	0	-1	-1
3	追加		102	0	-1	-1
4			-1	-1	-1	-1
5			108	0	-1	-1
6	剧情副本		1003	0	-1	-1
7	购买药品		150	0	-1	-1
8	剑士技能书		14	0	-1	-1
9	弓手技能书		62	0	-1	-1
10	仓库		70	0	-1	-1
11	图鉴		122	0	-1	549
12	邮件指引（暂不用）		114	3	-1	769
13	天赋剑士		128	0	-1	-1
14	天赋法师		128	0	-1	-1
15	天赋弓		128	0	-1	-1
16	弓手装武器		5	0	-1	-1
17	法师技能书		18	0	-1	-1
18	成就		116	3	-1	492
19	活动		119	0	-1	-1
20	好友(暂不用）		5010	0	52	603
21	点技能书增天赋点		157	0	-1	-1
22	点技能书增天赋点		158	0	-1	-1
23	点技能书增天赋点		159	0	-1	-1
24	精灵		151	0	-1	-1
25	日常任务		5010	0	52	517
26	排行榜		221	3	100	973
27	转生		10024	0	266	511
28	兑戒指战士-任务界面（走MainUIFrame		143	0	-1	-1
29	兑戒指法师-任务界面（走MainUIFrame		144	0	-1	-1
30	兑戒指弓箭-任务界面（走MainUIFrame		145	0	-1	-1
31	兑换戒指战士-商店界面		143	0	-1	-1
32	兑换戒指法师-商店界面		144	0	-1	-1
33	兑换戒指弓箭-商店界面		145	0	-1	-1
40	购买药品首部-点NPC-废弃		150	0	-1	550
41	打开仓库首部-点NPC-废弃		70	0	-1	551
42	第一次加点的指引		-1	-1	2	518
43	买酒—商店		131	0	-1	62
44	买酒-任务框		131	0	-1	62
45	获得翅膀后点培养		111	3	-1	42
48	回收引导		414	1	-1	2800
100	翅膀		411	1	4096	905
200	家园1继续步骤1(标记位在家园6级触发）		-1	-1	540	512
201	家园1继续步骤2		-1	-1	501	-1
202	家园1继续步骤3		-1	-1	502	512
203	家园1继续步骤4		-1	-1	503	-1
204	家园1继续步骤5		-1	-1	504	-1
205	家园1继续步骤6		-1	-1	505	-1
220	家园2继续步骤1		-1	-1	507	-1
221	家园2继续步骤2		-1	-1	508	-1
222	家园2继续步骤3		-1	-1	509	993
223	家园3继续步骤1		-1	-1	510	-1
224	打开许愿池		-1	-1	501	503
