INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
战盟等级	战盟人数上限	战盟每周维护资金	是否可参加城战	商店参数	每日捐献资金/钻石次数上限	捐献资金小增加功绩	资金数	对应战盟资金	对应战盟贡献度	捐献资金大增加功绩	资金数	对应战盟资金	对应战盟贡献度	捐献钻石增加功绩	钻石数	对应战盟资金	对应战盟贡献度	任务刷新冷却时间（秒）	升级消耗战盟资金	仓库容量
1	30	15000	0	201	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	1000000	50
2	32	20000	1	202	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	5000000	60
3	34	25000	1	203	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	10000000	70
4	36	30000	1	204	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	20000000	80
5	38	35000	1	205	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	40000000	90
6	40	40000	1	206	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	60000000	100
7	42	45000	1	207	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	80000000	110
8	44	50000	1	208	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	100000000	120
9	46	55000	1	209	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	200000000	130
10	48	60000	1	210	10	10	20000	1500	10	50	100000	7500	50	300	50	30000	300	14400	0	150
