INT	INT	INT	INT	INT	INT	INT
战盟buffID	buff等级	升级后ID	战盟等级需求	对应BUFFid	人物等级限制	升级消耗功绩
101	1	102	1	500	3	155
102	2	103	1	500	6	305
103	3	104	1	500	12	455
104	4	105	1	500	16	605
105	5	106	1	500	20	756
106	6	107	1	500	24	906
107	7	108	1	500	28	1056
108	8	109	1	500	32	1207
109	9	110	2	500	36	1357
110	10	111	2	500	40	1508
111	11	112	2	500	44	1658
112	12	113	2	500	48	1809
113	13	114	2	500	52	1959
114	14	115	2	500	56	2111
115	15	116	2	500	60	2261
116	16	117	2	500	64	2412
117	17	118	3	500	68	2564
118	18	119	3	500	72	2714
119	19	120	3	500	76	2865
120	20	121	3	500	80	3017
121	21	122	3	500	84	3167
122	22	123	3	500	88	3319
123	23	124	3	500	92	3470
124	24	125	3	500	96	3622
125	25	126	4	500	100	3773
126	26	127	4	500	104	3924
127	27	128	4	500	108	4076
128	28	129	4	500	112	4228
129	29	130	4	500	116	4379
130	30	131	4	500	120	4532
131	31	132	4	500	124	4682
132	32	133	4	500	128	4835
133	33	134	5	500	132	4987
134	34	135	5	500	136	5139
135	35	136	5	500	140	5290
136	36	137	5	500	144	5443
137	37	138	5	500	148	5595
138	38	139	5	500	152	5747
139	39	140	5	500	156	5900
140	40	141	5	500	160	6052
141	41	142	6	500	164	6204
142	42	143	6	500	168	6356
143	43	144	6	500	172	6510
144	44	145	6	500	176	6661
145	45	146	6	500	180	6815
146	46	147	6	500	184	6967
147	47	148	6	500	188	7120
148	48	149	6	500	192	7272
149	49	150	7	500	196	7426
150	50	151	7	500	200	7579
151	51	152	7	500	204	7731
152	52	153	7	500	208	7885
153	53	154	7	500	212	8037
154	54	155	7	500	216	8191
155	55	156	7	500	220	8344
156	56	157	7	500	224	8498
157	57	158	8	500	228	8650
158	58	159	8	500	232	8805
159	59	160	8	500	236	8957
160	60	161	8	500	240	9112
161	61	162	8	500	244	9264
162	62	163	8	500	248	9419
163	63	164	8	500	252	9572
164	64	165	8	500	256	9726
165	65	166	9	500	260	9880
166	66	167	9	500	264	10033
167	67	168	9	500	268	10188
168	68	169	9	500	272	10342
169	69	170	9	500	276	10496
170	70	171	9	500	280	10650
171	71	172	9	500	284	10804
172	72	173	9	500	288	10958
173	73	174	10	500	292	11113
174	74	175	10	500	296	11267
175	75	176	10	500	300	11421
176	76	177	10	500	304	11576
177	77	178	10	500	308	11731
178	78	179	10	500	312	11885
179	79	180	10	500	316	12040
180	80	-1	10	500	320	0
201	1	202	1	501	3	155
202	2	203	1	501	6	305
203	3	204	1	501	12	455
204	4	205	1	501	16	605
205	5	206	1	501	20	756
206	6	207	1	501	24	906
207	7	208	1	501	28	1056
208	8	209	1	501	32	1207
209	9	210	2	501	36	1357
210	10	211	2	501	40	1508
211	11	212	2	501	44	1658
212	12	213	2	501	48	1809
213	13	214	2	501	52	1959
214	14	215	2	501	56	2111
215	15	216	2	501	60	2261
216	16	217	2	501	64	2412
217	17	218	3	501	68	2564
218	18	219	3	501	72	2714
219	19	220	3	501	76	2865
220	20	221	3	501	80	3017
221	21	222	3	501	84	3167
222	22	223	3	501	88	3319
223	23	224	3	501	92	3470
224	24	225	3	501	96	3622
225	25	226	4	501	100	3773
226	26	227	4	501	104	3924
227	27	228	4	501	108	4076
228	28	229	4	501	112	4228
229	29	230	4	501	116	4379
230	30	231	4	501	120	4532
231	31	232	4	501	124	4682
232	32	233	4	501	128	4835
233	33	234	5	501	132	4987
234	34	235	5	501	136	5139
235	35	236	5	501	140	5290
236	36	237	5	501	144	5443
237	37	238	5	501	148	5595
238	38	239	5	501	152	5747
239	39	240	5	501	156	5900
240	40	241	5	501	160	6052
241	41	242	6	501	164	6204
242	42	243	6	501	168	6356
243	43	244	6	501	172	6510
244	44	245	6	501	176	6661
245	45	246	6	501	180	6815
246	46	247	6	501	184	6967
247	47	248	6	501	188	7120
248	48	249	6	501	192	7272
249	49	250	7	501	196	7426
250	50	251	7	501	200	7579
251	51	252	7	501	204	7731
252	52	253	7	501	208	7885
253	53	254	7	501	212	8037
254	54	255	7	501	216	8191
255	55	256	7	501	220	8344
256	56	257	7	501	224	8498
257	57	258	8	501	228	8650
258	58	259	8	501	232	8805
259	59	260	8	501	236	8957
260	60	261	8	501	240	9112
261	61	262	8	501	244	9264
262	62	263	8	501	248	9419
263	63	264	8	501	252	9572
264	64	265	8	501	256	9726
265	65	266	9	501	260	9880
266	66	267	9	501	264	10033
267	67	268	9	501	268	10188
268	68	269	9	501	272	10342
269	69	270	9	501	276	10496
270	70	271	9	501	280	10650
271	71	272	9	501	284	10804
272	72	273	9	501	288	10958
273	73	274	10	501	292	11113
274	74	275	10	501	296	11267
275	75	276	10	501	300	11421
276	76	277	10	501	304	11576
277	77	278	10	501	308	11731
278	78	279	10	501	312	11885
279	79	280	10	501	316	12040
280	80	-1	10	501	320	0
301	1	302	1	502	3	155
302	2	303	1	502	6	305
303	3	304	1	502	12	455
304	4	305	1	502	16	605
305	5	306	1	502	20	756
306	6	307	1	502	24	906
307	7	308	1	502	28	1056
308	8	309	1	502	32	1207
309	9	310	2	502	36	1357
310	10	311	2	502	40	1508
311	11	312	2	502	44	1658
312	12	313	2	502	48	1809
313	13	314	2	502	52	1959
314	14	315	2	502	56	2111
315	15	316	2	502	60	2261
316	16	317	2	502	64	2412
317	17	318	3	502	68	2564
318	18	319	3	502	72	2714
319	19	320	3	502	76	2865
320	20	321	3	502	80	3017
321	21	322	3	502	84	3167
322	22	323	3	502	88	3319
323	23	324	3	502	92	3470
324	24	325	3	502	96	3622
325	25	326	4	502	100	3773
326	26	327	4	502	104	3924
327	27	328	4	502	108	4076
328	28	329	4	502	112	4228
329	29	330	4	502	116	4379
330	30	331	4	502	120	4532
331	31	332	4	502	124	4682
332	32	333	4	502	128	4835
333	33	334	5	502	132	4987
334	34	335	5	502	136	5139
335	35	336	5	502	140	5290
336	36	337	5	502	144	5443
337	37	338	5	502	148	5595
338	38	339	5	502	152	5747
339	39	340	5	502	156	5900
340	40	341	5	502	160	6052
341	41	342	6	502	164	6204
342	42	343	6	502	168	6356
343	43	344	6	502	172	6510
344	44	345	6	502	176	6661
345	45	346	6	502	180	6815
346	46	347	6	502	184	6967
347	47	348	6	502	188	7120
348	48	349	6	502	192	7272
349	49	350	7	502	196	7426
350	50	351	7	502	200	7579
351	51	352	7	502	204	7731
352	52	353	7	502	208	7885
353	53	354	7	502	212	8037
354	54	355	7	502	216	8191
355	55	356	7	502	220	8344
356	56	357	7	502	224	8498
357	57	358	8	502	228	8650
358	58	359	8	502	232	8805
359	59	360	8	502	236	8957
360	60	361	8	502	240	9112
361	61	362	8	502	244	9264
362	62	363	8	502	248	9419
363	63	364	8	502	252	9572
364	64	365	8	502	256	9726
365	65	366	9	502	260	9880
366	66	367	9	502	264	10033
367	67	368	9	502	268	10188
368	68	369	9	502	272	10342
369	69	370	9	502	276	10496
370	70	371	9	502	280	10650
371	71	372	9	502	284	10804
372	72	373	9	502	288	10958
373	73	374	10	502	292	11113
374	74	375	10	502	296	11267
375	75	376	10	502	300	11421
376	76	377	10	502	304	11576
377	77	378	10	502	308	11731
378	78	379	10	502	312	11885
379	79	380	10	502	316	12040
