INT	INT	INT	INT	INT	INT	INT	INT	INT
任务ID	道具ID	道具最小数量	道具最大数量	战盟最小等级	战盟最大等级	捐献道具奖励功绩	捐献道具奖励贡献度	任务奖励战盟资金
100	90100	15	30	1	8	10	10	1500
101	90105	15	30	1	8	10	10	1500
102	90108	15	30	1	8	10	10	1500
103	90111	20	40	2	8	25	25	2000
104	90101	25	50	3	8	40	40	2500
105	90106	25	50	3	8	40	40	2500
106	90109	25	50	3	8	40	40	2500
107	90112	30	60	4	8	45	45	3000
108	90113	20	40	5	8	80	80	4000
109	22029	5	10	1	8	25	25	2000
110	22030	10	20	2	8	50	50	3000
111	22031	10	20	3	8	100	100	4000
112	22036	10	20	3	8	150	150	5000
113	22037	10	20	4	8	200	200	5000
114	22038	10	20	4	8	250	250	10000
